fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000094262;05;912-28609-ABNY;MOMENTA;10 BI IMUNE;30 cprs.;;7891317049225;1145467202500;;;N;;30;123.86;0;4.13;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000090316;05;912-22812-FRMS;MOMENTA;20 BI;Ct. 5 capsulas;;7891317031268;4707603680023;;;N;;5;51.51;0;10.3;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000090317;05;912-22812-FRMT;MOMENTA;20 BI;Ct. 10 capsulas;;7891317031275;4707603680023;;;N;;10;77.25;0;7.72;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000090318;05;912-22812-FRMU;MOMENTA;20 BI;Ct. 30 capsulas;;7891317031282;4707603680023;;;N;;30;192.59;0;6.42;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000092694;05;912-28246-FUMF;MOMENTA;20 BI FIBRAS;Ct. 10 envelopes;;7891317043018;;;;N;;10;82.75;0;8.28;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000094632;05;1129-17155-CZYT;SOLVENTUM;3M CLEAN TRACE PROTEIN;Clean Trace Surface ATP - 100 unid. - Kt.;;;;;;N;;1;3519.39;0;3519.39;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000094633;05;1129-17155-CZYS;SOLVENTUM;3M CLEAN TRACE PROTEIN;Clean Trace Surface Protein High Sensitivity 50 Unid. - Cx.;;;;;;N;;1;1759.71;0;1759.71;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000094634;05;1129-17155-CZYO;SOLVENTUM;3M CLEAN TRACE PROTEIN;Clean Trace Surface Protein Plus (100 unid.) - Kt.;;;;;;N;;1;1876.7;0;1876.7;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000094635;05;1129-17155-CZYW;SOLVENTUM;3M CLEAN TRACE PROTEIN;Clean Trace Water Total ATP - 100 Unid. - Kt.;;;;;;N;;1;3519.39;0;3519.39;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000094850;05;1129-26761-DBDL;SOLVENTUM;3M DETERGENTE MULTIENZIMATICO;Detergente enzimatico 5E 1 L - FC (5% IPI incl.);;0;;;;N;;1;279.57;0;279.57;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000094851;05;1129-26761-DBDK;SOLVENTUM;3M DETERGENTE MULTIENZIMATICO;Detergente enzimatico 5E 5 L - BB (5% IPI incl.);;0;;;;N;;1;942.49;0;942.49;0;;BRAS_PF_PMC;ed. 1066;19;
