fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000093534;05;844-28427-FVSM;BRACCO;A2000 SERINGA MULTI USO ESTERIL;Seringa de 100mL multipaciente de contraste - Compativel injetora ACIST CVi;;;80580329002;102547289;;N;;1;322;0;322;0;;BRAS_PF_PMC;ed. 1074;19;
BRASINDICE;1094;material;0000094432;05;1128-28674-FWTA;LAS - BRASIL;ABLACAO RFA;Eletrodo Agulha por RF fixo para cirurgias tireoide, figado, pulmao, rim, prostata e osso - Un.;;;81504790406;;;N;;1;12713.65;0;12713.65;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000094433;05;1128-28674-FWTB;LAS - BRASIL;ABLACAO RFA;Eletrodo Agulha por RF ajustavel para cirurgias tireoide, figado, pulmao, rim, prostata e osso - Un.;;;81504790406;;;N;;1;15713.5;0;15713.5;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000072051;05;431-23850-EUZT;POLITEC;ACAPELLA - Terapia PEP vibratoria p/ higiene bronquica;21-1016 - Acapella blue  - unid.;;;;;;N;;1;275;0;275;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000072052;05;431-23850-EUZU;POLITEC;ACAPELLA - Terapia PEP vibratoria p/ higiene bronquica;21-1531 - Acapella green - unid.;;;;;;N;;1;275;0;275;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000090800;05;431-23850-FSBE;POLITEC;ACAPELLA - Terapia PEP vibratoria p/ higiene bronquica;27-8000 - Acapella Choice - cx. 1 unid.;;;;;;N;;1;412;0;412;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000065850;05;695-22376-EMBN;BMR MEDICAL;ACESSO VENOSO;OncoDrape Campo Fenestrado;;;;;;N;;1;62.47;0;62.47;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000065851;05;695-22376-EMBO;BMR MEDICAL;ACESSO VENOSO;ivKIT OncoDerm Curativo Transparente;;;;;;N;;1;45.19;0;45.19;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000065852;05;695-22376-EMBP;BMR MEDICAL;ACESSO VENOSO;Protetor Cutaneo SafenSimple 5x5;;;;;;N;;1;62.47;0;62.47;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000065853;05;695-22376-EMBQ;BMR MEDICAL;ACESSO VENOSO;Protetor Cutaneo SafenSimple 13x18;;;;;;N;;1;111.76;0;111.76;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000077927;05;695-22376-FCCO;BMR MEDICAL;ACESSO VENOSO;OncoDerm Curativo Transparente;;;;;;N;;1;41.08;0;41.08;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000077929;05;695-22376-FCCQ;BMR MEDICAL;ACESSO VENOSO;ivKIT Securis;;;;;;N;;1;59.29;0;59.29;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000080660;05;695-22376-FFUL;BMR MEDICAL;ACESSO VENOSO;ivKIT Puncao Guiada OncoDerm;;;;;;N;;1;195.48;0;195.48;0;;BRAS_PF_PMC;ed. 1090;19;
