fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000092250;05;001-21195-FTXA;UNIAO QUIMICA;BABY SURE;Cx. c/fita;;7896006228530;80424140001;;;N;;1;10.99;0;10.99;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000092251;05;001-28109-FTXB;UNIAO QUIMICA;BABY SURE PRIME;Cx. com caneta;;7896006228547;80424140005;;;N;;1;23.64;0;23.64;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000057038;05;931-21783-DXXZ;SMITH + NEPHEW;BACTIGRAS Tela Antisseptica Parafinada com Clorexidina;7457 - 10 x 10 cm - 10 unid.;;;;;;N;;10;255.02;0;25.5;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000057039;05;931-21783-DXYA;SMITH + NEPHEW;BACTIGRAS Tela Antisseptica Parafinada com Clorexidina;7461 - 15 x 20 cm - 10 unid.;;;;;;N;;10;318.78;0;31.88;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000070796;05;613-19227-EUEE;MEDICONE;BALAO INTRAGASTRICO CORPOREA 12 MESES;peca;;;;;;N;;1;10000;0;10000;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000077960;05;613-24949-ETLK;MEDICONE;BALAO INTRAGASTRICO CORPOREA 6 MESES;peca;;;;;;N;;1;9000;0;9000;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000078888;05;673-25106-FDGY;POLARFIX;BANDAGEM;F08571 - Bandagem 10 cm x 4,5 m branca;;;;;;N;;1;164.8;0;164.8;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000078889;05;673-25106-ESEP;POLARFIX;BANDAGEM;F08432 - Bandagem 10 cm x 4,5 m bege;;;;;;N;;1;169.96;0;169.96;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000094639;05;1129-22675-EJJQ;SOLVENTUM;BANDAGEM ELASTICA COBAN 2;2094 - Sistema de compressao de 2 camadas - cx.;;;;;;N;;1;510.32;0;510.32;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000094640;05;1129-22675-EJJR;SOLVENTUM;BANDAGEM ELASTICA COBAN 2;2794 - Lite - Sist. de Compres. leve de 2 camadas - cx.;;;;;;N;;1;451.32;0;451.32;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000094641;05;1129-14618-CCFR;SOLVENTUM;BANDAGEM ELASTICA COBAN LF;2082 - Coban LF 50 mm x 4,5 m bege - Rl.;;;;;;N;;1;86.73;0;86.73;0;;BRAS_PF_PMC;ed. 1066;19;
