fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000087262;05;387-26828-FFTT;FARMOQUIMICA;CALCITRAN B12;Susp. fr. 150 ml;;7898040329761;;;;N;;1;37.74;0;37.74;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000087254;05;387-26820-ABNY;FARMOQUIMICA;CALCITRAN D3;30 cprs.;;7898414850891;;;;N;;30;40.06;0;1.34;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000087255;05;387-26820-ACCL;FARMOQUIMICA;CALCITRAN D3;60 cprs.;;7898414850617;;;;N;;60;72.06;0;1.2;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000087427;05;387-26820-FNQS;FARMOQUIMICA;CALCITRAN D3;1000 UI bl. 30 cprs.;;7898040329525;;;;N;;30;41.95;0;1.4;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000087428;05;387-26820-FNQT;FARMOQUIMICA;CALCITRAN D3;1000 UI bl. 60 cprs.;;7898040329532;;;;N;;60;75.47;0;1.26;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000087425;05;387-25388-DPMO;FARMOQUIMICA;CALCITRAN MDK;Bl. 30 cprs.;;7898040329464;;;;N;;30;59;0;1.97;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000087426;05;387-25388-DPMM;FARMOQUIMICA;CALCITRAN MDK;Bl. 60 cprs.;;7898040329471;;;;N;;60;97.59;0;1.63;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000087909;05;387-25388-FFGL;FARMOQUIMICA;CALCITRAN MDK;Bl. 30 cprs. mast.;;7898040328573;;;;N;;30;58.28;0;1.94;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000087263;05;387-26829-DPMO;FARMOQUIMICA;CALCITRAN TRIFLEX;Bl. 30 cprs.;;7898040329716;;;;N;;30;81.09;0;2.7;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000091676;05;387-26829-FTDA;FARMOQUIMICA;CALCITRAN TRIFLEX;Bl. c/60 cprs.;;7898244720531;;;;N;;60;132.46;0;2.21;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000077979;05;362-24951-FCDT;MARJAN;CALDE COMPRIMIDOS MAST.;Ct. 60 cprs. mast.;;7896226109305;;;;N;;60;97.81;0;1.63;0;;BRAS_PF_PMC;ed. 1088;19;
