fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000085720;05;020-26557-AAHE;DOVALLE;D VALLE;Cx. 30 cprs.;;7896360002272;;;;N;;30;45.88;0;1.53;0;;BRAS_PF_PMC;ed. 1068;19;
BRASINDICE;1094;material;0000085721;05;020-26557-ATMO;DOVALLE;D VALLE;Gotas 20 ml;;7896360002265;;;;N;;1;54.74;0;54.74;0;;BRAS_PF_PMC;ed. 1068;19;
BRASINDICE;1094;material;0000047727;05;872-19085-DBQO;ECADIL;DABRIDAN BALSAMO;Balsamo 100 g;;;;;;N;;1;287;0;287;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000073189;05;872-19533-EVVS;ECADIL;DABRIDAN EMULSAO;Emulsao 60 g.;;;;;;N;;1;225;0;225;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000064175;05;048-22721-EJVJ;ACHE;DAYVIT KIDS;Fr. plast. 120 ml;;7896658027208;;;;N;;1;50.2;0;50.2;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000092289;05;001-28135-AJKZ;UNIAO QUIMICA;DCAL MDK;Fr. 30 cprs. rev.;;7896006222750;;;;N;;30;59.34;0;1.98;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000075888;05;969-22253-ABUV;ARESE;DEATEN;Cx. 30 caps.;;7899824401116;;;;N;;30;128.59;0;4.29;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000087935;05;691-27112-FOHR;ZYDUS NIKKHO;DEFORCE FLASH;2000 UI (50 mcg) oral film. x 30;;7898927564551;;;;N;;30;55;0;1.83;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000087936;05;691-27113-FOHQ;ZYDUS NIKKHO;DEFORCE K+;K + 1000 UI + 9 mcg + 225 mg oral film. x 30;;7898927564544;;;;N;;30;95.66;0;3.19;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000091749;05;1025-27981-FTFC;BIOLAB GENERICOS;DEGEN;50000 UI x 12 caps.;;7896112409670;1097403560126;90597648;504124120090903;N;N;12;118.68;0;9.89;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000081398;05;917-25631-DUWQ;SUPERA RX;DELA COLIN;Bl. 60 cprs. rev.;;7899420508738;;;;N;;60;105.7;0;1.76;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000091919;05;620-28017-FTKP;MEDQUIMICA;DELTAMETRIL D 4%;Emu. capi. fr. 100 ml;;7896862993795;;;;N;;1;41.96;0;41.96;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000091920;05;620-28017-FTKQ;MEDQUIMICA;DELTAMETRIL D 4%;Emu. capi. fr. 60 ml;;7896862994402;82733400002;;;N;;1;27.76;0;27.76;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000090599;05;995-27727-DMCO;FQM MELORA;DERCUTAN;Barra 90 g;;7898244720586;;;;N;;1;23.56;0;23.56;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000090600;05;995-27727-FRUX;FQM MELORA;DERCUTAN;Sense gel 150 g bisn. or.;;7898244720685;;;;N;;1;35.47;0;35.47;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000090601;05;995-27727-FRUY;FQM MELORA;DERCUTAN;Pro gel 150 g bisn. or.;;7898244720678;;;;N;;1;35.47;0;35.47;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000095351;05;995-27727-FXNB;FQM MELORA;DERCUTAN;Tonico fr. 120 ml;;7898244721347;;;;N;;1;39.32;0;39.32;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000073652;05;1010-18901-CVTY;CELLERA FARMA;DERMAFREE (NOTIF.SIMPLIF.);Sol. top. fr. 15 ml;;7893454312514;;;;N;;1;30.75;41.24;30.75;41.24;;BRAS_PF_PMC;ed. 1074;19;
BRASINDICE;1094;material;0000074932;05;650-13763-EYAA;DBS;DERMAMON CREME BARREIRA;50 g - Bisnaga (IPI incluso);;;;;;N;;1;141.2;0;141.2;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000074933;05;650-13763-EYAB;DBS;DERMAMON CREME BARREIRA;100 g - Bisnaga (IPI incluso);;;;;;N;;1;245;0;245;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000072936;05;001-23921-EVNQ;UNIAO QUIMICA;DERMON;Creme cx. bisn. 20 g.;;7896006212386;;;;N;;1;32.08;0;32.08;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000073880;05;995-20219-DLKY;FQM MELORA;DERMOVANCE;ES 100 g or.;;7898040326463;;;;N;;1;46.18;0;46.18;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000073881;05;995-20219-DLKZ;FQM MELORA;DERMOVANCE;1 x 200 ml;;7898040323196;;;;N;;1;64.29;0;64.29;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000073883;05;995-20219-EQOJ;FQM MELORA;DERMOVANCE;S - 500 ml pump.;;7898040325404;;;;N;;1;99.55;0;99.55;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000084661;05;995-26402-FKSO;FQM MELORA;DERMOVANCE;Calm creme bisn. 40 g;;7898040328412;;;;N;;1;37.3;0;37.3;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000085207;05;995-20219-FLHD;FQM MELORA;DERMOVANCE;S 1 x 200 ml;;7898040323202;;;;N;;1;61.24;0;61.24;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000088700;05;995-27349-FPMB;FQM MELORA;DERMOVANCE AGUA MIC;Fr. 100 ml or.;;7898244720326;;;;N;;1;25.78;0;25.78;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000088701;05;995-27349-FPMC;FQM MELORA;DERMOVANCE AGUA MIC;Fr. 250 ml or.;;7898244720333;;;;N;;1;55;0;55;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000087661;05;995-27011-FNXY;FQM MELORA;DERMOVANCE AI;200 ml or.;;7898244720067;;;;N;;1;63.4;0;63.4;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000087662;05;995-27011-FNXZ;FQM MELORA;DERMOVANCE AI;500 ml pump.;;7898244720074;;;;N;;1;115.67;0;115.67;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000095352;05;995-27011-FXNC;FQM MELORA;DERMOVANCE AI;Baume 500 ml Pump;;7898244721736;;;;N;;1;123.81;0;123.81;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000095353;05;995-27011-FXND;FQM MELORA;DERMOVANCE AI;Baume 200 ml;;7898244721743;;;;N;;1;62.23;0;62.23;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000076024;05;1045-21666-EZLG;TRIMEDCALL/MEGALABS;DERSANI BABY;Locao oleosa 50 ml;;;;;;N;;1;51.52;0;51.52;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000095027;05;1045-21666-FXCM;TRIMEDCALL/MEGALABS;DERSANI BABY;Protecao (creme) 30 g;;;;;;N;;1;36.15;0;36.15;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000095028;05;1045-21666-FXCN;TRIMEDCALL/MEGALABS;DERSANI BABY;Protecao (creme) 85 g;;;;;;N;;0;72.32;0;0;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000079593;05;1045-25230-FEJV;TRIMEDCALL/MEGALABS;DERSANI CREME HIDRATANTE;Hidratante a base de A.G.E. 200 ml;;;;;;N;;1;163.05;0;163.05;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000076021;05;1045-21843-EZLK;TRIMEDCALL/MEGALABS;DERSANI HIDROGEL;Gel hidratante 85 g.;;;;;;N;;1;179.08;0;179.08;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000076023;05;1045-21843-EZLJ;TRIMEDCALL/MEGALABS;DERSANI HIDROGEL;Gel hidratante 30 g.;;;;;;N;;1;119.12;0;119.12;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000095026;05;1045-21843-FXCL;TRIMEDCALL/MEGALABS;DERSANI HIDROGEL;Gel hidratante 150 g;;;;;;N;;1;209.99;0;209.99;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000076022;05;1045-21665-EZLK;TRIMEDCALL/MEGALABS;DERSANI HIDROGEL + ALGINATO;Gel hidratante 85 g.;;;;;;N;;1;192.99;0;192.99;0;;BRAS_PF_PMC;ed. 1090;19;
