fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000092086;05;691-28061-FTSC;ZYDUS NIKKHO;E-STAR;800 mg. x 30 cprs.;;7897460402207;;;;N;;30;73.7;0;2.46;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000092087;05;691-28061-FTSD;ZYDUS NIKKHO;E-STAR;800 mg. x 60 cprs.;;7897460402214;;;;N;;60;124.59;0;2.08;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000092820;05;112-28276-FUPS;BALDACCI;EDEX;Cartucho com 30 caps. gel. mol.;;7897851260195;;;;N;;30;66.13;0;2.2;0;;BRAS_PF_PMC;ed. 1069;19;
BRASINDICE;1094;material;0000080021;05;020-25325-DVYQ;DOVALLE;ELASTIGEN;30 saches;;7896360001886;;;;N;;30;229;0;7.63;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000090623;05;931-27733-FRVR;SMITH + NEPHEW;ELECT HYDRO HYDROCOLLOID BORDER DRESSING - CURATIVO;53HYB0812 - 8cm x 12cm - 10 unid.;;0;;;;N;;10;3327.47;0;332.75;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000090624;05;931-27733-FRVS;SMITH + NEPHEW;ELECT HYDRO HYDROCOLLOID BORDER DRESSING - CURATIVO;53HYB1010 - 10cm x 10cm - 10 unid.;;0;;;;N;;10;4155.43;0;415.54;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000090625;05;931-27733-FRVT;SMITH + NEPHEW;ELECT HYDRO HYDROCOLLOID BORDER DRESSING - CURATIVO;53HYB1515 - 15cm x 15cm - 10 unid.;;0;;;;N;;10;7644.92;0;764.49;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000090626;05;931-27733-FRVU;SMITH + NEPHEW;ELECT HYDRO HYDROCOLLOID BORDER DRESSING - CURATIVO;53HYB2020 - 20cm x 20cm - 10 unid.;;0;;;;N;;10;14263.37;0;1426.34;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000090627;05;931-27733-FRVV;SMITH + NEPHEW;ELECT HYDRO HYDROCOLLOID BORDER DRESSING - CURATIVO;53HYT1010 - 10cm x 10cm - 10 unid.;;0;;;;N;;10;3478.75;0;347.88;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000090628;05;931-27733-FRVW;SMITH + NEPHEW;ELECT HYDRO HYDROCOLLOID BORDER DRESSING - CURATIVO;53HYT1515 - 15cm x 15cm - 10 unid.;;0;;;;N;;10;7644.92;0;764.49;0;;BRAS_PF_PMC;ed. 1066;19;
