fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000052969;05;438-21182-DSSN;BIOLAB SANUS;FASCIA;Cx. 30 saches x 11 g;;7898942324406;;;;N;;30;194.39;0;6.48;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000063017;05;438-21182-EGJF;BIOLAB SANUS;FASCIA;Abacaxi cx. 30 saches x 11 g;;7898549758413;;;;N;;30;194.39;0;6.48;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000080144;05;438-25353-ELLN;BIOLAB SANUS;FASCIA PRIME;30 saches x 13 g;;7896112402312;;;;N;;30;241.85;0;8.06;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000090029;05;438-27622-FRDC;BIOLAB SANUS;FASCIA Q10;200 mg 30 caps.;;7896112408420;;;;N;;30;160.51;0;5.35;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000092387;05;691-28174-FUBF;ZYDUS NIKKHO;FE-LIP;15 mg ct. bl. al. plas. PVDC trans. x 30 caps.;;7908950000008;;;;N;;30;95.13;0;3.17;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000092388;05;691-28174-FUBG;ZYDUS NIKKHO;FE-LIP;30 mg ct. bl. al. plas. PVDC trans. x 30 caps.;;7908950000015;;;;N;;30;118.55;0;3.95;0;;BRAS_PF_PMC;ed. 1080;19;
BRASINDICE;1094;material;0000090709;05;048-27758-FRYR;ACHE;FELICI;7 mg. bl. x 60 cprs.;;7896658050039;;;;N;;60;43.57;0;0.73;0;;BRAS_PF_PMC;ed. 1068;19;
BRASINDICE;1094;material;0000090710;05;048-27758-FRYS;ACHE;FELICI;3,5 mg. 1 fr. 20 ml;;7896658050046;;;;N;;1;43.57;0;43.57;0;;BRAS_PF_PMC;ed. 1068;19;
BRASINDICE;1094;material;0000089566;05;072-23819-FQQE;EUROFARMA;FEMINIS;30 caps. - Nova Formula;;7891317009502;;;;N;;30;111.12;0;3.7;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000089700;05;072-23819-FQUL;EUROFARMA;FEMINIS;30 capsulas;;7891317025137;;;;N;;30;112.4;0;3.75;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000091891;05;072-23819-DUEJ;EUROFARMA;FEMINIS;90 caps.;;7891317043148;;;;N;;90;296.43;0;3.29;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000054157;05;001-21187-DUDL;UNIAO QUIMICA;FERISEPT;Spray 45 ml;;7896006209898;;;;N;;1;22.46;0;22.46;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000015035;05;525-12933-BTAD;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM - CURATIVO ANTIMICROBIANO COM PRATA;10,8 cm x 10,8 cm - cx. c/30;;;;70191549;;N;;30;7350;0;245;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000015036;05;525-12933-BTAE;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM - CURATIVO ANTIMICROBIANO COM PRATA;8 cm x 8 cm - cx. c/20;;;;70193746;;N;;20;5800;0;290;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000055000;05;525-21468-DVGG;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM - CURATIVO PARA DEDOS DOS PES E MAOS;14,86 mm x 18,19 mm - cx. c/30;;;;;;N;;30;3800;0;126.67;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000055001;05;525-21468-DVGJ;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM - CURATIVO PARA DEDOS DOS PES E MAOS;18,20 mm x 21,49 mm - cx. c/30;;;;;;N;;30;3800;0;126.67;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000055002;05;525-21468-DVGK;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM - CURATIVO PARA DEDOS DOS PES E MAOS;21,50 mm x 24,60 mm - cx. c/30;;;;;;N;;30;3800;0;126.67;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000076266;05;525-21468-EZSR;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM - CURATIVO PARA DEDOS DOS PES E MAOS;24,60 mm x 27,90 mm - cx. c/30;;;;;;N;;30;4000;0;133.33;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000076267;05;525-21468-EZSS;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM - CURATIVO PARA DEDOS DOS PES E MAOS;27,90 mm x 31,10 mm - cx. c/30;;;;;;N;;30;4000;0;133.33;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000008329;05;525-08739-BERX;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM - CURATIVO PARA TRAQUEOSTOMIAS E OSTOMIAS;9 cm x 9 cm - cx. 30;;;;;;N;;30;2800;0;93.33;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000008326;05;525-08737-BERV;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM - CURATIVO PREENCHEDOR DE CAVIDADE;8 cm x 8 cm - cx. 40;;;;70193827;;N;;40;5464;0;136.6;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000008320;05;525-08736-BERJ;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM - CURATIVO SEM ADESIVO;10 cm x 10 cm - cx. 60;;;;70193843;;N;;60;6120;0;102;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000008322;05;525-08736-BERR;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM - CURATIVO SEM ADESIVO;13 cm x 13 cm - cx. 30;;;;70193860;;N;;30;4520;0;150.67;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000008323;05;525-08736-BERS;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM - CURATIVO SEM ADESIVO;17cm x 19 cm - cx. 30;;;;70193878;;N;;30;9050;0;301.67;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000055370;05;525-21514-DVUX;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM - CURATIVO SUPER ABSORVENTE;11 cm x 11 cm - cx. c/20;;;;;;N;;20;2900;0;145;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000008309;05;525-08734-BERI;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM-CURATIVO C/FILME ADES.IMPER.;2,5 cm x 2,5 cm - cx. 100;;;;;;N;;100;1800;0;18;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000008313;05;525-08734-BERN;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM-CURATIVO C/FILME ADES.IMPER.;5 cm x 7,6 cm - cx. 60;;;;;;N;;60;7620;0;127;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000080668;05;525-08734-BERT;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEM-CURATIVO C/FILME ADES.IMPER.;5 cm x 26 cm - cx. 12;;;;;;N;;12;1990;0;165.83;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000076268;05;525-24722-DFYS;RECOMED TRADING;FERRIS - CURAT. DE MEMB. POL. POLYMEN. - CURATIVO PREENCHEDOR PARA TUNELIZACOES;01 cm x 35 cm - cx. c/12;;;;;;N;;12;2990;0;249.17;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000090019;05;1103-27618-FRCW;YOSEN;FERRO;Ydrosolv 30 ml;;7898968593183;;;;N;;1;90;0;90;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000069698;05;043-23443-ESAT;TAKEDA PHARMA;FIBERNORM;Cx. c/10 saches c/10 g;;7896641812545;;;;N;;10;55.25;0;5.52;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000069699;05;043-23443-ESAU;TAKEDA PHARMA;FIBERNORM;Lata c/225 g;;7896641812552;;;;N;;1;131.54;0;131.54;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000057116;05;757-24144-DYBF;VITAFOR;FIBRAS ALIMENTARES;FV30 - FOSVITA 30 saches de 7g;;0;;;;N;;30;690;0;23;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000057117;05;757-24144-DYBG;VITAFOR;FIBRAS ALIMENTARES;FV250 - FOSVITA 250g;;0;;;;N;;1;495;0;495;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000074031;05;757-24144-EWWL;VITAFOR;FIBRAS ALIMENTARES;FBF400 - FIBERFOR Pote com 400 g;;0;;;;N;;1;630;0;630;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000084938;05;757-24144-FLCD;VITAFOR;FIBRAS ALIMENTARES;SFF210 - SIMFORT FIBRAS POTE com 210g;;0;;;;N;;1;445;0;445;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000092981;05;757-24144-FUVV;VITAFOR;FIBRAS ALIMENTARES;FV7S - FOSVITA sache 7 g (unitario);;;;;;N;;1;23;0;23;0;;BRAS_PF_PMC;ed. 1070;19;
BRASINDICE;1094;material;0000081234;05;994-25584-FGOU;PROBENE;FIBRAS SUSTAP;Fibras - Lata 300 g;;0;;;;N;;1;230;0;230;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000081235;05;994-25584-FGOV;PROBENE;FIBRAS SUSTAP;FOS - Lata 250 g;;0;;;;N;;1;260;0;260;0;;BRAS_PF_PMC;ed. 1065;19;
BRASINDICE;1094;material;0000082697;05;994-25584-FTWI;PROBENE;FIBRAS SUSTAP;Polidextrose - Lata 400 g;;0;;;;N;;1;235;0;235;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000092503;05;068-28199-FUFB;ZAMBON;FILTRAIR DEFENSE;800 mg 200 sprays;;7898074617193;;;;N;;1;40.27;0;40.27;0;;BRAS_PF_PMC;ed. 1091;19;
