fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000088277;05;691-27258-FOXP;ZYDUS NIKKHO;GABALLON COG;Ct. bl. al. plas. PVDC trans. x 60 caps. mole;;7897460402108;;;;N;;60;99.69;0;1.66;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000091930;05;620-28021-FTKN;MEDQUIMICA;GASTROGEL DE BOLSO;10 ml cx. 60 flac.;;7896862991067;;;;N;;60;138.28;0;2.3;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000091931;05;620-28021-CUOP;MEDQUIMICA;GASTROGEL DE BOLSO;10 ml cx. 12 flac.;;7896862991074;;;;N;;12;30.74;0;2.56;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000071160;05;620-23708-ETWY;MEDQUIMICA;GASTROGEL FRESH;Fr. plast. 240 ml;;7896862960261;;;;N;;1;42.7;0;42.7;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000071161;05;620-23708-ETWZ;MEDQUIMICA;GASTROGEL FRESH;Fr. plast. 150 ml;;7896862960254;;;;N;;1;28.42;0;28.42;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000091932;05;620-28022-AENU;MEDQUIMICA;GASTROGEL TABS;Cx. 20 cprs. mast.;;7896862993627;;;;N;;20;18.61;0;0.93;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000091933;05;620-28023-AENU;MEDQUIMICA;GASTROGEL TABS MENTA;Cx. 20 cprs. mast.;;7896862993665;;;;N;;20;18.61;0;0.93;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000091934;05;620-28023-FTLA;MEDQUIMICA;GASTROGEL TABS MENTA;Cx. 120 cprs. mast.;;7896862993672;;;;N;;120;122.13;0;1.02;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000091229;05;846-27876-FSQF;COSMED;GASTROL DIGEST GLUTEN;Ct. bl. x 6 caps. dura;;7896094931015;;;;N;;6;31.14;0;5.19;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000090711;05;846-27759-FRYT;COSMED;GASTROL DIGEST LAC;10000 FCC x 8 caps. mole;;7896094930308;;;;N;;8;10.75;0;1.34;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000090712;05;846-27759-FRYU;COSMED;GASTROL DIGEST LAC;10000 FCC x 30 caps. mole;;7896094930315;;;;N;;30;35.37;0;1.18;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000092893;05;846-28297-FUSQ;COSMED;GASTROL PROBIOTICO;1 bl. ct. bl. x 10 caps. dura;;7896094931596;;;;N;;10;34.29;0;3.43;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000092894;05;846-28297-FUSR;COSMED;GASTROL PROBIOTICO;1 bl. ct. bl. x 30 caps. dura;;7896094931602;;;;N;;30;58.6;0;1.95;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000090244;05;846-27667-EYQS;COSMED;GELOL;Gel massageador bisn. 60 g;;7896094916890;;;;N;;1;32.55;0;32.55;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079215;05;438-25138-FDTG;BIOLAB SANUS;GENGI BABY;Gel x 10 g.;;7896112408864;80522910009;;;N;;1;64.15;0;64.15;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000094147;05;438-28589-FWJU;BIOLAB SANUS;GENGICALM BABY;Gel Bisn. 10g;;7896112410379;;;;N;;1;42.27;0;42.27;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000087332;05;1082-26847-FNNZ;MICREX;GENGO;Frasco 40 cprs. sublingual;;7898922749717;;;;N;;40;37;0;0.92;0;;BRAS_PF_PMC;ed. 1071;19;
BRASINDICE;1094;material;0000024540;05;726-15808-CKLE;SBMN;GENITURINARIO IN VIVO;Cintilografia renal dinamica;;;;60035609;;N;;1;255.58;0;255.58;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000024541;05;726-15808-CKLF;SBMN;GENITURINARIO IN VIVO;Cintilografia renal dinamica com diuretico;;;;60035617;;N;;1;255.58;0;255.58;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000024542;05;726-15808-CKLG;SBMN;GENITURINARIO IN VIVO;Cintilografia renal estatica (qualitativa ou quantitativa);;;;60035625;;N;;1;255.58;0;255.58;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000024543;05;726-15808-CKLH;SBMN;GENITURINARIO IN VIVO;Cintilografia testicular escrotal;;;;60035633;;N;;1;255.58;0;255.58;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000024544;05;726-15808-CKLI;SBMN;GENITURINARIO IN VIVO;Cistocintilografia direta;;;;60035641;;N;;1;255.58;0;255.58;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000024545;05;726-15808-CKLJ;SBMN;GENITURINARIO IN VIVO;Cistocintilografia indireta;;;;60035650;;N;;1;255.58;0;255.58;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000024546;05;726-15808-CKLK;SBMN;GENITURINARIO IN VIVO;Determinacao da filtracao glomerular;;;;60035668;;N;;1;44.37;0;44.37;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000024547;05;726-15808-CKLM;SBMN;GENITURINARIO IN VIVO;Determinacao do fluxo plasmatico renal;;;;60035676;;N;;1;42;0;42;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000089366;05;072-27461-FKVO;EUROFARMA;GENOVA CABELOS E UNHAS;Ct. 60 cprs.;;7891317025588;;;;N;;60;129.49;0;2.16;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000091652;05;072-27461-FTCL;EUROFARMA;GENOVA CABELOS E UNHAS;Ct. c/60 cprs.;;7891317039622;;;;N;;60;130.98;0;2.18;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000089367;05;072-27462-FQKM;EUROFARMA;GENOVA PELE;Ct. 30 cprs.;;7891317020330;;;;N;;30;168.88;0;5.63;0;;BRAS_PF_PMC;ed. 1091;19;
