fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000079069;05;472-25133-FDNS;CNPH;HALYARD;Avental para Protecao em Isolamento;;;;;;N;;1;37.39;0;37.39;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079070;05;472-25133-FDNT;CNPH;HALYARD;Avental Cirurgico Aero Chrome* Respiravel, G;;;;;;N;;1;355.95;0;355.95;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079071;05;472-25133-FDNU;CNPH;HALYARD;Avental Cirurgico Aero Chrome* Respiravel, GG;;;;;;N;;1;400.28;0;400.28;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079072;05;472-25133-FDNV;CNPH;HALYARD;Avental Cirurgico Basics*, G;;;;;;N;;1;208.5;0;208.5;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079073;05;472-25133-FDNW;CNPH;HALYARD;Avental Cirurgico Basics*, GG;;;;;;N;;1;235.91;0;235.91;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079074;05;472-25133-FDNX;CNPH;HALYARD;Avental Cirurgico Spectrum*, GG;;;;;;N;;1;204.29;0;204.29;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079075;05;472-25133-FDNY;CNPH;HALYARD;Avental Cirurgico ValueSelect*, G;;;;;;N;;1;124.57;0;124.57;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079076;05;472-25133-FDNZ;CNPH;HALYARD;Avental Cirurgico ValueSelect*, GG;;;;;;N;;1;127.76;0;127.76;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079077;05;472-25133-FDOA;CNPH;HALYARD;Avental Cirurgico ValueSelect* Filme-Reforcado Halyard G;;;;;;N;;1;159.1;0;159.1;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079078;05;472-25133-FDOB;CNPH;HALYARD;Avental Cirurgico ValueSelect* Filme-Reforcado Halyard GG;;;;;;N;;1;168.37;0;168.37;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079079;05;472-25133-FDOC;CNPH;HALYARD;Avental Cirurgico ValueSelect* Filme-Reforcado Halyard GGG;;;;;;N;;1;174.61;0;174.61;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079080;05;472-25133-FDOD;CNPH;HALYARD;Avental Cirurgico Ultra Reforcado Halyard G;;;;;;N;;1;267.68;0;267.68;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079081;05;472-25133-FDOE;CNPH;HALYARD;Avental Cirurgico Ultra Reforcado Halyard GG;;;;;;N;;1;280.8;0;280.8;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079082;05;472-25133-FDOF;CNPH;HALYARD;Avental Cirurgico Ultra, G;;;;;;N;;1;199.63;0;199.63;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079083;05;472-25133-FDOG;CNPH;HALYARD;Avental Cirurgico Ultra, GG;;;;;;N;;1;206.01;0;206.01;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079084;05;472-25133-FDOJ;CNPH;HALYARD;Cobertura Desc. p/ Mesa Mayo Basics* c/ Area de Reforco 58 cm x 137 cm;;;;;;N;;1;55.89;0;55.89;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079085;05;472-25133-FDOK;CNPH;HALYARD;Cobertura Desc. p/ Mesa Auxiliar Basics* c/ Area de Reforco 112 cm x 229 cm;;;;;;N;;1;76.05;0;76.05;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079086;05;472-25133-FDOL;CNPH;HALYARD;Cobertura Descartavel Padrao para Mesa Auxiliar 112 cm x 229 cm;;;;;;N;;1;128.51;0;128.51;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079087;05;472-25133-FDOM;CNPH;HALYARD;Cobertura Descartavel para Mesa Mayo Reforcada 58 cm x 137 cm;;;;;;N;;1;87.01;0;87.01;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079088;05;472-25133-FDON;CNPH;HALYARD;Cobertura Desc. p/ Mesa cirur. tipo Varal 216 cm x 193 cm / 112 cm x 152 cm;;;;;;N;;1;445.89;0;445.89;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000079089;05;472-25133-FDOO;CNPH;HALYARD;Campo Cirurgico de SMS Grande 152 cm x 193 cm;;;;;;N;;1;144.48;0;144.48;0;;BRAS_PF_PMC;ed. 1066;19;
