fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000079222;05;387-25143-FDTP;FARMOQUIMICA;IMECAP;Hair Max Shampoo 200 ml.;;7898040328108;;;;N;;1;69.34;0;69.34;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000079223;05;387-25143-FDTQ;FARMOQUIMICA;IMECAP;Hair Max Locao 100 ml.;;7898040328481;;;;N;;1;69.98;0;69.98;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000083489;05;387-26190-FJII;FARMOQUIMICA;IMECAP ACTSUN;FPS60 Bisn. 50G;;7898040328825;235400209287;;;N;;1;37.22;0;37.22;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000083490;05;387-26190-FJIJ;FARMOQUIMICA;IMECAP ACTSUN;FPS60 Bisn. 50G Claro;;7898040328764;235400207287;;;N;;1;41.28;0;41.28;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000083491;05;387-26190-FJIK;FARMOQUIMICA;IMECAP ACTSUN;FPS60 Bisn. 50G Medio;;7898040328788;235400210287;;;N;;1;41.28;0;41.28;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000083492;05;387-26190-FJIL;FARMOQUIMICA;IMECAP ACTSUN;FPS60 Bisn. 50G Morena;;7898040328801;235400211287;;;N;;1;41.28;0;41.28;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000095345;05;387-26190-FXMX;FARMOQUIMICA;IMECAP ACTSUN;FPS50 Stick bastao 14 g escuro;;7898244720524;;;;N;;1;73.48;0;73.48;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000095346;05;387-26190-FXMY;FARMOQUIMICA;IMECAP ACTSUN;FPS50 Stick bastao 14 g claro;;7898244720500;;;;N;;1;73.48;0;73.48;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000095347;05;387-26190-FXMZ;FARMOQUIMICA;IMECAP ACTSUN;FPS50 Stick bastao 14 g medio;;7898244720517;;;;N;;1;73.48;0;73.48;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000087910;05;387-27104-CPBF;FARMOQUIMICA;IMECAP FACE;Bl. 30 caps.;;7898414853106;;;;N;;30;50;0;1.67;0;;BRAS_PF_PMC;ed. 1066;19;
