fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000057056;05;931-21789-DXYT;SMITH + NEPHEW;JELONET Tela Parafinada;7403 - 05 x 05 cm - 50 unid.;;;;;;N;;50;664.13;0;13.28;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000057057;05;931-21789-DXYU;SMITH + NEPHEW;JELONET Tela Parafinada;7409 - 10 x 10 cm - 100 unid.;;;;;;N;;100;1992.38;0;19.92;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000057058;05;931-21789-DXYV;SMITH + NEPHEW;JELONET Tela Parafinada;7459 - 40 x 10 cm - 10 unid.;;;;;;N;;10;637.56;0;63.76;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000057059;05;931-21789-DXYW;SMITH + NEPHEW;JELONET Tela Parafinada;7415 - 15 cm x 02 m - 12 unid.;;;;;;N;;12;3347.19;0;278.93;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000091169;05;1030-27850-FSOK;PHOLIAS;JUST CREATINA;Pote 300 g;;7898662840255;;;;N;;1;212.8;0;212.8;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000094408;05;1030-28651-FSOK;PHOLIAS;JUST FIBRAS SOLUVEIS;Pote 300 g;;7898662841030;;;;N;;1;119.98;0;119.98;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000091168;05;1030-27848-BRDQ;PHOLIAS;JUST L-ARGININA;Pote 150 g;;7898662840293;670550025;;;N;;1;111.41;0;111.41;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000091170;05;1030-27851-FSOK;PHOLIAS;JUST L-GLUTAMINA;Pote 300 g;;7898662840262;670550026;;;N;;1;205.66;0;205.66;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000094407;05;1030-27851-CZQA;PHOLIAS;JUST L-GLUTAMINA;Sache 10 g;;7898662841788;670550026;;;N;;1;23.41;0;23.41;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000091171;05;1030-27852-CEZW;PHOLIAS;JUST MALTODEXTRIA;Pote 400 g;;7898662840699;670550027;;;N;;1;54.92;0;54.92;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000091181;05;1030-27857-FSOT;PHOLIAS;JUST WHEY CONCENTRADO;Pote 1 kg;;7898662841511;;;;N;;1;745.46;0;745.46;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000091183;05;1030-27858-FSOK;PHOLIAS;JUST WHEY CONCENTRADO;Pote 300 g;;7898662841009;;;;N;;1;336.91;0;336.91;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000091185;05;1030-27858-FSON;PHOLIAS;JUST WHEY CONCENTRADO;Pote 500 g;;7898662841528;;;;N;;1;336.91;0;336.91;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000094406;05;1030-28650-FSOK;PHOLIAS;JUST WHEY HIDROLISADO;Pote 300 g;;;;;;N;;1;566.11;0;566.11;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000091188;05;1030-27859-FSOK;PHOLIAS;JUST WHEY ISOLADO;Pote 300 g;;7898662841078;;;;N;;1;479.13;0;479.13;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000094404;05;1030-27859-FSOT;PHOLIAS;JUST WHEY ISOLADO;Pote 1 kg;;7898662841085;6705500290014;;;N;;1;1597.1;0;1597.1;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000094405;05;1030-27859-FWSE;PHOLIAS;JUST WHEY ISOLADO;Pote 900 g;;7898662841542;6705500290014;;;N;;1;1437.38;0;1437.38;0;;BRAS_PF_PMC;ed. 1084;19;
