fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000072937;05;001-23922-DWPT;UNIAO QUIMICA;K-SEX NATURAL;Gel bisn. 50 g;;7896006216568;80424140004;;;N;;1;16.53;0;16.53;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000081723;05;969-25685-AKEZ;ARESE;KADIX;Cx. 30 cprs. rev.;;7899824401178;;;;N;;30;84.12;0;2.8;0;;BRAS_PF_PMC;ed. 1067;19;
BRASINDICE;1094;material;0000091481;05;1092-27919-FSXW;GLOBO PHARMA;KALOSTOP (NOTIF. SIMPLIF.);0,20 + 0,15 ml/ml sol. fr. 10 ml;;7899620913202;;;;N;;1;24.31;0;24.31;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000091768;05;1112-27989-FTFT;VISAO IMPLANTES;KD INTRA-ARTICULAR GEL;1,0% 2,0 ml;;4250311900957;81666770006;;;N;;1;1550;0;1550;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000091769;05;1112-27989-FTFU;VISAO IMPLANTES;KD INTRA-ARTICULAR GEL;1,6% 2,0 ml;;4250311900971;81666770006;;;N;;1;2780;0;2780;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000091770;05;1112-27989-FTFV;VISAO IMPLANTES;KD INTRA-ARTICULAR GEL;2,2% 2,0 ml;;4250311900988;81666770006;;;N;;1;3996;0;3996;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000091771;05;1112-27989-FTFW;VISAO IMPLANTES;KD INTRA-ARTICULAR GEL;One 2,5% 3,0 ml;;4250311907727;81666770006;;;N;;1;4524.25;0;4524.25;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000091772;05;1112-27989-FTFX;VISAO IMPLANTES;KD INTRA-ARTICULAR GEL;Ultra one 2,5% 4,8 ml;;4250311906973;81666770006;;;N;;1;6321;0;6321;0;;BRAS_PF_PMC;ed. 1080;19;
BRASINDICE;1094;material;0000094617;05;1112-27989-FWXP;VISAO IMPLANTES;KD INTRA-ARTICULAR GEL;1,6% 1,0 ml;;4250311191182;81666770006;;;N;;1;3072;0;3072;0;;BRAS_PF_PMC;ed. 1088;19;
BRASINDICE;1094;material;0000073889;05;995-16565-CPLJ;FQM MELORA;KELO-COTE;Gel bisn. 15 gr.;;7898040321871;80070490001;;;N;;1;168.03;0;168.03;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000073890;05;995-16565-CXFA;FQM MELORA;KELO-COTE;Spray 100 ml;;7898040322618;80070490001;;;N;;1;214.42;0;214.42;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000073891;05;995-21922-DZQC;FQM MELORA;KELO-COTE UV;Gel bisn. 15 g;;7898040324391;;;;N;;1;161.45;0;161.45;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000087644;05;912-24954-FNXJ;MOMENTA;KELUS;15 g gel;;7891317015039;80164799011;;;N;;1;117.98;0;117.98;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000061685;05;677-22362-EEQF;PHARMAKIN;KIN HIDRAT;Pasta dentifricia 125 g;;8436026215906;;;;N;;1;40.77;0;40.77;0;;BRAS_PF_PMC;ed. 1072;19;
BRASINDICE;1094;material;0000061686;05;677-22362-EEQG;PHARMAKIN;KIN HIDRAT;Spray fr. 40 ml;;8436026215210;;;;N;;1;58.33;0;58.33;0;;BRAS_PF_PMC;ed. 1072;19;
BRASINDICE;1094;material;0000061687;05;677-22362-EEQJ;PHARMAKIN;KIN HIDRAT;Gel sache 2 g cx. c/30 un.;;8436026215890;;;;N;;30;165.38;0;5.51;0;;BRAS_PF_PMC;ed. 1072;19;
BRASINDICE;1094;material;0000070808;05;613-23646-ETLK;MEDICONE;KIT BUTTON PARA GASTROSTOMIA;peca;;;;;;N;;1;3450;0;3450;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000073462;05;975-24016-EWEV;MAX CIRURGICA;KIT CATETER (ARROW);Duplo lumen hemodialise;;;;;;N;;1;1231.25;0;1231.25;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000073463;05;975-24016-EWEU;MAX CIRURGICA;KIT CATETER (ARROW);Triplo lumen hemodialise;;;;;;N;;1;1231.25;0;1231.25;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018107;05;669-14169-BZQA;B.BRAUN AESCULAP;KIT CATETER ARTERIAL;5206316 - Arteriofix 22G 80MM;;;;70104000;;N;;1;989.66;0;989.66;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018108;05;669-14169-BZQB;B.BRAUN AESCULAP;KIT CATETER ARTERIAL;5206324 - Arteriofix 20G 80MM;;;;70103992;;N;;1;989.66;0;989.66;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018109;05;669-14169-BZQC;B.BRAUN AESCULAP;KIT CATETER ARTERIAL;5206332 - Arteriofix 20G 160MM;;;;70103984;;N;;1;989.66;0;989.66;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018110;05;669-14169-BZQD;B.BRAUN AESCULAP;KIT CATETER ARTERIAL;5206359 - Arteriofix 18G 160MM;;;;70103976;;N;;1;989.66;0;989.66;0;;BRAS_PF_PMC;ed. 1066;19;
