fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000061802;05;955-22401-EETY;HOSP - PHARMA;L-ALANIL GLUTAMINA;Ml;;;;;;N;;1;14.38;0;14.38;0;;BRAS_PF_PMC;ed. 1069;19;
BRASINDICE;1094;material;0000085599;05;001-26531-FKZK;UNIAO QUIMICA;L-CAPS D+;60 caps. mole;;7896006218982;ISENTO;;;N;;60;106.16;0;1.77;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000088181;05;072-27198-FOPQ;EUROFARMA;LA IMMUNITA;Sol. or. ct. fr. x 150 ml;;7891317030087;;;;N;;1;130.98;0;130.98;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000093480;05;072-28412-FMPI;EUROFARMA;LACBI 5;Ct. 10 caps.;;7891317044879;;;;N;;10;77.25;0;7.72;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000093481;05;072-28412-FMPJ;EUROFARMA;LACBI 5;Ct. 30 caps.;;7891317044886;;;;N;;30;192.59;0;6.42;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000093482;05;072-28412-FMPK;EUROFARMA;LACBI 5;Ct. 5 caps.;;7891317044862;;;;N;;5;51.51;0;10.3;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000094362;05;072-28639-FQKM;EUROFARMA;LACBI IMUNE;Ct. 30 cprs.;;7891317049195;;;;N;;30;123.86;0;4.13;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000094363;05;072-28639-FWRN;EUROFARMA;LACBI IMUNE;Ct. 7 cprs.;;7891317049201;;;;N;;7;41.3;0;5.9;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000089599;05;969-27542-FQQV;ARESE;LACFER ADZ;Suspensao Oral 9 mL;;7899824401352;;;;N;;1;51.32;0;51.32;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000090402;05;957-27703-FROL;HERBARIUM;LACLEV;9000 FCC 6 cprs.;;7896083411665;6628200070021;;;N;;6;17.9;0;2.98;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000090403;05;957-27703-ELWK;HERBARIUM;LACLEV;9000 FCC 30 cprs.;;7896083411375;6628200070021;;;N;;30;53.23;0;1.77;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000085071;05;376-26476-FLEN;HEBRON;LACNEW;Cx. c/30 caps.;;7896685303368;4902500620011;;;N;;30;58.96;0;1.97;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000001267;05;445-01558-ADUE;ALLERGAN;LACRIL;Sol. oft. 15 ml;;7897316806791;80143600133;;n?o aplic?vel;N;;1;26.77;0;26.77;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000075270;05;030-27772-APKQ;ALCON;LACRIMA PLUS;15 ml;;0300651418477;81869420147;;;N;;1;34.27;0;34.27;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000060950;05;387-13932-EDPW;FARMOQUIMICA;LACTOFOS;15 saches 6 g;;7898040325114;6663700010016;;;N;;15;83.97;0;5.6;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000053439;05;092-21234-DTJP;APSEN;LACTOSIL;Cx. 30 saches 2 g - 10000 FCC ALU;;7896637026307;6227405910026;;;N;;30;88.01;0;2.93;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000073929;05;092-21234-EWUX;APSEN;LACTOSIL;10000 FCC ALU cx. 30 cprs.;;7896637026802;6227405920021;;;N;;30;76.82;0;2.56;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000088678;05;092-21234-FPKZ;APSEN;LACTOSIL;Cx. 30 cprs. 4.500 FCC ALU;;7896637034920;6227405920013;;;N;;30;44.02;0;1.47;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000088679;05;092-21234-FPLA;APSEN;LACTOSIL;Cx. 30 saches 4.500 FCC ALU;;7896637034937;6227405910018;;;N;;30;44.02;0;1.47;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000080681;05;092-25458-AETT;APSEN;LACTOSIL FLORA;Cx. 8 caps.;;7896637032261;6227405970010;;;N;;8;28.88;0;3.61;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000080773;05;092-25458-ABUV;APSEN;LACTOSIL FLORA;Cx. 30 caps.;;7896637032247;6227405970010;;;N;;30;82.21;0;2.74;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000086294;05;1025-26664-FMPV;BIOLAB GENERICOS;LACTULOSE;667 mg/ml sol. x 120 ml;;7896112406631;;;;N;;1;20.8;0;20.8;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000018207;05;669-14177-BZTW;B.BRAUN AESCULAP;LAMINA BISTURI (IPI 8% Incluso);BB510 - NR.10 Esteril 100UNID;;0;;70361002;;N;;100;275;0;2.75;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018208;05;669-14177-BZTX;B.BRAUN AESCULAP;LAMINA BISTURI (IPI 8% Incluso);BB511 - NR.11 Esteril 100UNID;;0;;70361010;;N;;100;275;0;2.75;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018209;05;669-14177-BZTY;B.BRAUN AESCULAP;LAMINA BISTURI (IPI 8% Incluso);BB512 - NR.12 Esteril 100UNID;;0;;70361029;;N;;100;275;0;2.75;0;;BRAS_PF_PMC;ed. 1066;19;
