fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000048420;05;438-20437-BHQO;BIOLAB SANUS;M&P DRY;Locao 60 ml;;7896112421979;2276300680019;;;N;;1;128.69;0;128.69;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000094060;05;912-28573-FWIO;MOMENTA;MAG + QUELATUS;175 mg x 60 cprs.;;7891317045579;;;;N;;60;159.34;0;2.66;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000090777;05;092-27770-AKEZ;APSEN;MAG B;Cx. 30 cprs. rev.;;7896637032575;;;;N;;30;69.48;0;2.32;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000090778;05;092-27770-BFRA;APSEN;MAG B;Cx. 60 cprs. rev.;;7896637032568;;;;N;;60;126.55;0;2.11;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000090802;05;362-27780-FSBG;MARJAN;MAGNEN B6;Ct. 30 cprs. rev. or. ali.;;7896226110370;;;;N;;30;101.12;0;3.37;0;;BRAS_PF_PMC;ed. 1088;19;
BRASINDICE;1094;material;0000090803;05;362-27780-FSBH;MARJAN;MAGNEN B6;Ct. 70 cprs. rev. or. ali.;;7896226110394;;;;N;;70;200.17;0;2.86;0;;BRAS_PF_PMC;ed. 1088;19;
BRASINDICE;1094;material;0000092039;05;362-27780-FTQX;MARJAN;MAGNEN B6;Ct. 4 cprs. rev. or. ali.;;7896226100104;;;;N;;4;12.84;0;3.21;0;;BRAS_PF_PMC;ed. 1083;19;
BRASINDICE;1094;material;0000081158;05;362-25560-ANAN;MARJAN;MAGNEN FEMME;30 cprs. rev.;;7896226109626;;;;N;;30;107.26;0;3.58;0;;BRAS_PF_PMC;ed. 1088;19;
BRASINDICE;1094;material;0000095399;05;362-28820-ERZR;MARJAN;MAGNEN MULTI;Ct. 30 cprs. rev.;;7896226110684;;;;N;;30;113.11;0;3.77;0;;BRAS_PF_PMC;ed. 1094;19;
BRASINDICE;1094;material;0000095400;05;362-28820-FOLG;MARJAN;MAGNEN MULTI;Ct. 70 cprs. rev.;;7896226110691;;;;N;;70;224.83;0;3.21;0;;BRAS_PF_PMC;ed. 1094;19;
