fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000090681;05;893-20864-EFNK;VIEMED;N DERM;Creme gel 100 g;;7896230308930;;;;N;;1;165;0;165;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000091945;05;620-28026-FTLL;MEDQUIMICA;NASALFREE;9 mg/mL spray frs. 50 ml;;7896862940126;;;;N;;1;30.17;0;30.17;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000091946;05;620-28027-FTLM;MEDQUIMICA;NASALFREE ALTO VOLUME;0,9% po + aplic.;;7896862993351;;;;N;;1;82.71;0;82.71;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000091947;05;620-28027-FTLN;MEDQUIMICA;NASALFREE ALTO VOLUME;0,9% po refil;;7896862993368;;;;N;;1;68.93;0;68.93;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000080255;05;703-25282-FTQG;MYRALIS;NASOAR (NOTIF.SIMPLIF.);2,106 g gran. sol. ct. 30 env. refil.;;7898430193477;;;;N;;30;41.8;0;1.39;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000087924;05;703-25282-FTQI;MYRALIS;NASOAR (NOTIF.SIMPLIF.);2,106 g gran. sol. ct. 15 env. + fr. or.;;7898430192586;;;;N;;15;30.38;0;2.03;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000088503;05;703-25282-FTQF;MYRALIS;NASOAR (NOTIF.SIMPLIF.);2,106 g gran. sol. ct. 30 env. or. + fr.;;7898430193484;;;;N;;30;45.6;0;1.52;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000086843;05;703-26719-FMYH;MYRALIS;NASOAR INFANTIL (NOTIF.SIMPLIF.);1,08 g sol. 15 env. or. x fr.;;7898430194290;;;;N;;15;34.18;0;2.28;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000088506;05;703-26719-FTQH;MYRALIS;NASOAR INFANTIL (NOTIF.SIMPLIF.);1,08 g sol. 15 env. ref. or.;;7898430194283;;;;N;;15;26.58;0;1.77;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000087926;05;703-27111-FOHG;MYRALIS;NASOAR LOTA;15 envelopes;;7898430194955;;;;N;;15;56.41;0;3.76;0;;BRAS_PF_PMC;ed. 1091;19;
