fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000073058;05;931-23945-EVQW;SMITH + NEPHEW;OASIS MATRIZ EXTRACELULAR;8213-6010-33 - 3 cm x 3,5 cm Fenestrado - 10 unid.;;;;;;N;;10;41281.08;0;4128.11;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000073059;05;931-23945-EVQX;SMITH + NEPHEW;OASIS MATRIZ EXTRACELULAR;8213-6010-37 - 3 cm x 7 cm Fenestrado - 10 unid.;;;;;;N;;10;54826.34;0;5482.63;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000073060;05;931-23945-EVQY;SMITH + NEPHEW;OASIS MATRIZ EXTRACELULAR;8213-6010-71 - 7 cm x 10 cm Fenestrado - 5 unid.;;;;;;N;;5;76165.05;0;15233.01;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000073063;05;931-23945-EVRB;SMITH + NEPHEW;OASIS MATRIZ EXTRACELULAR;8213-6010-72 - 7 cm x 20 cm Fenestrado - 5 unid.;;;;;;N;;5;121905.73;0;24381.15;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000094766;05;1129-16564-CPLA;SOLVENTUM;OCULOS DE PROTECAO;0610/10 Vision 3000H I AE-SC - pc. (5% IPI incl.);;;;;;N;;1;25.28;0;25.28;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000082774;05;088-24180-EXAW;MANTECORP FARMASA;OFOLATO;Bl. 90 cprs.;;7896094917408;;;;N;;90;164.35;0;1.83;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000082764;05;088-26029-DPMO;MANTECORP FARMASA;OFOLATO + FERRO;Bl. 30 cprs.;;7896094917781;;;;N;;30;85.62;0;2.85;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000082765;05;088-26029-EXAW;MANTECORP FARMASA;OFOLATO + FERRO;Bl. 90 cprs.;;7896094917798;;;;N;;90;179.72;0;2;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000082768;05;088-26031-FIKV;MANTECORP FARMASA;OFOLATO D;2000 UI ct. bl. x 30 cprs. rev.;;7896094919495;;;;N;;30;94.69;0;3.16;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000082769;05;088-26031-FIKX;MANTECORP FARMASA;OFOLATO D;2000 UI ct. bl. x 90 cprs.;;7896094919488;;;;N;;90;189.01;0;2.1;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000082770;05;088-26031-FIKY;MANTECORP FARMASA;OFOLATO D;1000 UI ct. bl. x 30 cprs.;;7896094919464;;;;N;;30;90.4;0;3.01;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000082771;05;088-26031-FIKZ;MANTECORP FARMASA;OFOLATO D;1000 UI ct. bl. x 90 cprs.;;7896094919457;;;;N;;90;180.7;0;2.01;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000082766;05;088-26030-FIKV;MANTECORP FARMASA;OFOLATO DFER;2000 UI ct. bl. x 30 cprs. rev.;;7896094919662;;;;N;;30;109.34;0;3.64;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000082767;05;088-26030-FIKW;MANTECORP FARMASA;OFOLATO DFER;1000 UI ct. bl. x 30 cprs. rev.;;7896094919648;;;;N;;30;94.83;0;3.16;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000082775;05;088-26033-AETF;MANTECORP FARMASA;OFOLATO GOTAS;Gts. 15 ml;;7896094918771;;;;N;;1;168.73;0;168.73;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000082776;05;088-26033-FILA;MANTECORP FARMASA;OFOLATO GOTAS;Gts. 50 ml;;7896094921115;;;;N;;1;275.12;0;275.12;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000083639;05;088-26215-FJNP;MANTECORP FARMASA;OFOLATO SOP;Ct. x 30 saches;;7896094925830;;;;N;;30;134.7;0;4.49;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000082763;05;088-27485-FIKU;MANTECORP FARMASA;OFOLATO VITAMINAS;Bl x 30 cprs.;;7896094916203;;;;N;;30;82.18;0;2.74;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000085132;05;030-15798-FLGD;ALCON;OFTANE;Fr. x 15 ml;;0300651429206;;;;N;;1;82.04;0;82.04;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000085134;05;030-15798-FLGC;ALCON;OFTANE;Fr. x 10 ml;;0300651429374;80153480098;;;N;;1;57.93;0;57.93;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000055847;05;898-21597-ABUV;BESINS;OGESTAN PLUS;Cx. 30 caps.;;7898948648483;;;;N;;30;98.4;0;3.28;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000068658;05;898-21597-EQNX;BESINS;OGESTAN PLUS;Cx. 90 caps.;;7898948648490;;;;N;;90;265.57;0;2.95;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000092288;05;001-28129-FTYA;UNIAO QUIMICA;OLEO CORPORAL;Fr. pvc cristal x 100 ml;;7896006277415;;;;N;;1;14.96;0;14.96;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000057390;05;001-21826-AAAY;UNIAO QUIMICA;OLEO MINERAL;Fr. 100 ml;;7896006277408;;;;N;;1;17.95;0;17.95;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000061803;05;955-22402-EETY;HOSP - PHARMA;OLEO SOJA + OLIVA + PEIXE 20%;Ml;;;;;;N;;1;11.47;0;11.47;0;;BRAS_PF_PMC;ed. 1069;19;
BRASINDICE;1094;material;0000091347;05;955-27882-EETY;HOSP - PHARMA;OLIGOELEMENTOS ADULTO E PEDIATRICO;Ml;;;;;;N;;1;29.35;0;29.35;0;;BRAS_PF_PMC;ed. 1075;19;
BRASINDICE;1094;material;0000065028;05;691-21123-ELBL;ZYDUS NIKKHO;OLIGOVIT UP;Fr. 60 caps. gel.;;7897460401378;;;;N;;60;83.93;0;1.4;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000078154;05;957-24989-AQAY;HERBARIUM;OMATER GEST;30 caps.;;7896083411610;;;;N;;30;105.2;0;3.51;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000070571;05;957-22411-AQAY;HERBARIUM;OMEGA MATER;30 caps.;;7896083410699;4869700990011;;;N;;30;97.25;0;3.24;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000018025;05;669-14162-BZMT;B.BRAUN AESCULAP;ONCOLOGIA - CATETER TOTALMENTE IMPLANTAVEL;4430050 - Celsite Epoxi Arterial Silic.2.0/1.0-6.0F/500MM;;;;70140324;;N;;1;3967.13;0;3967.13;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018026;05;669-14162-BZMW;B.BRAUN AESCULAP;ONCOLOGIA - CATETER TOTALMENTE IMPLANTAVEL;4433742 - Celsite Epoxi Babyport Pur 1.5/0.8-4.5F/500MM;;;;70140332;;N;;1;7763.56;0;7763.56;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018027;05;669-14162-BZMX;B.BRAUN AESCULAP;ONCOLOGIA - CATETER TOTALMENTE IMPLANTAVEL;4433734 - Celsite Epoxi Brachial Pur 1.7/1.1-5.1F/700MM;;;;70140340;;N;;1;7763.56;0;7763.56;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018028;05;669-14162-BZMY;B.BRAUN AESCULAP;ONCOLOGIA - CATETER TOTALMENTE IMPLANTAVEL;4433149 - Celsite Epoxi High Flow Stand.Pur 2.8/1.6-8.5F/800MM;;;;70140359;;N;;1;5513.11;0;5513.11;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018029;05;669-14162-BZMZ;B.BRAUN AESCULAP;ONCOLOGIA - CATETER TOTALMENTE IMPLANTAVEL;4433807 - Celsite Epoxi High Flow Stand.Silic.3.2/1.6-9.6F/800MM;;;;70140367;;N;;1;5513.11;0;5513.11;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018030;05;669-14162-BZNA;B.BRAUN AESCULAP;ONCOLOGIA - CATETER TOTALMENTE IMPLANTAVEL;4430069 - Celsite Epoxi Perit.C/ Tenckhoff Pur 4.7/2.8-14.1F/460MM;;;;70140375;;N;;1;7763.56;0;7763.56;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018031;05;669-14162-BZNB;B.BRAUN AESCULAP;ONCOLOGIA - CATETER TOTALMENTE IMPLANTAVEL;4430409 - Celsite Epoxi Ven .Standard Silic .2.0/1.0-6.0F/800MM;;;;70140383;;N;;1;5513.11;0;5513.11;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018032;05;669-14162-BZNC;B.BRAUN AESCULAP;ONCOLOGIA - CATETER TOTALMENTE IMPLANTAVEL;4430395 - Celsite Epoxi Ven .Standard Silic.2.8/1.1-8.5F/800MM;;;;70140391;;N;;1;5513.11;0;5513.11;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018033;05;669-14162-BZND;B.BRAUN AESCULAP;ONCOLOGIA - CATETER TOTALMENTE IMPLANTAVEL;4430893 - Celsite Epoxi Venoso Peq.Silic.2.0/1.0-6.0F/500MM;;;;70140316;;N;;1;5513.11;0;5513.11;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018034;05;669-14162-BZNE;B.BRAUN AESCULAP;ONCOLOGIA - CATETER TOTALMENTE IMPLANTAVEL;4430042 - Celsite MBS Arterial P.Aberta Silic.2.0/1.0-6.0F/500MM;;;;70140405;;N;;1;3967.13;0;3967.13;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018035;05;669-14162-BZNF;B.BRAUN AESCULAP;ONCOLOGIA - CATETER TOTALMENTE IMPLANTAVEL;4433556 - Celsite MBS High Flow Ven Peq.Pur 2.8/1.6-8.5F/800MM;;;;;;N;;1;4995.11;0;4995.11;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000018036;05;669-14162-BZNG;B.BRAUN AESCULAP;ONCOLOGIA - CATETER TOTALMENTE IMPLANTAVEL;4432460 - Celsite MBS High Flow Ven STD.Pur 2.8/1.6-8.5F/800MM;;;;70140421;;N;;1;4562.2;0;4562.2;0;;BRAS_PF_PMC;ed. 1066;19;
