fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000086281;05;912-20812-ABNY;MOMENTA;QUELATUS;30 cprs.;;7891317015473;;;;N;;30;105.46;0;3.52;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000089560;05;912-20812-FQPV;MOMENTA;QUELATUS;30 cprs. NV;;7891317029982;;;;N;;30;106.66;0;3.56;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000089558;05;912-24238-FQPT;MOMENTA;QUELATUS BARI;60 cprs. mast. NV;;7891317031091;;;;N;;60;125.11;0;2.09;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000089559;05;912-24238-FQPU;MOMENTA;QUELATUS BARI;30 cprs. mast. NV;;7891317031107;;;;N;;30;68.93;0;2.3;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000090236;05;912-25093-FRKD;MOMENTA;QUELATUS GEST;60 caps. nv;;7891317031121;;;;N;;60;123.08;0;2.05;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000069295;05;912-23389-ERMQ;MOMENTA;QUELATUS MIND;60 caps. MO;;7899640806126;;;;N;;60;133.22;0;2.22;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000090235;05;912-23389-FRKD;MOMENTA;QUELATUS MIND;60 caps. nv;;7891317031039;;;;N;;60;133.22;0;2.22;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000092465;05;912-28192-FOGX;MOMENTA;QUELATUS MIND FOS;60 caps.;;7891317040222;;;;N;;60;143.51;0;2.39;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000069294;05;912-23388-ERMP;MOMENTA;QUELATUS MULHER;30 caps.;;7899640806072;;;;N;;30;84.11;0;2.8;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000090237;05;912-23388-FJCT;MOMENTA;QUELATUS MULHER;30 caps.;;7891317031077;;;;N;;30;84.11;0;2.8;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000094367;05;912-23388-FOGX;MOMENTA;QUELATUS MULHER;60 caps.;;7891317048297;;;;N;;60;96.37;0;1.61;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000089561;05;912-20813-FQPV;MOMENTA;QUELATUS SENIOR;30 cprs. NV;;7891317030001;;;;N;;30;106.66;0;3.56;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000075752;05;622-20549-EZAU;PSH NUTRI;QUIMIOTERAPIA;Taxa de Manipulacao;;;;;;N;;1;600;0;600;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000041067;05;376-19135-AOPE;HEBRON;QUITLIS;Sol. oral fr. 150 ml;;7896685302095;;;;N;;1;60.52;0;60.52;0;;BRAS_PF_PMC;ed. 1090;19;
