fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000035723;05;756-17857-CWSA;ALKO DO BRASIL;RADIOLOGIA DIGESTIVA;ALKOBAG Bolsa Plastica p/ Enema - unid.;;;;;;N;;1;185.2;0;185.2;0;;BRAS_PF_PMC;ed. 1080;19;
BRASINDICE;1094;material;0000035724;05;756-17857-CWSB;ALKO DO BRASIL;RADIOLOGIA DIGESTIVA;Canula Retal Rigida 1 via - unid.;;;;;;N;;1;63.37;0;63.37;0;;BRAS_PF_PMC;ed. 1080;19;
BRASINDICE;1094;material;0000035726;05;756-17857-CWSD;ALKO DO BRASIL;RADIOLOGIA DIGESTIVA;Pera p/ Insuflar - unid.;;;;;;N;;1;174.05;0;174.05;0;;BRAS_PF_PMC;ed. 1080;19;
BRASINDICE;1094;material;0000070156;05;438-23491-FLYJ;BIOLAB SANUS;REAOX LITE;Cx. 30 caps.;;7898549750172;;;;N;;30;137.57;0;4.59;0;;BRAS_PF_PMC;ed. 1067;19;
BRASINDICE;1094;material;0000070151;05;438-22091-AQAY;BIOLAB SANUS;REAOX Q10;30 caps.;;7898549752114;6719800440011;;;N;;30;176.51;0;5.88;0;;BRAS_PF_PMC;ed. 1067;19;
BRASINDICE;1094;material;0000086954;05;438-26743-FLYJ;BIOLAB SANUS;REAOX ULTRA;Cx. 30 caps.;;7896112402817;;;;N;;30;175.32;0;5.84;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000062572;05;438-25966-FLYJ;BIOLAB SANUS;REAOX X30;Cx. 30 caps.;;7898942324079;;;;N;;30;149.77;0;4.99;0;;BRAS_PF_PMC;ed. 1067;19;
BRASINDICE;1094;material;0000081497;05;691-25662-FGXV;ZYDUS NIKKHO;REFORGAN;500 mg ct. bl. al. plas. x 30 cprs. rev.;;7897460401651;;;;N;;30;78.41;0;2.61;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000084183;05;691-26304-FKCP;ZYDUS NIKKHO;REFORGAN IMUNO;500 mg + 10 mg + 2000 UI x 30 cprs.;;7897460401897;;;;N;;30;85.5;0;2.85;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000084528;05;068-26362-FKOH;ZAMBON;REFORM DUO;30 saches;;7898074619081;;;;N;;30;200.86;0;6.7;0;;BRAS_PF_PMC;ed. 1067;19;
BRASINDICE;1094;material;0000084530;05;068-26364-FKOH;ZAMBON;REFORM MAX;30 saches;;7898074616974;;;;N;;30;142.69;0;4.76;0;;BRAS_PF_PMC;ed. 1067;19;
BRASINDICE;1094;material;0000084529;05;068-26363-FKOH;ZAMBON;REFORM TABS;30 saches;;7898074615908;;;;N;;30;84.51;0;2.82;0;;BRAS_PF_PMC;ed. 1067;19;
BRASINDICE;1094;material;0000075699;05;799-24599-EYYT;MEDVISION;REFRATIVA E OUTROS;Esponja cirurgica PVA 125 unid. desc. - (c/IPI);;;;;;N;;125;501;0;4.01;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000075700;05;799-24599-EYYU;MEDVISION;REFRATIVA E OUTROS;Retrator de iris - desc. c/ 5 ganchos - (c/IPI);;;;;;N;;5;622;0;124.4;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000089773;05;1006-23975-FQVW;EXELTIS;REGENESIS;Blisters com 60 caps. moles;;7908134200712;;;;N;;60;109.58;0;1.83;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000089774;05;1006-23975-FQVX;EXELTIS;REGENESIS;2 cartuchos com blisters de 60 caps. moles cada em uma embalagem promocional;;7908134200811;;;;N;;60;189;0;3.15;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000089775;05;1006-23975-FQVY;EXELTIS;REGENESIS;2 cartuchos com blisters de 60 caps. moles cada em uma embalagem promocional;;7908134200828;;;;N;;60;189;0;3.15;0;;BRAS_PF_PMC;ed. 1066;19;
