fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000084749;05;438-26416-FKVL;BIOLAB SANUS;S-COPEN;Cx. 30 saches 24 g;;7896112401001;;;;N;;30;234.9;0;7.83;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000095047;05;1057-28756-FXDU;PROMEDICA;SACO ASPIRACAO SERRES;2000 ml (marca: Serres) - 57167;;57167;;;;N;;1;249.6;0;249.6;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000095048;05;1057-28756-FXDV;PROMEDICA;SACO ASPIRACAO SERRES;c/valvula antirrefluxo 1000 ml (marca: Serres) - 57157-3;;57157-3;;;;N;;1;244.4;0;244.4;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000095049;05;1057-28756-FXDW;PROMEDICA;SACO ASPIRACAO SERRES;c/valvula antirrefluxo 2000 ml (marca: Serres) - 57167-3;;57167-3;;;;N;;1;249.6;0;249.6;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000090329;05;021-27692-FRNF;AVERT;SALINEX BABY (NOTIF.SIMPLIF.);Gotas x 30 ml;;7896112408673;;;;N;;1;19.09;0;19.09;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000081768;05;034-25701-FHGH;LIBBS;SALSEP JET;Adulto 100 ml or.;;7896094209701;;;;N;;1;31.9;0;31.9;0;;BRAS_PF_PMC;ed. 1094;19;
BRASINDICE;1094;material;0000081769;05;034-25701-FHGI;LIBBS;SALSEP JET;Infantil 100 ml or.;;7896094209695;;;;N;;1;33.42;0;33.42;0;;BRAS_PF_PMC;ed. 1094;19;
BRASINDICE;1094;material;0000009696;05;480-09650-BGPH;FRESENIUS MEDICAL CARE;SANEANTES;Reagente Allper 50 ml - 1 x 50 ml;;;;;;N;;1;106.26;0;106.26;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000009697;05;480-09650-CELL;FRESENIUS MEDICAL CARE;SANEANTES;Puristeril 5 L - 1 x 5 lts.;;;;;;N;;1;360.74;0;360.74;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000009698;05;480-09650-CELM;FRESENIUS MEDICAL CARE;SANEANTES;Proxitane ST 5 L - 1 x 5 lts.;;;;;;N;;1;359.26;0;359.26;0;;BRAS_PF_PMC;ed. 1066;19;
