fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000087699;05;846-27028-FNZG;COSMED;TAMARINE DUAL FIT HIB+ FRUT VER;400 ml.;;7896094928510;;;;N;;1;10;0;10;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000087698;05;846-27027-FNZG;COSMED;TAMARINE DUAL FIT TANG+PES+CAME;400 ml.;;7896094928503;;;;N;;1;10;0;10;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000087619;05;846-26984-FNWX;COSMED;TAMARINE FIB MAX;Ct. 10 saches x 6,5 g;;7896094927452;;;;N;;10;41.8;0;4.18;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000087620;05;846-26984-FNWY;COSMED;TAMARINE FIB MAX;Ct. 10 saches x 7,2 g;;7896094927483;;;;N;;10;41.8;0;4.18;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000089375;05;846-27465-FQKU;COSMED;TAMARINE GERMINA;Susp. 5 ml 4BI x 5 flac.;;7896094929807;;;;N;;20;32.87;0;1.64;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000089376;05;846-27465-FQKV;COSMED;TAMARINE GERMINA;Susp. 5 ml 2BL x 10 flac.;;7896094929814;;;;N;;20;32.87;0;1.64;0;;BRAS_PF_PMC;ed. 1084;19;
BRASINDICE;1094;material;0000094464;05;846-27465-FWTO;COSMED;TAMARINE GERMINA;Adulto po 5 bI. 9 saches;;7896094931695;;;;N;;45;41.62;0;0.92;0;;BRAS_PF_PMC;ed. 1086;19;
BRASINDICE;1094;material;0000095187;05;643-28786-FXHO;BD;TAMPA PROTETORA;306598 - TAMPA PROTETORA PUREHUB INDIVIDUAL;;;;;;N;;1;4.15;0;4.15;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000095188;05;643-28786-FXHP;BD;TAMPA PROTETORA;306599 - TAMPA PROTETORA PUREHUB TIRA;;;;;;N;;1;4.15;0;4.15;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000071240;05;001-23721-ETZJ;UNIAO QUIMICA;TAP KIDS;15% locao cremosa cx. 1 bisn. 100 ml;;7896006212348;2520300200010;;;N;;1;45.27;0;45.27;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000077154;05;836-24845-FAZE;TECNO VIDA;TAXAS;Controle Microbiologico/dia;;;;;;N;;1;60;0;60;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000077155;05;836-24845-FAZF;TECNO VIDA;TAXAS;Dieta enteral/dia;;;;;;N;;1;120;0;120;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000077156;05;836-24845-FAZG;TECNO VIDA;TAXAS;Dieta parenteral/dia;;;;;;N;;1;400;0;400;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000093443;05;864-28401-FVQB;TCMDERMA;TCM DERMA CLEAN;Fr. c/150 ml;;;;;;N;;1;56;0;56;0;;BRAS_PF_PMC;ed. 1073;19;
BRASINDICE;1094;material;0000046364;05;864-18492-DFYO;TCMDERMA;TCM DERMA HIDRATT;Bisn. 120 g;;;;;;N;;1;45.2;0;45.2;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000046365;05;864-18493-CFFJ;TCMDERMA;TCM DERMA PREVENT;Bisn. 60 g;;;;;;N;;1;30.1;0;30.1;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000062680;05;864-22523-EFXU;TCMDERMA;TCM DERMA PROTECT;Bisn. 60 g;;0;;;;N;;1;90.1;0;90.1;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000046367;05;864-18494-DKNZ;TCMDERMA;TCM DERMA SOAP;Fr. c/200 ml;;;;;;N;;1;47.3;0;47.3;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000064820;05;112-22770-EKVF;BALDACCI;TECNOFER;Cx. 30 cprs. eferv.;;7897851221608;;;;N;;30;92.84;0;3.09;0;;BRAS_PF_PMC;ed. 1069;19;
BRASINDICE;1094;material;0000078240;05;1095-25009-FOYW;FARB;TEGUM;100 g cx. 12 unidades;;7898100045914;80487380009;;;N;;12;1560;0;130;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000078241;05;1095-25009-FOYV;FARB;TEGUM;3 g cx. 100 saches;;7898100052042;80487380009;;;N;;100;560;0;5.6;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000091321;05;823-19087-FSTM;ASSUT EUROPE;TELA;Sorbimesh Rede Polipropileno Sintetica Semi Absorvivel 06 x 11 cm - SM6011;;0;;;;N;;1;860;0;860;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000091322;05;823-19087-FSTN;ASSUT EUROPE;TELA;Sorbimesh Rede Polipropileno Sintetica Semi Absorvivel 10 x 15 cm - SM1015;;0;;;;N;;1;1200;0;1200;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000091323;05;823-19087-FSTO;ASSUT EUROPE;TELA;Sorbimesh Rede Polipropileno Sintetica Semi Absorvivel 15 x 15cm - SM 1515;;0;;;;N;;1;1700;0;1700;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000091324;05;823-19087-FSTP;ASSUT EUROPE;TELA;Sorbimesh Rede Polipropileno Sintetica Semi Absorvivel 30 x 30 cm - SM 3030;;0;;;;N;;1;2400;0;2400;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000074157;05;995-24184-EXBJ;FQM MELORA;TENSAGE;Ilu olhos fr. 15 g.;;7898934336264;;;;N;;1;193.99;0;193.99;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000074158;05;995-24184-EXBK;FQM MELORA;TENSAGE;Gel cream fr. 30 g.;;7898934336240;;;;N;;1;216.68;0;216.68;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000074159;05;995-24184-EXBL;FQM MELORA;TENSAGE;Serum fr. 30 g.;;7898934336271;;;;N;;1;216.68;0;216.68;0;;BRAS_PF_PMC;ed. 1092;19;
BRASINDICE;1094;material;0000024581;05;726-15814-CKMV;SBMN;TERAPIA IN VIVO;Tratamento com MIBG;;;;60036028;;N;;1;6539.01;0;6539.01;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000024582;05;726-15814-CKMW;SBMN;TERAPIA IN VIVO;Tratamento da policemia vera;;;;60036036;;N;;1;320;0;320;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000024588;05;726-15814-CKMX;SBMN;TERAPIA IN VIVO;Tratamento de cancer da tireoide (ate 150 mCi);;;;60036044;;N;;1;3544.41;0;3544.41;0;;BRAS_PF_PMC;ed. 1066;19;
