fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000051598;05;896-20913-DRCA;BIOARGO;UDDERLY SMOOTH;Tubo 57 g;;;;;;N;;1;85;0;85;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000051599;05;896-20913-DRCB;BIOARGO;UDDERLY SMOOTH;Tubo 114 g;;;;;;N;;1;134;0;134;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000051600;05;896-20913-DRCC;BIOARGO;UDDERLY SMOOTH;Pote 340 g;;;;;;N;;1;279;0;279;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000051601;05;896-20913-DRCD;BIOARGO;UDDERLY SMOOTH;Garrafa 946 ml;;;;;;N;;1;506;0;506;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000058472;05;896-20913-EABA;BIOARGO;UDDERLY SMOOTH;Pote 340 g. c/ valvula;;;;;;N;;1;305;0;305;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000068816;05;896-20913-EQTU;BIOARGO;UDDERLY SMOOTH;Valvula pump p/pote 340 g;;;;;;N;;1;18;0;18;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000070983;05;001-23684-ETQU;UNIAO QUIMICA;ULTRAFIX;Creme s/sabor 40 g x 1;;7896006216315;80424149001;;;N;;1;37.33;0;37.33;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000070984;05;001-23684-ETQV;UNIAO QUIMICA;ULTRAFIX;Creme s/sabor 68 g x 1;;7896006216322;80424149001;;;N;;1;58.47;0;58.47;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000092292;05;001-23684-FTYD;UNIAO QUIMICA;ULTRAFIX;Creme s/sabor 20 g x 1;;7896006216339;80424149001;;;N;;1;23.36;0;23.36;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000089469;05;703-27109-FQNQ;MYRALIS;UNIZINCO PRE;0,5 mg/ml sus. got. 1 fr. 10 ml or.;;7898430194702;;;;N;;1;20.95;0;20.95;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000070985;05;001-19912-AIDI;UNIAO QUIMICA;UREPEL;Creme bisn. 60 g;;7896006203117;2520300040013;;;N;;1;38.76;0;38.76;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000092294;05;001-28133-FTYG;UNIAO QUIMICA;UREPEL 10%;Locao fr. x 150 ml;;7896006212621;;;;N;;1;41.28;0;41.28;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000072939;05;001-23924-FUSO;UNIAO QUIMICA;URESKIN 10%;Creme bisn. 60 g + cartucho;;7896006212393;;;;N;;1;41.8;0;41.8;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000092295;05;001-23924-FTYI;UNIAO QUIMICA;URESKIN 10%;Locao fr. x 240 ml;;7896006212683;;;;N;;1;86.94;0;86.94;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000047384;05;152-05892-DLZF;B.BRAUN;UROL. - BOLSA P/ DRENAGEM URINARIA;Ureofix 112 Plus;;;;;;N;;1;120;0;120;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000055670;05;152-05892-DWEA;B.BRAUN;UROL. - BOLSA P/ DRENAGEM URINARIA;Urimed SP;;;;;;N;;1;83.9;0;83.9;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000051671;05;152-20923-DRES;B.BRAUN;UROL. - CATETER;Cystofix CH10 AG c/12 cm;;;;;;N;;1;1800;0;1800;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000051672;05;152-20923-DRET;B.BRAUN;UROL. - CATETER;Cystofix CH12 com balao;;;;;;N;;1;3000;0;3000;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000047386;05;152-20287-AVND;B.BRAUN;UROL. - DIURESE URINARIA;Ureofix 500 classic;;;;;;N;;1;420;0;420;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044504;05;152-19714-DGAA;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO;228110A - Actreen lite cath Tiemann CH10 - 3,3 mm - 45C;;;;;;N;;1;33.75;0;33.75;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044505;05;152-19714-DGAB;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO;228112A - Actreen lite cath Tiemann CH12 - 4,0 mm - 45C;;;;;;N;;1;33.75;0;33.75;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044506;05;152-19714-DGAC;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO;228114A - Actreen lite cath Tiemann CH14 - 4,7 mm - 45C;;;;;;N;;1;33.75;0;33.75;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044507;05;152-19714-DGAD;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO;228208A - Actreen lite cath Nelaton CH08 - 2,7 mm - 45C;;;;;;N;;1;33.75;0;33.75;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044508;05;152-19714-DGAE;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO;228210A - Actreen lite cath Nelaton CH10 - 3,3 mm - 45C;;;;;;N;;1;33.75;0;33.75;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044509;05;152-19714-DGAF;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO;228212A - Actreen lite cath Nelaton CH12 - 4,0 mm - 45C;;;;;;N;;1;33.75;0;33.75;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044510;05;152-19714-DGAG;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO;228214A - Actreen lite cath Nelaton CH14 - 4,7 mm - 45C;;;;;;N;;1;33.75;0;33.75;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044511;05;152-19714-DGAJ;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO;228306A - Actreen lite cath Nelaton CH06 - 2,0 mm - 20C;;;;;;N;;1;33.75;0;33.75;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044512;05;152-19714-DGAK;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO;228308A - Actreen lite cath Nelaton CH08 - 2,7 mm - 20C;;;;;;N;;1;33.75;0;33.75;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044513;05;152-19714-DGAL;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO;228310A - Actreen lite cath Nelaton CH10 - 3,3 mm - 20C;;;;;;N;;1;33.75;0;33.75;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044514;05;152-19714-DGAM;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO;228312A - Actreen lite cath Nelaton CH12 - 4,0 mm - 20C;;;;;;N;;1;33.75;0;33.75;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000047387;05;152-19714-DLZG;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO;228216A - Actreen lite cath Nelaton CH16 - 5,3 mm - 45 C;;;;;;N;;1;33.75;0;33.75;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044493;05;152-19713-DFZP;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO COM BOLSA COLETORA;226110A - Actreen glys set Tiemann 45 cm - CH10 - 3,3 mm;;;;;;N;;1;54;0;54;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044494;05;152-19713-DFZQ;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO COM BOLSA COLETORA;226112A - Actreen glys set Tiemann 45 cm - CH12 - 4,0 mm;;;;;;N;;1;54;0;54;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044495;05;152-19713-DFZR;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO COM BOLSA COLETORA;226114A - Actreen glys set Tiemann 45 cm - CH14 - 4,7 mm;;;;;;N;;1;54;0;54;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044496;05;152-19713-DFZS;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO COM BOLSA COLETORA;226208A - Actreen glys set Nelaton 50 cm - CH08 - 2,7 mm;;;;;;N;;1;54;0;54;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044497;05;152-19713-DFZT;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO COM BOLSA COLETORA;226210A - Actreen glys set Nelaton 50 cm - CH10 - 3,3 mm;;;;;;N;;1;54;0;54;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044498;05;152-19713-DFZU;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO COM BOLSA COLETORA;226212A - Actreen glys set Nelaton 50 cm - CH12 - 4,0 mm;;;;;;N;;1;54;0;54;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044499;05;152-19713-DFZV;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO COM BOLSA COLETORA;226214A - Actreen glys set Nelaton 50 cm - CH14 - 4,7 mm;;;;;;N;;1;54;0;54;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044500;05;152-19713-DFZW;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO COM BOLSA COLETORA;226306A - Actreen glys set Nelaton 25 cm - CH06 - 2,0 mm;;;;;;N;;1;54;0;54;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044501;05;152-19713-DFZX;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO COM BOLSA COLETORA;226308A - Actreen glys set Nelaton 25 cm - CH08 - 2,7 mm;;;;;;N;;1;54;0;54;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044502;05;152-19713-DFZY;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO COM BOLSA COLETORA;226310A - Actreen glys set Nelaton 25 cm - CH10 - 2,7 mm;;;;;;N;;1;54;0;54;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000044503;05;152-19713-DFZZ;B.BRAUN;UROLOGIA - CATETERES INTERMITENTE LUBRIFICADO PRONTO PARA USO COM BOLSA COLETORA;226312A - Actreen glys set Nelaton 25 cm - CH12 - 4,0 mm;;;;;;N;;1;54;0;54;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000094560;05;654-28701-FWWG;ZAMMI;UROZAMM 500 ADVANCED;Coletor urina sist. fechado 51100;;;;;;N;;1;425.95;0;425.95;0;;BRAS_PF_PMC;ed. 1087;19;
