fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000050235;05;882-20713-DPMZ;MP HOSPITALAR;VALVULADOS;MPSet POLIVIAS 2 Reversivel Luer Lock Valvulado Plus - C - 14014;;;;;;N;;1;496.78;0;496.78;0;;BRAS_PF_PMC;ed. 1079;19;
BRASINDICE;1094;material;0000050236;05;882-20713-DPMY;MP HOSPITALAR;VALVULADOS;TRO-VENOFLOWBR 3 vias Reversivel Luer Lock Valvulado Plus - MC - 20018;;;;;;N;;1;52.19;0;52.19;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000050238;05;882-20713-DPNB;MP HOSPITALAR;VALVULADOS;TRO SOLUSET BR EXT CAT 5F, 7 cm, Reversivel Luer Lock Valvulado Plus - MC - 15024;;;;;;N;;1;52.15;0;52.15;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000050239;05;882-20713-DPNC;MP HOSPITALAR;VALVULADOS;TRO SOLUSET BR EXT CAT 8F, 20 cm, Reversivel Luer Lock Valvulado Plus - MC - 15033;;;;;;N;;1;49.19;0;49.19;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000050241;05;882-20713-DPNE;MP HOSPITALAR;VALVULADOS;TRO-SOLUSET BR MISC - Conector Valvulado Plus - MC - 26011;;;;;;N;;1;367;0;367;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000050242;05;882-20713-DPNF;MP HOSPITALAR;VALVULADOS;MPSet injector Reversivel Luer Lock Valvulado Plus - MC - 24022;;;;;;N;;1;51.3;0;51.3;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000050243;05;882-20713-DPNG;MP HOSPITALAR;VALVULADOS;MPSet Injector Filtro 15 micra Reversivel Luer Lock Valvulado Plus - MC - 24060;;;;;;N;;1;53.17;0;53.17;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000050244;05;882-20713-DPNJ;MP HOSPITALAR;VALVULADOS;MPSet Injector Filtro 15 micra Reversivel Luer Lock Eliminador de Ar Valvulado Plus - MC - 24063;;;;;;N;;1;279.03;0;279.03;0;;BRAS_PF_PMC;ed. 1079;19;
BRASINDICE;1094;material;0000050245;05;882-20713-DPNK;MP HOSPITALAR;VALVULADOS;MPSet Injector Air Filtro 15 micra Reversivel Luer Lock Valvulado Plus - MC - 24130;;;;;;N;;1;62.15;0;62.15;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000051115;05;882-20713-DQMV;MP HOSPITALAR;VALVULADOS;MPSet POLIVIAS 4 Reversivel Luer Lock Valvulado Plus - MC - 14051;;;;;;N;;1;197.89;0;197.89;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000063853;05;882-20713-EJLZ;MP HOSPITALAR;VALVULADOS;MPSet POLIVIAS 2 Neo Reversivel Luer Lock Valvulado Plus - C - 14023;;;;;;N;;1;210.69;0;210.69;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000070834;05;882-20713-ETMD;MP HOSPITALAR;VALVULADOS;Max Infusor Conector Valvuldo - Conector Valvulado Standart - 440102;;;;;;N;;1;216.87;0;216.87;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000070835;05;882-20713-ETME;MP HOSPITALAR;VALVULADOS;TRO SOLUSET BR EXT CAT 5F, 7 cm Rev. Luer Lock Valvulado Plus - C - 15023;;;;;;N;;1;142.69;0;142.69;0;;BRAS_PF_PMC;ed. 1066;19;
BRASINDICE;1094;material;0000070836;05;882-20713-ETMF;MP HOSPITALAR;VALVULADOS;TRO SOLUSET BR EXT CAT 8F, 20 cm, Rev. Luer Lock Valvulado Plus - C - 15029;;;;;;N;;1;157.98;0;157.98;0;;BRAS_PF_PMC;ed. 1066;19;
