fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;material;0000094298;05;918-28619-ACDX;HEEL DO BRASIL;ZEEL ARTRO;Inj. 5 amps. 2 ml;;4047642018426;1619800170010;;;N;;5;183.48;0;36.7;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000054400;05;918-21368-DUNM;HEEL DO BRASIL;ZEEL N;Fr. 50 cprs. subling.;;7898908753134;1619800110018;;;N;;50;67.08;0;1.34;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000054401;05;918-21368-DUNS;HEEL DO BRASIL;ZEEL N;Sol. inj. 10 amps. x 2,0 ml;;7898908753264;1619800110026;;;N;;10;244.2;0;24.42;0;;BRAS_PF_PMC;ed. 1090;19;
BRASINDICE;1094;material;0000092331;05;001-28153-FTZN;UNIAO QUIMICA;ZEROGLUT 348000 PPI;Caps. x 10 bl. (AL);;7896006298472;6632500320011;;;N;;10;40.07;0;4.01;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000092332;05;001-28153-FTZO;UNIAO QUIMICA;ZEROGLUT 348000 PPI;Caps. x 20 bl. (AL);;7896006299783;6632500320011;;;N;;20;74.2;0;3.71;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000092333;05;001-28155-FTZP;UNIAO QUIMICA;ZEROLAC 10000 FCC;Caps. dura x 30 bl. (AL);;7896006216520;6632500330017;;;N;;30;65.25;0;2.17;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000092334;05;001-28155-FTZQ;UNIAO QUIMICA;ZEROLAC 10000 FCC;Caps. mole x 10 bl. (AL);;7896006298595;6632500350018;;;N;;10;25.8;0;2.58;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000092335;05;001-28155-FTZR;UNIAO QUIMICA;ZEROLAC 10000 FCC;Caps. mast. x 10 bl. (AL);;7896006299790;6632500340012;;;N;;10;22.41;0;2.24;0;;BRAS_PF_PMC;ed. 1091;19;
BRASINDICE;1094;material;0000093639;05;410-28465-FVVM;HARTMANN BRASIL;ZETUVIT PLUS SIL;10 x 20 - Cx. 10 un.;;4052199602752;80170310111;;;N;;1;313;0;313;0;;BRAS_PF_PMC;ed. 1079;19;
BRASINDICE;1094;material;0000093640;05;410-28465-FVVK;HARTMANN BRASIL;ZETUVIT PLUS SIL;12,5 x 12,5 - Cx. 10 un.;;4052199602714;80170310111;;;N;;1;245.14;0;245.14;0;;BRAS_PF_PMC;ed. 1074;19;
BRASINDICE;1094;material;0000093636;05;410-28466-FVVJ;HARTMANN BRASIL;ZETUVIT PLUS SIL BORDER;10 x 10 - Cx. 1 un.;;4052199580050;80170310110;;;N;;1;348.98;0;348.98;0;;BRAS_PF_PMC;ed. 1079;19;
BRASINDICE;1094;material;0000093637;05;410-28467-FVVK;HARTMANN BRASIL;ZETUVIT PLUS SIL BORDER;12,5 x 12,5 - Cx. 10 un.;;4052199580098;80170310110;;;N;;1;514.1;0;514.1;0;;BRAS_PF_PMC;ed. 1079;19;
BRASINDICE;1094;material;0000093638;05;410-28466-FVVL;HARTMANN BRASIL;ZETUVIT PLUS SIL BORDER;16 x 26 - Cx. 10 un.;;4052199580456;80170310110;;;N;;1;503;0;503;0;;BRAS_PF_PMC;ed. 1074;19;
BRASINDICE;1094;material;0000093641;05;410-28464-FVVO;HARTMANN BRASIL;ZETUVIT PLUS SILICONE;20 x 20CM - Cx. 10 un.;;4052199602790;80170310111;;;N;;1;596.31;0;596.31;0;;BRAS_PF_PMC;ed. 1082;19;
BRASINDICE;1094;material;0000093642;05;410-28464-FVVP;HARTMANN BRASIL;ZETUVIT PLUS SILICONE;20 x 25CM - Cx. 10 un.;;4052199602837;80170310111;;;N;;1;679.79;0;679.79;0;;BRAS_PF_PMC;ed. 1082;19;
BRASINDICE;1094;material;0000093643;05;410-28464-FVVQ;HARTMANN BRASIL;ZETUVIT PLUS SILICONE;8 x 8CM - Cx. 10 un.;;4052199580036;80170310111;;;N;;1;199.2;0;199.2;0;;BRAS_PF_PMC;ed. 1079;19;
BRASINDICE;1094;material;0000093646;05;410-28462-FVVT;HARTMANN BRASIL;ZETUVIT PLUS SILICONE BORDER;15 x 15CM - Cx. 10 un.;;4052199580418;80170310110;;;N;;1;620.4;0;620.4;0;;BRAS_PF_PMC;ed. 1079;19;
BRASINDICE;1094;material;0000093647;05;410-28462-FVVO;HARTMANN BRASIL;ZETUVIT PLUS SILICONE BORDER;20 x 20CM - Cx. 10 un.;;4052199580494;80170310110;;;N;;1;615.5;0;615.5;0;;BRAS_PF_PMC;ed. 1074;19;
BRASINDICE;1094;material;0000093648;05;410-28462-FVVQ;HARTMANN BRASIL;ZETUVIT PLUS SILICONE BORDER;8 x 8CM - Cx. 10 un.;;4052199602677;80170310110;;;N;;1;199.2;0;199.2;0;;BRAS_PF_PMC;ed. 1082;19;
BRASINDICE;1094;material;0000093571;05;975-28442-FVTG;MAX CIRURGICA;ZETUVIT PLUS SILICONE BORDER (HARTMANN);413903-0 - Zetuvit Plus Silicone Border 15 x 15;;;;;;N;;1;606.38;0;606.38;0;;BRAS_PF_PMC;ed. 1075;19;
BRASINDICE;1094;material;0000093649;05;410-28461-FVVW;HARTMANN BRASIL;ZETUVIT PLUS SILICONE BORDER HEEL;25 x 25 - Cx. 10 un.;;4052199580692;80170310110;;;N;;1;1239.76;0;1239.76;0;;BRAS_PF_PMC;ed. 1082;19;
BRASINDICE;1094;material;0000093573;05;975-28447-FVTI;MAX CIRURGICA;ZETUVIT PLUS SILICONE BORDER HEEL (HARTMANN);413911-0 - Zetuvit Plus Silicone Border Heel 25 x 25;;;;;;N;;1;1203;0;1203;0;;BRAS_PF_PMC;ed. 1075;19;
BRASINDICE;1094;material;0000093644;05;410-28463-FVVR;HARTMANN BRASIL;ZETUVIT PLUS SILICONE BORDER OVAL;12 x 23 - Cx. 10 un.;;4052199580531;80170310110;;;N;;1;396;0;396;0;;BRAS_PF_PMC;ed. 1074;19;
