fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000025447;05;427-15948-CLOP;BLAU FARM.;B PLATIN-CARBOPLATINA (Restrito Hosp.) (CONVENIO 162/94);10 mg/ml sol. inj. FA vd. amb. x 15 ml;CARBOPLATINA;7896014665310;1163700140034;90030621;504401304153412;N;S;1;368.04;0;368.04;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000038875;05;427-15948-CNVU;BLAU FARM.;B PLATIN-CARBOPLATINA (Restrito Hosp.) (CONVENIO 162/94);10 mg/ml sol. inj. FA vd. amb. x 5 ml;CARBOPLATINA;7896014665303;1163700140026;90030648;504401302150416;N;S;1;123.35;0;123.35;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000038876;05;427-15948-CFQW;BLAU FARM.;B PLATIN-CARBOPLATINA (Restrito Hosp.) (CONVENIO 162/94);10 mg/ml sol. inj. FA vd. amb. x 45 ml;CARBOPLATINA;7896014665327;1163700140042;90030630;504401303157414;N;S;1;1110.29;0;1110.29;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1094;medicamento;0000092250;05;001-21195-FTXA;UNIAO QUIMICA;BABY SURE;Cx. c/fita;;7896006228530;80424140001;;;N;;1;10.99;0;10.99;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1094;medicamento;0000092251;05;001-28109-FTXB;UNIAO QUIMICA;BABY SURE PRIME;Cx. com caneta;;7896006228547;80424140005;;;N;;1;23.64;0;23.64;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000069845;05;473-23458-BUHA;NEO QUIMICA;BABYNEO;Pom. bisn. 60 g;"NISTATINA;ÓXIDO DE ZINCO";7896714225623;1558401740012;90372026;504617020051617;N;N;1;51.92;69.65;51.92;69.65;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1100;medicamento;0000036535;05;473-18028-CWOW;NEO QUIMICA;BAC-SULFITRIN;Sol. inj. cx. 50 amps. 5 ml;"TRIMETOPRIMA;SULFAMETOXAZOL";7896714233529;1558403460017;90371992;504617020050317;N;N;50;199.52;275.02;3.99;5.5;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000002910;05;342-04147-AASN;ELOFAR;BACFAR;Susp. fr. 100 ml;"TRIMETOPRIMA;SULFAMETOXAZOL";7898109240891;1038500030068;90112377;517100503132419;N;N;1;15.8;21.84;15.8;21.84;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000002911;05;342-04147-ACHB;ELOFAR;BACFAR;Cx. 4 x 5 cprs.;"TRIMETOPRIMA;SULFAMETOXAZOL";7898109240884;1038500030033;90259327;517100502111418;N;N;20;19.93;27.55;1;1.38;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000002912;05;342-04147-ALLY;ELOFAR;BACFAR;Susp. fr. 50 ml;"TRIMETOPRIMA;SULFAMETOXAZOL";7898109240983;1038500030041;90112369;517100504139417;N;N;1;11.13;15.39;11.13;15.39;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000047421;05;342-04147-DMAL;ELOFAR;BACFAR;80 mg/ml + 16 mg/ml susp. vd. x 100 ml;"TRIMETOPRIMA;SULFAMETOXAZOL";7898109240099;1038500030017;90112326;517100505135415;N;N;1;28.11;38.86;28.11;38.86;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000018882;05;342-14271-AAIT;ELOFAR;BACFAR F;Cx. 10 cprs.;"TRIMETOPRIMA;SULFAMETOXAZOL";7898109241720;1038500030106;90380894;517117060014403;N;N;10;21.72;30.02;2.17;3;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000012457;05;581-11601-FTNC;CAZI;BACIGEN;5 mg/g + 250 ui/g pom derm ct bg al x 20 g;"SULFATO DE NEOMICINA;BACITRACINA ZÍNCICA";7893736000511;1071500390021;90525221;505501301162412;N;N;1;21.6;28.98;21.6;28.98;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000085046;05;170-04502-FLDS;TEUTO BRAS.;BACLOFEN;10 mg. c/20 cprs. PV;BACLOFENO;7896112127178;1037001110017;90135652;520702701110412;N;N;20;21.57;29.73;1.08;1.49;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000062845;05;001-22247-EGBS;UNIAO QUIMICA;BACLOFENO - GENERICO;10 mg. ct. bl. al. plas. inc. x 20 cprs.;BACLOFENO;7896006209027;1049713850025;90324048;533015080061906;S;N;20;21.2;29.22;1.06;1.46;;BRAS_PF_PMC;ed. 1096;20;
