fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000006973;05;427-07894-BCHC;BLAU FARM.;C PLATIN-CISPLATINA (Restrito Hosp.) (CONVENIO 162/94);0,5 mg/ml sol. inj. ct. FA vd. amb. x 20 ml;CISPLATINA;7896014681006;1163700390014;90030737;504401501153415;N;S;1;70.01;0;70.01;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000006975;05;427-07894-CGGG;BLAU FARM.;C PLATIN-CISPLATINA (Restrito Hosp.) (CONVENIO 162/94);1 mg/ml sol. inj. ct. FA vd. amb. x 100 ml;CISPLATINA;7896014681150;1163700390030;90030710;504401503156411;N;S;1;323.55;0;323.55;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000040717;05;427-07894-DBPV;BLAU FARM.;C PLATIN-CISPLATINA (Restrito Hosp.) (CONVENIO 162/94);1 mg/ml sol. inj. ct. FA vd. amb. x 50 ml;CISPLATINA;7896014681020;1163700390073;90030729;504401504152411;N;S;1;161.8;0;161.8;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000073587;05;748-26994-EWLB;ACCORD;CAAB (Restrito Hosp.) (CONVENIO 132/21);60 mg. sol. inj. ct. FA vd. trans. x 1,5 ml + dil. x 4,5 ml;CABAZITAXEL;7898565581798;1553700590011;90415124;538018020025204;N;S;1;27058.48;0;27058.48;0;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000071218;05;828-26995-ETAC;DR. REDDY S;CABAZITAXEL - GENERICO (Restrito Hosp.) (CONVENIO 132/21);60 mg. sol. inj. ct. FA vd. trans. x 1,5 ml + dil. FA vd. trans.x  4,5 ml;;8901148236387;1514300190015;90377095;507517050006306;S;S;1;16957.71;0;16957.71;0;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000076251;05;748-26995-EZRX;ACCORD;CABAZITAXEL - GENERICO (Restrito Hosp.) (CONVENIO 132/21);60 mg. sol. inj. ct. FA vd. trans. x 1,5 ml + dil. 4,5 ml;CABAZITAXEL;7898565581286;1553700530019;90415248;538018110026403;S;S;1;17588.02;0;17588.02;0;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000070454;05;828-27073-ETAC;DR. REDDY S;CABAZRED (Restrito Hosp.) (CONVENIO 132/21);60 mg. sol. inj. ct. FA vd. trans. x 1,5 ml + dil. FA vd. trans.x  4,5 ml;CABAZITAXEL;8901148236394;1514300200010;90377060;507517030006004;N;S;1;26732.91;0;26732.91;0;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000078254;05;348-25013-FCMW;CRISTALIA;CABEREDUX;0,5 mg. ct. fr. vd. amb. x 2 cprs. or.;CABERGOLINA;7896676421637;1029804100016;90302150;506714070053404;N;N;2;75.93;104.66;37.97;52.33;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000078255;05;348-25013-FCMX;CRISTALIA;CABEREDUX;0,5 mg. ct. fr. vd. amb. x 8 cprs. or.;CABERGOLINA;7896676421620;1029804100024;90302168;506714070053504;N;N;8;262.55;361.9;32.82;45.24;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000071723;05;517-21581-EUPP;PRATI DONADUZZI;CABERGOLINA - GENERICO;0,5 mg. ct. fr. vd. amb. x 8 cprs.;CABERGOLINA;7899547510928;1256802570023;90359453;528517010130906;S;N;8;238.76;329.11;29.84;41.14;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000071724;05;517-21581-EUPQ;PRATI DONADUZZI;CABERGOLINA - GENERICO;0,5 mg. ct. fr. vd. amb. x 2 cprs.;CABERGOLINA;7899547510911;1256802570015;90359445;528517010131006;S;N;2;69;95.11;34.5;47.56;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000078402;05;072-21581-FCRK;EUROFARMA;CABERGOLINA - GENERICO;0,5 mg. ct. fr. amb. x 2 cprs. or.;CABERGOLINA;7891317005757;1004312740016;90440323;508019110127907;S;N;2;74.92;103.27;37.46;51.64;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000078403;05;072-21581-FCRL;EUROFARMA;CABERGOLINA - GENERICO;0,5 mg. ct. fr. amb. x 8 cprs. or.;CABERGOLINA;7891317005764;1004312740024;90440331;508019110128007;S;N;8;259;357;32.38;44.62;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000081314;05;529-21581-FGRN;RANBAXY;CABERGOLINA - GENERICO;0,5 mg. est. bl. 2 cprs.;CABERGOLINA;7897076922137;1235202660010;90465695;529920070065807;S;N;2;73.66;101.82;36.83;50.91;;BRAS_PF_PMC;ed. 1094;20;
