fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;medicamento;0000085720;05;020-26557-AAHE;DOVALLE;D VALLE;Cx. 30 cprs.;;7896360002272;;;;N;;30;45.88;0;1.53;0;;BRAS_PF_PMC;ed. 1068;20;
BRASINDICE;1094;medicamento;0000085721;05;020-26557-ATMO;DOVALLE;D VALLE;Gotas 20 ml;;7896360002265;;;;N;;1;54.74;0;54.74;0;;BRAS_PF_PMC;ed. 1068;20;
BRASINDICE;1100;medicamento;0000079029;05;072-25127-FDMB;EUROFARMA;D'ORTO;150 mg. ct. bl. al. plas. pvc/pvdc trans. x 1 cpr. rev.;RISEDRONATO SÓDICO;7891317002060;1004312880012;90446771;508020030129307;N;N;1;58.85;81.12;58.85;81.12;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000089351;05;001-28175-FUBC;UNIAO QUIMICA;D3CAPS 10.000 UI;8 caps. mole;COLECALCIFEROL;7896006200635;1049714800102;90552490;533023010084003;N;N;8;32.51;43.61;4.06;5.45;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000089349;05;001-28172-FUBC;UNIAO QUIMICA;D3CAPS 50.000 UI;8 caps. mole;COLECALCIFEROL;7896006201090;1049714800048;90539583;533020070071007;N;N;8;80.24;107.64;10.03;13.46;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000089350;05;001-28172-FUBD;UNIAO QUIMICA;D3CAPS 50.000 UI;4 caps. mole;COLECALCIFEROL;7896006201113;1049714800021;90539575;533022060079503;N;N;4;41.72;55.97;10.43;13.99;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000092287;05;001-28134-FTYH;UNIAO QUIMICA;D3CAPS 7.000 UI;Ct. bl. al. plas. PVC/PVDC trans. x 30 caps. mole;COLECALCIFEROL;7896006201144;1049714800072;90539591;533022060079703;N;N;30;52.73;70.74;1.76;2.36;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1094;medicamento;0000047727;05;872-19085-DBQO;ECADIL;DABRIDAN BALSAMO;Balsamo 100 g;;;;;;N;;1;287;0;287;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1094;medicamento;0000073189;05;872-19533-EVVS;ECADIL;DABRIDAN EMULSAO;Emulsao 60 g.;;;;;;N;;1;225;0;225;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1100;medicamento;0000085678;05;072-05127-FLWU;EUROFARMA;DACARB (Restrito Hosp.) (CONVENIO 162/94);200 mg po liof. sol. inj. ct. FA vd. amb.;DACARBAZINA;7891317023614;1004306360029;90538188;508022060162803;N;S;1;174.61;0;174.61;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000095556;05;072-05127-FXSU;EUROFARMA;DACARB (Restrito Hosp.) (CONVENIO 162/94);200 mg po liof. inj. ct. 10 FA vd. amb.;;7891317055806;;;;;S;10;1745.99;0;174.6;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000053682;05;432-21260-CZTE;BERGAMO;DACARBAZINA - GENERICO (Restrito Hosp.) (CONVENIO 162/94);200 mg. po liof. sol. inj. ct. FA vd. amb.;DACARBAZINA;7898149938642;1064601840048;90120922;519509201159111;S;S;1;113.47;0;113.47;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000082036;05;427-21260-FHOU;BLAU FARM.;DACARBAZINA - GENERICO (Restrito Hosp.) (CONVENIO 162/94);200 mg po liof. sol. inj. IV ct. FA vd. amb.;DACARBAZINA;7896014669516;1163701620013;90482174;504420090066707;S;S;1;113.47;0;113.47;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000034160;05;372-17571-CVBQ;JANSSEN - CILAG;DACOGEN (Restrito Hosp.) (CONVENIO 162/94);1 FA po liof. 50 mg.;DECITABINA;7896212424054;1123633900010;90105699;514507501170311;N;S;1;7082.85;0;7082.85;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000081963;05;1048-00724-FHLX;SANOFI MEDLEY;DACTIL-OB;100 mg + 50 mg + 50 mg ct. 2 bl. al. plas. laranja x 15 drags.;"HESPERIDINA;CLORIDRATO DE PIPERIDOLATO;ÁCIDO ASCÓRBICO";7891058021900;1832603090014;90484517;576720090088017;N;N;30;20.84;27.96;0.69;0.93;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000087840;05;438-27089-FOEN;BIOLAB SANUS;DACXI;10 mg x 30 cprs.;RIVAROXABANA;7896112403579;1097403440031;90525353;504122010072604;N;N;30;32.78;45.18;1.09;1.51;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000087841;05;438-27089-FOEO;BIOLAB SANUS;DACXI;15 mg x 28 cprs.;RIVAROXABANA;7896112403623;1097403440074;90525361;504122010072704;N;N;28;30.59;42.16;1.09;1.51;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000087842;05;438-27089-FOEP;BIOLAB SANUS;DACXI;20 mg x 28 cprs.;RIVAROXABANA;7896112403630;1097403440120;90525370;504122010072804;N;N;28;30.59;42.16;1.09;1.51;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000087640;05;912-26988-FNXG;MOMENTA;DAEM;250 mg/ml sol. inj. ct. 1 amp. vd. amb. x 4 ml;UNDECILATO DE TESTOSTERONA;7891317028749;1004314430014;90559800;508023030173003;N;N;1;411.02;566.55;411.02;566.55;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000093709;05;912-26988-FVYJ;MOMENTA;DAEM;250 mg/ml 2 amps. 4 ml;UNDECILATO DE TESTOSTERONA;7891317046361;1004314430022;90613554;508025080192303;N;N;2;694.47;957.25;347.24;478.62;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000000644;05;368-00725-ABYF;SERVIER;DAFLON;500 30 cprs. rev.;"DIOSMINA;FLAVONÓIDES EXPRESSOS EM HESPERIDINA";7898029551770;1127800030012;90385888;531300404117313;N;N;30;101.9;136.7;3.4;4.56;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000000646;05;368-00725-BPRC;SERVIER;DAFLON;500 60 cprs. rev.;"DIOSMINA;FLAVONÓIDES EXPRESSOS EM HESPERIDINA";7898029551787;1127800030020;90385896;531300405113311;N;N;60;174.17;233.64;2.9;3.89;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000055008;05;368-00725-DVGP;SERVIER;DAFLON;900 + 100 mg. or. ct. bl. al. plas. trans. x 30 cprs. rev.;"HESPERIDINA;DIOSMINA";7898029551848;1127800030064;90287304;531313100006203;N;N;30;144.65;194.04;4.82;6.47;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000070231;05;368-00725-ESVL;SERVIER;DAFLON;900 + 100 mg. or. ct. bl. al. plas. trans. x 60 cprs. rev.;"HESPERIDINA;DIOSMINA";7898029551855;1127800030072;90287312;531313100006303;N;N;60;258.54;346.82;4.31;5.78;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000080568;05;368-00725-FFRO;SERVIER;DAFLON;900 + 100 mg. or. ct. bl. al. plas. trans. x 10 cprs. rev.;"HESPERIDINA;DIOSMINA";7898029551824;1127800030048;90287282;531313100006003;N;N;10;48.17;64.62;4.82;6.46;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000077733;05;368-24910-FBVY;SERVIER;DAFLON FLEX;900 + 100 mg. sus. or. ct. env. al. plas. x 30;"HESPERIDINA;DIOSMINA";7898029550766;1127800030137;90412788;531319010009004;N;N;30;144.65;194.04;4.82;6.47;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000080569;05;368-24910-FFRP;SERVIER;DAFLON FLEX;900 + 100 mg. sus. or. ct. env. al. plas. PE x 10;"HESPERIDINA;DIOSMINA";7898029550759;1127800030129;90412800;531319010009204;N;N;10;48.17;64.62;4.82;6.46;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000000647;05;500-00726-AAOG;SIGMA PHARMA;DAFORIN;Gts. fr. 20 ml;CLORIDRATO DE FLUOXETINA;7894916201353;1356905980174;90239288;531601102136411;N;N;1;54.94;75.73;54.94;75.73;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000000651;05;500-00726-CFUN;SIGMA PHARMA;DAFORIN;10 mg. 2 bl. x 10 caps.;CLORIDRATO DE FLUOXETINA;7894916203517;1356905980093;90239296;531601103116412;N;N;20;35.53;48.97;1.78;2.45;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000025987;05;500-00726-BKKY;SIGMA PHARMA;DAFORIN;20 mg. 2 bl. x 15 cprs. rev.;CLORIDRATO DE FLUOXETINA;7894916203524;1356905980042;90239334;531601107111415;N;N;30;72.77;100.31;2.43;3.34;;BRAS_PF_PMC;ed. 1099;20;
