fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;medicamento;0000092086;05;691-28061-FTSC;ZYDUS NIKKHO;E-STAR;800 mg. x 30 cprs.;;7897460402207;;;;N;;30;73.7;0;2.46;0;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1094;medicamento;0000092087;05;691-28061-FTSD;ZYDUS NIKKHO;E-STAR;800 mg. x 60 cprs.;;7897460402214;;;;N;;60;124.59;0;2.08;0;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000071285;05;583-11935-EUBB;NOVA QUIMICA;E-TABS;400 UI fr. 30 caps. mole;;7895296416016;1356906120020;90240073;531625902116410;N;;30;31.4;42.12;1.05;1.4;;BRAS_PF_PMC;ed. 1069;20;
BRASINDICE;1100;medicamento;0000003819;05;072-05216-APNR;EUROFARMA;EBASTEL;10 mg. est. 10 cprs.;EBASTINA;7891317005351;1004307600015;90068440;508006602115311;N;N;10;60.17;80.72;6.02;8.07;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000003820;05;072-05216-AUKZ;EUROFARMA;EBASTEL;Xpe. 60 ml;EBASTINA;7891317000547;1004307600031;90068432;508006701131315;N;N;1;61.72;82.8;61.72;82.8;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000083018;05;072-05216-FISG;EUROFARMA;EBASTEL;10 mg ct. bl. al. plas. trans. x 30 cprs. rev.;EBASTINA;7891317010478;1004307600058;90512294;508021070141007;N;N;30;169.3;227.11;5.64;7.57;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000078515;05;034-25050-DEEG;LIBBS;EBATZ;2 mg. 30 cprs. rev.;PITAVASTATINA CÁLCICA;7896094209190;1003302060022;90443608;523719120040407;N;N;30;87.27;117.07;2.91;3.9;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000078516;05;034-25050-FCUU;LIBBS;EBATZ;4 mg. 30 cprs. rev.;PITAVASTATINA CÁLCICA;7896094209206;1003302060065;90443640;523719120040807;N;N;30;130.95;175.66;4.36;5.86;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000087686;05;034-25050-FNYW;LIBBS;EBATZ;2 mg. 90 cprs. rev. OR;PITAVASTATINA CÁLCICA;7896094209961;1003302060049;90443624;523719120040607;N;N;90;179.66;241.01;2;2.68;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000094077;05;034-25050-FWIU;LIBBS;EBATZ;4 mg 60 cprs. ver. OR;PITAVASTATINA CÁLCICA;7896094209220;1003302060073;90443659;523719120040907;N;N;60;189.13;253.71;3.15;4.23;;BRAS_PF_PMC;ed. 1094;20;
