fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000092770;05;352-28265-FVFY;NOVARTIS;FABHALTA;200 mg ct. bl. al. plas. PVC/PE/PVDC trans. x 56 caps. dura;CLORIDRATO DE IPTACOPANA MONOIDRATADO;7896261023178;1006811870019;90605241;526525040105702;N;N;56;162098.73;217449.67;2894.62;3883.03;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000042679;05;1048-19426-DEAS;SANOFI MEDLEY;FABRAZYME;35 mg. po liof. inj. FA x 20 ml;BETA-AGALSIDASE;7898328480115;1832603310014;90458559;576720020056117;N;N;1;17662.91;24346.48;17662.91;24346.48;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000083043;05;173-26076-FISV;LEGRAND;FACOBA;5+1 mg/ml sol. oft. fr. 5 ml;"FOSFATO DISSÓDICO DE DEXAMETASONA;CLORIDRATO DE MOXIFLOXACINO";7896004777221;1677306600015;90506758;538821020100804;N;N;1;34.92;48.13;34.92;48.13;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000000913;05;048-01090-ACRC;ACHE;FAMOX;20 mg. cprs. cx. 10;FAMOTIDINA;7896658000379;1057301440033;90003969;500503401112416;N;N;10;25.59;35.27;2.56;3.53;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000000914;05;048-01090-ACRE;ACHE;FAMOX;40 mg. cprs. cx. 10;FAMOTIDINA;7896658000393;1057301440041;90003977;500503402119414;N;N;10;41.27;56.89;4.13;5.69;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000081841;05;048-01090-FHIS;ACHE;FAMOX;20 mg bl. 30 cprs.;FAMOTIDINA;7896658000386;1057301440017;90483316;552920080131607;N;N;30;56.07;77.29;1.87;2.58;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000081842;05;048-01090-ALQA;ACHE;FAMOX;40 mg bl. 30 cprs.;FAMOTIDINA;7896658000409;1057301440025;90483308;552920080131507;N;N;30;83.2;114.68;2.77;3.82;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000089484;05;048-27519-FQOF;ACHE;FAMOX SUSPENSAO;8 mg/ml po. susp. fr. 13,7 g + kit. dilui.;FAMOTIDINA;7896658048258;1057300520017;90573609;552923110162805;N;N;1;79.12;109.06;79.12;109.06;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000084961;05;758-21504-FLCT;BIOGEN BRASIL;FAMPYRA;10 mg. ct. bl. al. x 28 cprs. rev. lib. prol.;FAMPRIDINA;7898926573356;1699300030031;90496990;538320120003007;N;N;28;825.34;1107.16;29.48;39.54;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000068132;05;988-23269-EPRZ;PHARLAB;FARMAFLAN;11,6 mg/g gel ct bg al x 60 g;DICLOFENACO DIETILAMÔNIO;7898216362325;1410700700011;90176022;527906901166415;N;N;1;17.99;24.13;17.99;24.13;;BRAS_PF_PMC;ed. 1090;20;
