fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000090262;05;072-27675-FRLF;EUROFARMA;GABA ER;250 mg ct. bl. al. plas. PVC/PCTFE trans. x 6 cprs. rev. lib. prol.;DIVALPROATO DE SÓDIO;7891317020484;1004314530019;90578040;508024020179303;N;N;6;7.67;10.57;1.28;1.76;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000090263;05;072-27675-FRLG;EUROFARMA;GABA ER;250 mg ct. bl. al. plas.PVC/PCTFE trans. x 30 cprs. rev. lib. prol.;DIVALPROATO DE SÓDIO;7891317020507;1004314530043;90578058;508024020179403;N;N;30;25.73;35.47;0.86;1.18;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000090264;05;072-27675-FRLH;EUROFARMA;GABA ER;500 mg ct. bl. al. plas. PVC/PCTFE trans. x 6 cprs. rev. lib. prol.;DIVALPROATO DE SÓDIO;7891317020514;1004314530078;90578066;508024020179603;N;N;6;14.65;20.19;2.44;3.36;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000090265;05;072-27675-FPAP;EUROFARMA;GABA ER;500 mg ct. bl. al. plas. PVC/PCTFE trans. x 30 cprs. rev. lib. prol.;DIVALPROATO DE SÓDIO;7891317020538;1004314530108;90578074;508024020179503;N;N;30;51.5;70.99;1.72;2.37;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000001034;05;691-01233-AAQY;ZYDUS NIKKHO;GABALLON;Fr. 20 cprs.;"CLORIDRATO DE TIAMINA;PANTOTENATO DE CÁLCIO;ÁCIDO GAMAMINOBUTÍRICO;CLORIDRATO DE PIRIDOXINA;CLORIDRATO DE LISINA";7897460401347;1565100400037;90324960;536214100006003;N;N;20;36.16;48.51;1.81;2.43;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000084694;05;691-01233-FKTS;ZYDUS NIKKHO;GABALLON;50 mg + 50 mg + 2 mg + 4 mg + 4 mg ct. bl. al. plas. PVC/ACLAR opc x 60 cprs.;"CLORIDRATO DE TIAMINA;PANTOTENATO DE CÁLCIO;ÁCIDO GAMAMINOBUTÍRICO;CLORIDRATO DE PIRIDOXINA;CLORIDRATO DE LISINA";7897460401804;1565100400045;90526678;536221120013903;N;N;60;90.39;121.25;1.51;2.02;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1094;medicamento;0000088277;05;691-27258-FOXP;ZYDUS NIKKHO;GABALLON COG;Ct. bl. al. plas. PVDC trans. x 60 caps. mole;;7897460402108;;;;N;;60;99.69;0;1.66;0;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000023428;05;776-15611-AMNE;GERMED PHARMA;GABANEURIN;300 mg. 3 bl. x 10 caps.;GABAPENTINA;7894916503556;1356904160033;90062728;531619101115411;N;N;30;65.42;90.17;2.18;3.01;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000023429;05;500-15611-CGBD;SIGMA PHARMA;GABANEURIN;400 mg. 3 bl. x 10 caps.;GABAPENTINA;7894916503563;1356904160157;90062736;531619102111411;N;N;30;98.6;135.91;3.29;4.53;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000043007;05;500-15611-DEMW;SIGMA PHARMA;GABANEURIN;600 mg. (c1) 3 bl. x 9 cprs. rev.;GABAPENTINA;7894916506847;1356904160289;90062744;531619103118418;N;N;27;189.47;261.16;7.02;9.67;;BRAS_PF_PMC;ed. 1099;20;
