fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000071106;05;062-23705-BTIZ;EMS;H-FOR;20 mg. 2 cprs. rev.;;7896004749815;1023511630081;90389980;541817030019303;N;;2;35.22;48.69;17.61;24.34;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000071107;05;062-23705-EJPP;EMS;H-FOR;20 mg. 1 cpr. rev.;;7896004758985;1023511630071;90389972;541817030019203;N;;1;23.02;31.82;23.02;31.82;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000082598;05;676-21933-DZRG;CIFARMA;H. BACTER IBP;7 bl (2+2+4) + 28 caps. lansoprazol;"LANSOPRAZOL;AMOXICILINA TRI-HIDRATADA;CLARITROMICINA";7908020502739;1156002250052;90498992;506320120036517;N;N;28;225.4;310.69;8.05;11.1;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000092589;05;676-21933-FUIF;CIFARMA;H. BACTER IBP;14 dias + IBP 500 mg 28 cprs. rev./ 500 mg 56 caps. dura/30 mg 56 caps. dura lib. retard. bl. al. plas. trans.;"LANSOPRAZOL;AMOXICILINA TRI-HIDRATADA;CLARITROMICINA";7908020507345;1156002250060;90578708;506324020041603;N;N;56;338.07;465.99;6.04;8.32;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000087659;05;095-27005-FNXX;ORGANON;HADLIMA;40 mg sol. inj. ct. 2 ser. preench. vd. trans. x 0,8 ml;ADALIMUMABE;7898994611561;1592100040046;90559150;569723010000707;N;N;2;3182.04;4386.11;1591.02;2193.05;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000092975;05;095-27005-FUVO;ORGANON;HADLIMA;40 mg sol. inj. ct. 1 ser. preench. vd. trans. x 0,8 ml;ADALIMUMABE;7898994611509;1592100040011;90559126;569723010000507;N;N;1;1591.04;2193.08;1591.04;2193.08;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000008138;05;470-08595-CGBE;CSL BEHRING;HAEMATE P (CONCENTRADO DE FATOR VIII) (Restrito Hosp.);500 UI + 1200 UI po liof. inj. FA vd. + FA vd. dil. x 10 ml + disp. transf.;FATOR DE VON WILLEBRAND;7897499451061;1015101060088;90217349;502612020005903;N;S;1;2095.7;0;2095.7;0;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000083340;05;470-16854-FJDC;CSL BEHRING;HAEMOCOMPLETTAN-P (Restrito Hosp.);2 g po liof. sol. inj. ct. FA vd. trans. + filtro ser. + pino dispensador;FIBRINOGÊNIO;7897499452389;1015101190046;90497139;502621010010607;N;S;1;4909.28;0;4909.28;0;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000084439;05;470-16854-FKLW;CSL BEHRING;HAEMOCOMPLETTAN-P (Restrito Hosp.);1 g po liof. sol. inj. ct. FA vd. trans. + filtro ser. + pino dispensador;FIBRINOGÊNIO;7897499452341;1015101190038;90497120;502621010010507;N;S;1;2454.64;0;2454.64;0;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000075387;05;438-24436-EYBA;BIOLAB SANUS;HAGIVAN;62,5 mg. ct. fr. plas. opc. x 60 cprs. rev.;;7899551307859;1049202370011;90398629;506918100035003;N;;60;2380.84;3291.37;39.68;54.86;;BRAS_PF_PMC;ed. 1075;20;
BRASINDICE;1100;medicamento;0000075388;05;438-24436-EYBB;BIOLAB SANUS;HAGIVAN;125 mg. ct. fr. plas. opc. x 60 cprs. rev.;;7899551307866;1049202370028;90398637;506918100035103;N;;60;4366.02;6035.77;72.77;100.6;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000076879;05;361-21957-FAQB;UNITED MEDICAL;HALAVEN (Restrito Hosp.);0,5 mg/ml. sol. inj. ct. FA vd. inc. x 2 ml.;MESILATO DE ERIBULINA;7898054580103;1257600260013;90450019;533220020002817;N;S;1;1960.27;0;1960.27;0;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000008031;05;372-08540-ACCQ;JANSSEN - CILAG;HALDOL;5 mg. vd. 20 cprs.;HALOPERIDOL;7896212479603;1123600110010;90106016;514501203119317;N;N;20;12.46;17.23;0.62;0.86;;BRAS_PF_PMC;ed. 1070;20;
BRASINDICE;1100;medicamento;0000008032;05;372-08540-ADHQ;JANSSEN - CILAG;HALDOL;1 mg. blister 20 cprs.;HALOPERIDOL;7896212479054;1123600110053;90105990;514501201116310;N;N;20;6.51;9;0.33;0.45;;BRAS_PF_PMC;ed. 1070;20;
BRASINDICE;1100;medicamento;0000008035;05;372-08540-BWCR;JANSSEN - CILAG;HALDOL;2 mg. gts. fr. 30 ml.;HALOPERIDOL;7896212420629;1123600110185;90106008;514501206134317;N;N;1;14.51;20.06;14.51;20.06;;BRAS_PF_PMC;ed. 1070;20;
BRASINDICE;1100;medicamento;0000030828;05;372-17008-BFBN;JANSSEN - CILAG;HALDOL DECANOATO;50 mg/ml sol. inj. cx. 5 amps. vd. amb. x 1 ml;;7896212429295;1123600120040;90311108;514501302151316;N;;5;138.86;191.97;27.77;38.39;;BRAS_PF_PMC;ed. 1070;20;
BRASINDICE;1100;medicamento;0000093020;05;369-25552-FUYT;HALEX ISTAR;HALEXMINOPHEN (Restrito Hosp.);Bolsa Trilaminada Soluflex SF 100 ml - cx. c/10 unidades (10 mg/ml);PARACETAMOL;7896727871190;1031101780031;90543793;511222100048403;N;S;10;328.72;0;32.87;0;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000093025;05;369-25552-FUYY;HALEX ISTAR;HALEXMINOPHEN (Restrito Hosp.);Bolsa Trilaminada Soluflex SF 50 ml - cx. c/10 unidades (10 mg/ml);PARACETAMOL;7896727871183;1031101790037;90543807;511222100048303;N;S;10;164.28;0;16.43;0;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000028649;05;348-13859-CPFB;CRISTALIA;HALO (Restrito Hosp.);1 mg. 20 bl. 10 cps.;HALOPERIDOL;7896676405170;1029800200229;90046404;506706902115418;N;S;200;40.72;0;0.2;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000028650;05;348-13859-CPFC;CRISTALIA;HALO (Restrito Hosp.);2 mg/ml 10 x 20 ml;HALOPERIDOL;7896676405149;1029800200301;90046412;506706903138411;N;S;10;69.67;0;6.97;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000028651;05;348-13859-CPDK;CRISTALIA;HALO (Restrito Hosp.);5 mg. 20 bl. 10 cps.;HALOPERIDOL;7896676405194;1029800200253;90046439;506706905114412;N;S;200;68.95;0;0.34;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000028687;05;348-13859-CPGE;CRISTALIA;HALO (Restrito Hosp.);5 mg/ml 50 amps. 1 ml;HALOPERIDOL;7896676405156;1029800200288;90046420;506706904150415;N;S;50;313.32;0;6.27;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000072163;05;348-07716-EVCV;CRISTALIA;HALO DECANOATO (Restrito Hosp.);50 mg/ml. sol. inj. IM cx. 25 amps. vd. amb. X 1 ml;DECANOATO DE HALOPERIDOL;7896676431292;1029802400047;90376102;506717030068003;N;S;25;541.67;0;21.67;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000090164;05;674-20583-CFYP;GLENMARK;HALOBEX;0,5 mg/g crem. derm. ct. bg. al. x 30 g;PROPIONATO DE HALOBETASOL;7897473206403;1101302670025;90230442;521905802173315;N;N;1;17.58;23.58;17.58;23.58;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000010688;05;001-10524-BIZD;UNIAO QUIMICA;HALOPERIDOL - GENERICO;2 mg/ml gts. fr. 20 ml.;HALOPERIDOL;7896006262879;1049712080013;90208919;533006801135114;S;N;1;6.22;8.57;6.22;8.57;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000036877;05;170-18174-CLYF;TEUTO BRAS.;HALOPERIDOL - GENERICO (Restrito Hosp.);5 mg/ml sol. inj. 60 amp. vc. amb. x 1 ml;;7896112190721;;90632095;;S;S;60;186.59;0;3.11;0;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000083425;05;479-18174-FJGF;FRESENIUS KABI;HALOPERIDOL - GENERICO (Restrito Hosp.);5 mg/ml sol. inj. IM cx. 25 amps. vd. amb. x 1 ml;HALOPERIDOL;7899498608996;1004102230021;90512235;509521070035206;S;S;25;116.12;0;4.64;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000093467;05;1044-28409-FVQW;CAMBER;HANAZ (CONVENIO 162/94);1 mg ct. bl. al. plas. pvc. trans. x 28 cprs. rev.;ANASTROZOL;7908101200912;1650700240020;90565100;569923080008804;N;N;28;761.94;1050.25;27.21;37.51;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000080236;05;517-25375-DJWY;PRATI DONADUZZI;HARIP;15 mg. cx. 30 cprs.;ARIPIPRAZOL;7899547534139;1256803080097;90464664;528520060174007;N;N;30;215.19;296.62;7.17;9.89;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000080237;05;517-25375-ABJZ;PRATI DONADUZZI;HARIP;10 mg. cx. 30 cprs.;ARIPIPRAZOL;7899547534078;1256803080038;90464656;528520060173907;N;N;30;143.09;197.23;4.77;6.57;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000082237;05;517-25375-FHWF;PRATI DONADUZZI;HARIP;10 mg 15 cprs.;ARIPIPRAZOL;7899547534061;1256803080021;90492846;528521010178607;N;N;15;60.8;83.81;4.05;5.59;;BRAS_PF_PMC;ed. 1098;20;
