fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000080739;05;072-25469-FFWU;EUROFARMA;IBAN;150 mg. ct. bl. al.al. x 1 cpr. rev.;IBANDRONATO DE SÓDIO;7891317007614;1004312870017;90473175;508020050131007;N;N;1;44.83;61.79;44.83;61.79;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000084385;05;173-26336-FKJU;LEGRAND;IBAND;150 mg 1 cpr. rev.;IBANDRONATO DE SÓDIO MONOIDRATADO;7896004752617;1677306370011;90473272;538820050075707;N;N;1;63.22;87.4;63.22;87.4;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000051690;05;1025-20303-DRFD;BIOLAB GENERICOS;IBANDRONATO DE SODIO - GENERICO;150 mg. bl. al/al. x 1 cpr.;IBANDRONATO DE SÓDIO;7898146826614;1049201990014;90261259;506912110025406;S;N;1;73.18;100.87;73.18;100.87;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000080123;05;072-20303-FFCA;EUROFARMA;IBANDRONATO DE SODIO - GENERICO;150 mg. ct. bl. al. al. x 1 cpr. rev.;IBANDRONATO DE SÓDIO MONOIDRATADO;7891317007607;1004312860011;90485360;508020070132907;S;N;1;72.06;99.33;72.06;99.33;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000093731;05;048-20303-FVYU;ACHE;IBANDRONATO DE SODIO - GENERICO;150 mg bl. x 3 cprs. rev.;IBANDRONATO DE SÓDIO MONOIDRATADO;7896658051609;1057306410027;90606370;552925050171906;S;N;3;124.2;171.2;41.4;57.07;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000077408;05;048-24871-FBLG;ACHE;IBANDRONATO DE SODIO MONOIDRATADO - GENERICO;150 mg bl. x 1 cpr. rev.;IBANDRONATO DE SÓDIO MONOIDRATADO;7896181922933;1057306410019;90448529;552919120097017;S;N;1;72.19;99.51;72.19;99.51;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000084378;05;591-26335-FKLV;GERMED;IBANDRONATO SODIO MONO - GENERICO;150 mg 2 bl. x 1 cpr. rev.;IBANDRONATO DE SÓDIO MONOIDRATADO;7896004769400;1058309580029;90473248;526120050110407;S;N;2;131.14;181.29;65.57;90.64;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000084380;05;591-26335-FKJO;GERMED;IBANDRONATO SODIO MONO - GENERICO;150 mg bl. 1 cpr. rev.;IBANDRONATO DE SÓDIO MONOIDRATADO;7896004752488;1058309580010;90473230;526120050110307;S;N;1;72.9;100.49;72.9;100.49;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000084382;05;062-26335-FKJR;EMS;IBANDRONATO SODIO MONO - GENERICO;150 mg bl. 1 cpr. rev.;IBANDRONATO DE SÓDIO MONOIDRATADO;7896004752471;1023513000016;90485327;541820080140707;S;N;1;70.31;97.2;70.31;97.2;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000081218;05;917-25580-FFCA;SUPERA RX;IBANUNO;150 mg. ct. bl. al. al. x 1 cpr. rev.;IBANDRONATO DE SÓDIO MONOIDRATADO;7899420507410;1037202940017;90485319;542620080013307;N;N;1;44.83;61.79;44.83;61.79;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000086486;05;1075-26886-EXBA;PFIZER BRASIL;IBRANCE (CONVENIO 132/21);75 mg. 21 caps.;PALBOCICLIBE;7891268111989;1211004670039;90475160;522720050087517;N;N;21;9248.67;12406.76;440.41;590.8;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000086487;05;1075-26886-EXBB;PFIZER BRASIL;IBRANCE (CONVENIO 132/21);100 mg. 21 caps.;PALBOCICLIBE;7891268111996;1211004670020;90475151;522720050087417;N;N;21;13290.71;17829.01;632.89;849;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000086488;05;1075-26886-EXBC;PFIZER BRASIL;IBRANCE (CONVENIO 132/21);125 mg. 21 caps.;PALBOCICLIBE;7891268112009;1211004670012;90475143;522720050087317;N;N;21;18497.36;24813.55;880.83;1181.6;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000071070;05;173-19831-ETTS;LEGRAND;IBUFLEX;100 mg/ml susp. oral fr. 30 ml;IBUPROFENO;7896004799902;1677306870020;90586182;538824050119107;N;N;1;30.74;41.24;30.74;41.24;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000071071;05;173-19831-ETTT;LEGRAND;IBUFLEX;400 mg. 2 bl. x 4 caps. gel. mole;IBUPROFENO;7896004732930;1677300880237;90283740;538813050046404;N;N;8;22.27;29.87;2.78;3.73;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000071072;05;173-19831-ETTU;LEGRAND;IBUFLEX;400 mg. 10 bl. x 4 caps. gel. mole;IBUPROFENO;7896004747507;1677300880261;90283759;538813080047003;N;N;40;111.21;149.18;2.78;3.73;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000090515;05;173-19831-FRSO;LEGRAND;IBUFLEX;100 mg/ml susp. oral 20 ml;IBUPROFENO;7894916325660;1677306870012;90573862;538823120118207;N;N;1;18.97;25.45;18.97;25.45;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000011295;05;473-10838-BKOS;NEO QUIMICA;IBUFRAN;600 mg cx. 3 bl. x 10 cprs. rev.;IBUPROFENO;7896714201146;1558401360015;90364538;504617020050617;N;N;30;40.7;56.1;1.36;1.87;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000051039;05;473-10838-AKOR;NEO QUIMICA;IBUFRAN;300 mg. bl. 20 cprs.;IBUPROFENO;7896714213859;1558401360309;90282507;504612060013303;N;N;20;21.47;28.8;1.07;1.44;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1100;medicamento;0000083869;05;473-10838-FJVY;NEO QUIMICA;IBUFRAN;400 mg ct. bl. al. x 8 caps. gel mole;IBUPROFENO;7896714274805;1558406020034;90521870;504621080081907;N;N;8;19.43;26.06;2.43;3.26;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000085672;05;473-10838-FLWN;NEO QUIMICA;IBUFRAN;400  mg. x 20 caps. gel.;IBUPROFENO;7896714291468;1558406020107;90541146;504622070087207;N;N;20;46.53;62.42;2.33;3.12;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000089946;05;473-10838-FRBS;NEO QUIMICA;IBUFRAN;400 mg. ct. bl. al. x 20 caps. gel. mole;IBUPROFENO;7896714295282;1558406020107;90541146;504622070087207;N;N;20;46.53;62.42;2.33;3.12;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000089947;05;473-10838-FRBT;NEO QUIMICA;IBUFRAN;400 mg. ct. bl. al. x 8 caps. gel. mole;IBUPROFENO;7896714275512;1558406020034;90521870;504621080081907;N;N;8;19.43;26.06;2.43;3.26;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000047568;05;062-20343-DMEE;EMS;IBULIV;100 mg/ml susp. oral fr. 20 ml;IBUPROFENO;7896004730042;1023514350010;90591003;507712020118003;N;N;1;21.99;29.5;21.99;29.5;;BRAS_PF_PMC;ed. 1079;20;
