fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000063550;05;352-27050-EJAX;NOVARTIS;JAKAVI (CONVENIO 132/21);5 mg. bl. al. plas. x 60 cprs. rev.;FOSFATO DE RUXOLITINIBE;7896261018624;1006811210019;90341970;526516020085601;N;N;60;19173.24;25720.22;319.55;428.67;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000063551;05;352-27050-EJAY;NOVARTIS;JAKAVI (CONVENIO 132/21);15 mg. bl. al. plas. x 60 cprs. rev.;FOSFATO DE RUXOLITINIBE;7896261018631;1006811210027;90341996;526516020085801;N;N;60;34563.91;46366.25;576.07;772.77;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000063552;05;352-27050-EJAZ;NOVARTIS;JAKAVI (CONVENIO 132/21);20 mg. bl. al. plas. x 60 cprs. rev.;FOSFATO DE RUXOLITINIBE;7896261018648;1006811210035;90341988;526516020085701;N;N;60;34563.91;46366.25;576.07;772.77;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000081332;05;352-27050-FGSD;NOVARTIS;JAKAVI (CONVENIO 132/21);10 mg. ct. bl. al. pls. trans. x 60 cprs.;FOSFATO DE RUXOLITINIBE;7896261020399;1006811210043;90471296;526520070095707;N;N;60;27102.13;36356.54;451.7;605.94;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000030593;05;127-16939-CRCH;MERCK SHARP & DOHME;JANUMET;50 mg/500 mg. cx. bl. 56 cprs.;"FOSFATO DE SITAGLIPTINA MONOIDRATADO;CLORIDRATO DE METFORMINA";7897572020184;1017102320012;90539028;527322060021317;N;N;56;248.57;342.63;4.44;6.12;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000030594;05;127-16939-CRCI;MERCK SHARP & DOHME;JANUMET;50 mg/850 mg. cx. bl. 28 cprs.;"FOSFATO DE SITAGLIPTINA MONOIDRATADO;CLORIDRATO DE METFORMINA";7897572020214;1017102320020;90539036;527322060021417;N;N;28;124.25;171.27;4.44;6.12;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000030595;05;127-16939-CRCJ;MERCK SHARP & DOHME;JANUMET;50 mg/850 mg. cx. bl. 56 cprs.;"FOSFATO DE SITAGLIPTINA MONOIDRATADO;CLORIDRATO DE METFORMINA";7897572020177;1017102320039;90539044;527322060021517;N;N;56;248.57;342.63;4.44;6.12;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000030596;05;127-16939-CRCK;MERCK SHARP & DOHME;JANUMET;50 mg/1000 mg. cx. bl. 56 cprs.;"FOSFATO DE SITAGLIPTINA MONOIDRATADO;CLORIDRATO DE METFORMINA";7897572020207;1017102320047;90539060;527322060021617;N;N;56;124.25;171.27;2.22;3.06;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000084090;05;127-16939-FJYS;MERCK SHARP & DOHME;JANUMET;50 mg/1000 mg cx. bl. x 28 cprs. rev.;"FOSFATO DE SITAGLIPTINA MONOIDRATADO;CLORIDRATO DE METFORMINA";7897572020191;1017102320055;90539052;527322060021717;N;N;28;248.57;342.63;8.88;12.24;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000061755;05;127-22386-EESR;MERCK SHARP & DOHME;JANUMET XR;50 mg/500 mg. cx. bl. 60 cprs.;"FOSFATO DE SITAGLIPTINA MONOIDRATADO;CLORIDRATO DE METFORMINA";7897572020269;1017102320111;90539095;527322060022017;N;N;60;263.87;363.72;4.4;6.06;;BRAS_PF_PMC;ed. 1096;20;
