fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;medicamento;0000072937;05;001-23922-DWPT;UNIAO QUIMICA;K-SEX NATURAL;Gel bisn. 50 g;;7896006216568;80424140004;;;N;;1;16.53;0;16.53;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000095749;05;479-28920-FXYF;FRESENIUS KABI;KABIPAMOL (Restrito Hosp.);10 mg/ml sol. infus. IV cx. 20 envol. bolsa. plas. PP trans. sist. fech. x 100 ml;PARACETAMOL;7899498608033;1004101630016;90579569;509524010039604;;S;20;657.2;0;32.86;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000095750;05;479-28920-FXYG;FRESENIUS KABI;KABIPAMOL (Restrito Hosp.);10 mg/ml sol. infus. IV cx. envol. bolsa plas. PP trans. sist. fech. x 100 ml;PARACETAMOL;7899498608026;1004101630024;90579577;509524010039504;;S;1;32.84;0;32.84;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000046827;05;479-20194-DLEW;FRESENIUS KABI;KABIVEN (Restrito Hosp.);900 kcal 1026 ml FMCB - 4 x 1026 ml;"FENILALANINA;TRIPTOFANO;CLORETO DE CÁLCIO DI-HIDRATADO;HISTIDINA;TREONINA;TIROSINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;ACETATO DE SÓDIO TRI-HIDRATADO ;PROLINA;LEVOVALINA;SERINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;GLICOSE MONOIDRATADA;LEUCINA;METIONINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;ALANINA;CLORETO DE POTÁSSIO;ARGININA";7897947700949;1004199380110;90223446;509501306159411;N;S;4;3053.68;0;763.42;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000046828;05;479-20194-DLEX;FRESENIUS KABI;KABIVEN (Restrito Hosp.);1900 kcal 2053 ml FMCB - 4 x 2053 ml;"FENILALANINA;TRIPTOFANO;CLORETO DE CÁLCIO DI-HIDRATADO;HISTIDINA;TREONINA;TIROSINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;ACETATO DE SÓDIO TRI-HIDRATADO ;PROLINA;LEVOVALINA;SERINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;GLICOSE MONOIDRATADA;METIONINA (11 C);LEUCINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;ALANINA;CLORETO DE POTÁSSIO;ARGININA";7897947700925;1004199380099;90223470;509501309158416;N;S;4;4231.04;0;1057.76;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000046829;05;479-20194-DLEY;FRESENIUS KABI;KABIVEN (Restrito Hosp.);Peripheral - 1000 kcal 1440 ml FMCB - 4 x 1440 ml;"FENILALANINA;TRIPTOFANO;CLORETO DE CÁLCIO DI-HIDRATADO;HISTIDINA;TREONINA;TIROSINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;ACETATO DE SÓDIO TRI-HIDRATADO ;PROLINA;LEVOVALINA;SERINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;GLICOSE MONOIDRATADA;LEUCINA;METIONINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;ALANINA;CLORETO DE POTÁSSIO;ARGININA";7897947701236;1004199380137;90223454;509501307155411;N;S;4;3168.96;0;792.24;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000046830;05;479-20194-DLEZ;FRESENIUS KABI;KABIVEN (Restrito Hosp.);Peripheral - 1400 kcal 1920 ml FMCB - 4 x 1920 ml;"FENILALANINA;TRIPTOFANO;HISTIDINA;TREONINA;TIROSINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;PROLINA;LEVOVALINA;SERINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;CLORETO DE CÁLCIO DIIDRATADO;GLICOSE MONOIDRATADA;ACETATO DE SÓDIO TRIIDRATADO;LEUCINA;METIONINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;ALANINA;CLORETO DE POTÁSSIO;ARGININA";7897947700956;1004199380129;90223462;509501308151418;N;S;4;3949.8;0;987.45;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000056343;05;076-21659-DXAJ;ROCHE;KADCYLA (Restrito Hosp.);160 mg. po liof. sol. inj. IV ct. FA vd. trans.;TRASTUZUMABE ENTANSINA;7896226506494;1010006590023;90321758;529214040025701;N;S;1;14986.78;0;14986.78;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000056344;05;076-21659-DUDJ;ROCHE;KADCYLA (Restrito Hosp.);100 mg. po liof. sol. inj. IV ct. FA vd. trans.;TRASTUZUMABE ENTANSINA;7896226506487;1010006590015;90321766;529214040025801;N;S;1;9366.73;0;9366.73;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1094;medicamento;0000081723;05;969-25685-AKEZ;ARESE;KADIX;Cx. 30 cprs. rev.;;7899824401178;;;;N;;30;84.12;0;2.8;0;;BRAS_PF_PMC;ed. 1067;20;
