fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;medicamento;0000085599;05;001-26531-FKZK;UNIAO QUIMICA;L-CAPS D+;60 caps. mole;;7896006218982;ISENTO;;;N;;60;106.16;0;1.77;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1094;medicamento;0000088181;05;072-27198-FOPQ;EUROFARMA;LA IMMUNITA;Sol. or. ct. fr. x 150 ml;;7891317030087;;;;N;;1;130.98;0;130.98;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000068166;05;988-23280-EPTS;PHARLAB;LABCAINA;20 mg/g gele top ct bg al x 30 g;CLORIDRATO DE LIDOCAINA;7898216364930;1410700560074;90236521;527904802160412;N;N;1;10.23;14.1;10.23;14.1;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000068167;05;988-23280-EPTT;PHARLAB;LABCAINA;50 mg / g pom derm ct bis al x 25 g;CLORIDRATO DE LIDOCAINA;7898216361403;1410700560015;90176359;527904801164414;N;N;1;16.66;22.96;16.66;22.96;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000091627;05;988-23281-FTBW;PHARLAB;LABCAINA (Restrito Hosp.);20 mg/g gel top. cx. 100 bisn. al. x 30 g;CLORIDRATO DE LIDOCAINA;7898216364961;1410700560082;90236530;527904803167410;N;S;100;984.78;0;9.85;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1100;medicamento;0000073943;05;092-08299-EWVM;APSEN;LABIRIN;16 mg. ct. bl. al. plas. pvc/CTFE trans x 30 cprs.;CLORIDRATO DE BETAISTINA;7896637028479;1011801570248;90394615;501618010018603;N;N;30;19.76;26.51;0.66;0.88;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000073944;05;092-08299-EWVN;APSEN;LABIRIN;24 mg. ct. bl. al. plas. pvc/CTFE trans x 60 cprs.;CLORIDRATO DE BETAISTINA;7896637028530;1011805960091;90394631;501618010018803;N;N;60;50.14;67.26;0.84;1.12;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000073945;05;092-08299-EWVO;APSEN;LABIRIN;24 mg. ct. bl. al. plas. pvc/CTFE trans x 30 cprs.;CLORIDRATO DE BETAISTINA;7896637028523;1011805960083;90394623;501618010018703;N;N;30;26.08;34.99;0.87;1.17;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000073946;05;092-08299-EWVP;APSEN;LABIRIN;8 mg. ct. bl. al. plas. pvc/CTFE trans x 30 cprs.;CLORIDRATO DE BETAISTINA;7896637028417;1011801570183;90394593;501618010018403;N;N;30;29.67;39.8;0.99;1.33;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000090092;05;092-27645-FRFF;APSEN;LABIRIN XR;32 mg cx. 30 cprs. rev. or.;DICLORIDRATO DE BETAISTINA;7896637034821;1011806560046;90577361;501624010047504;N;N;30;48.71;65.34;1.62;2.18;;BRAS_PF_PMC;ed. 1091;20;
