fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;medicamento;0000048420;05;438-20437-BHQO;BIOLAB SANUS;M&P DRY;Locao 60 ml;;7896112421979;2276300680019;;;N;;1;128.69;0;128.69;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000080639;05;088-25449-FFTV;MANTECORP FARMASA;M-LIX;Creme 1 mg. ct. bisn. al. x 20 g;FUROATO DE MOMETASONA;7896094920002;1781708810019;90483650;540920080042907;N;N;1;37.81;52.12;37.81;52.12;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000003900;05;076-05301-FJAR;ROCHE;MABTHERA (Restrito Hosp.) (CONVENIO 140/01);500 mg 1 FA;RITUXIMABE;7896226501727;1010005480038;90184599;529203302151218;N;S;1;9677.91;0;9677.91;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000003901;05;076-05301-FJAP;ROCHE;MABTHERA (Restrito Hosp.) (CONVENIO 140/01);100 mg 2 FA;RITUXIMABE;7896226501710;1010005480011;90184580;529203301153217;N;S;2;3877.02;0;1938.51;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000063768;05;076-22680-EJKF;ROCHE;MABTHERA SC (Restrito Hosp.) (CONVENIO 140/01);1400 mg. sol. inj. SC ct. 1 FA vd. trans. x 11,7 ml;RITUXIMABE;7896226506845;1010005480046;90343115;529216020026403;N;S;1;12641.81;0;12641.81;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000003189;05;088-04529-BTJB;MANTECORP FARMASA;MACRODANTINA;100 mg. 28 caps.;NITROFURANTOÍNA;7891142165770;1781707870034;90366581;540916110024017;N;N;28;12.6;17.37;0.45;0.62;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000075910;05;088-04529-EYQV;MANTECORP FARMASA;MACRODANTINA;100 mg. ct. bl. al. plas. trans. x 144 caps. gel. dura;NITROFURANTOÍNA;7891142165794;1781707870026;90417267;540918100037603;N;N;144;64.73;89.22;0.45;0.62;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000081486;05;088-04529-FGXO;MANTECORP FARMASA;MACRODANTINA;100 mg ct. bl. 40 caps.;NITROFURANTOÍNA;7896094920453;1781707870069;90486838;540920090043707;N;N;40;17.96;24.76;0.45;0.62;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000095435;05;517-28829-AYVQ;PRATI DONADUZZI;MADUN;400 mg 5 cprs.;CLORIDRATO DE MOXIFLOXACINO;7899547553741;1256803550018;90605276;528525030224603;N;N;5;119.03;164.07;23.81;32.81;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000095436;05;517-28829-AYVR;PRATI DONADUZZI;MADUN;400 mg 7 cprs.;CLORIDRATO DE MOXIFLOXACINO;7899547553758;1256803550026;90605284;528525030224703;N;N;7;166.64;229.7;23.81;32.81;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1094;medicamento;0000094060;05;912-28573-FWIO;MOMENTA;MAG + QUELATUS;175 mg x 60 cprs.;;7891317045579;;;;N;;60;159.34;0;2.66;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1094;medicamento;0000090777;05;092-27770-AKEZ;APSEN;MAG B;Cx. 30 cprs. rev.;;7896637032575;;;;N;;30;69.48;0;2.32;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1094;medicamento;0000090778;05;092-27770-BFRA;APSEN;MAG B;Cx. 60 cprs. rev.;;7896637032568;;;;N;;60;126.55;0;2.11;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000076580;05;342-24769-AKEZ;ELOFAR;MAGNACAL;Cx. 30 cprs. rev.;;7898109240792;;;;N;;30;84.43;113.26;2.81;3.78;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1094;medicamento;0000090802;05;362-27780-FSBG;MARJAN;MAGNEN B6;Ct. 30 cprs. rev. or. ali.;;7896226110370;;;;N;;30;101.12;0;3.37;0;;BRAS_PF_PMC;ed. 1088;20;
BRASINDICE;1094;medicamento;0000090803;05;362-27780-FSBH;MARJAN;MAGNEN B6;Ct. 70 cprs. rev. or. ali.;;7896226110394;;;;N;;70;200.17;0;2.86;0;;BRAS_PF_PMC;ed. 1088;20;
BRASINDICE;1094;medicamento;0000092039;05;362-27780-FTQX;MARJAN;MAGNEN B6;Ct. 4 cprs. rev. or. ali.;;7896226100104;;;;N;;4;12.84;0;3.21;0;;BRAS_PF_PMC;ed. 1083;20;
BRASINDICE;1094;medicamento;0000081158;05;362-25560-ANAN;MARJAN;MAGNEN FEMME;30 cprs. rev.;;7896226109626;;;;N;;30;107.26;0;3.58;0;;BRAS_PF_PMC;ed. 1088;20;
BRASINDICE;1094;medicamento;0000095399;05;362-28820-ERZR;MARJAN;MAGNEN MULTI;Ct. 30 cprs. rev.;;7896226110684;;;;N;;30;113.11;0;3.77;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1094;medicamento;0000095400;05;362-28820-FOLG;MARJAN;MAGNEN MULTI;Ct. 70 cprs. rev.;;7896226110691;;;;N;;70;224.83;0;3.21;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000081296;05;516-01683-FNMV;ASPEN PHARMA;MAGNESIA BISURADA;(63,7 + 521 + 67 + 3,3) mg ct. bl. al. plas. pvc trans. x 40 past.;"CARBONATO DE CÁLCIO;CARBONATO BÁSICO DE BISMUTO;BICARBONATO DE SÓDIO;CARBONATO DE MAGNÉSIO";7895858017293;1376401800037;90465776;505620070045217;N;N;40;40.18;53.9;1;1.35;;BRAS_PF_PMC;ed. 1092;20;
