fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;medicamento;0000090681;05;893-20864-EFNK;VIEMED;N DERM;Creme gel 100 g;;7896230308930;;;;N;;1;165;0;165;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1100;medicamento;0000082797;05;1056-26039-FILR;MOKSHA 8;NABOTA;100 U po liof. sol. inj. ct. FA vd. trans. x 10 ml;TOXINA BOTULÍNICA A;7898953165210;1642500060011;90489306;562620080000807;N;S;1;1905.03;2625.89;1905.03;2625.89;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000071300;05;062-13727-EUAW;EMS;NAC;600 mg. gran. 16 saches x 5 g;;7896004753980;1356902810121;90063848;531612304134413;N;;16;50.52;67.77;3.16;4.24;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000071301;05;062-13727-EUAX;EMS;NAC;Xpe. inf. 20 mg/ml fr. 150 ml;;7896004753997;1356902810146;90063805;531612305130411;N;;1;24.08;32.3;24.08;32.3;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000051659;05;034-20919-DREN;LIBBS;NACTALI;75 mcg bl. al. plas. trans. x 28 cprs. rev.;DESOGESTREL;7896094208117;1003301710015;90250788;523713020027404;N;N;28;37.11;51.15;1.33;1.83;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000051660;05;034-20919-DREO;LIBBS;NACTALI;75 mcg bl. al. plas. trans. x 84 cprs. rev.;DESOGESTREL;7896094208124;1003301710023;90250796;523713020027504;N;N;84;91.62;126.29;1.09;1.5;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000094461;05;1010-28686-FUWR;CELLERA FARMA;NAEVIA;300 mg ct. bl. al. plas. PVC/PVDC trans. x 30 cprs. rev.;CLORIDRATO DE TIAMINA;7893454715049;1044002330021;90626222;541726040024203;N;N;30;25.93;34.78;0.86;1.16;;BRAS_PF_PMC;ed. 1100;20;
BRASINDICE;1100;medicamento;0000094462;05;1010-28686-FJMX;CELLERA FARMA;NAEVIA;300 mg ct. bl. al. plas. PVC/PVDC trans. x 60 cprs. rev.;CLORIDRATO DE TIAMINA;7893454715056;1044002330031;90626230;541726040024303;N;N;60;51.78;69.47;0.86;1.16;;BRAS_PF_PMC;ed. 1100;20;
BRASINDICE;1100;medicamento;0000094463;05;1010-28686-FUWQ;CELLERA FARMA;NAEVIA;300 mg ct. bl. AL. plas. PVC/PVDC trans. x 8 cprs. rev.;CLORIDRATO DE TIAMINA;7893454715032;1044002330013;90626214;541726040024103;N;N;8;6.87;9.22;0.86;1.15;;BRAS_PF_PMC;ed. 1100;20;
BRASINDICE;1100;medicamento;0000080824;05;1049-25487-FGAB;BIOMARIN;NAGLAZYME;5,0 mg. sol. inj. ct. FA vd. inc. x 5 ml.;GALSULFASE;7898927503017;1733300010016;90284801;542413080000002;N;N;1;9352.08;12545.48;9352.08;12545.48;;BRAS_PF_PMC;ed. 1093;20;
BRASINDICE;1100;medicamento;0000084640;05;072-26395-FKRZ;EUROFARMA;NAIRE;20 mg ct. bl. al/al x 4 cprs.;;7891317011406;1004313480018;90527437;508022010149504;N;;4;13.92;18.67;3.48;4.67;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000084641;05;072-26395-FKSA;EUROFARMA;NAIRE;20 mg ct. bl. al/al x 15 cprs.;BILASTINA;7891317011390;1004313480042;90527445;508022010149604;N;N;15;52.17;69.98;3.48;4.67;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000084642;05;072-26395-FKSB;EUROFARMA;NAIRE;20 mg ct. bl. al/al x 30 cprs.;BILASTINA;7891317011383;1004313480069;90527453;508022010149704;N;N;30;104.36;140;3.48;4.67;;BRAS_PF_PMC;ed. 1091;20;
