fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000040723;05;427-19073-DBQB;BLAU FARM.;OCITOCINA - GENERICO (Restrito Hosp.);5 UI/ml sol. inj. ct. 50 amps. vd. inc. x 1 ml (hosp.);OCITOCINA;7896014654222;1163700720030;90032136;504413604157115;S;S;50;328.63;0;6.57;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000074372;05;076-24217-EXJE;ROCHE;OCREVUS (Restrito Hosp.);30 mg/ml sol. dil. infus. IV ct. FA vd. trans. x 10 ml;OCRELIZUMABE;7613326002509;1010006660013;90411927;529218060027101;N;S;1;42478.28;0;42478.28;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000094082;05;076-28580-FWIZ;ROCHE;OCREVUS SC;920 mg sol. inj. SC ct. FA vd. trans. x 23 ml;OCRELIZUMABE;7613326077774;1010006660021;90617118;529225090028703;N;N;1;84956.55;113966.19;84956.55;113966.19;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000092343;05;001-28157-FTZX;UNIAO QUIMICA;OCTALBIN 20% (Restrito Hosp.);Sol. inj. ct. FA vd. inc. 50 ml;ALBUMINA HUMANA;7898961181172;1397100030081;90175042;535300301159317;N;S;1;402.71;0;402.71;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000060503;05;531-22196-EDAG;OCTAPHARMA;OCTANINE F (Restrito Hosp.);1000 UI po liof. inj. ct. 1 FA vd. inc. + 1 FA dil. x 10 ml + eqp. infus.;FATOR IX DE COAGULAÇÃO;7898961181196;1397100080038;90324730;535315030001704;N;S;1;2955.71;0;2955.71;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000060504;05;531-22196-EDAJ;OCTAPHARMA;OCTANINE F (Restrito Hosp.);250 UI po liof. inj. ct. FA vd. inc. + 1 FA dil. x 5 ml + eqp. infus.;FATOR IX DE COAGULAÇÃO;7898961181141;1397100080011;90324714;535315030001504;N;S;1;738.92;0;738.92;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000060505;05;531-22196-EDAK;OCTAPHARMA;OCTANINE F (Restrito Hosp.);500 UI po liof. inj. ct. 1 FA vd. inc. + 1 FA dil. x 5 ml + eqp. infus.;FATOR IX DE COAGULAÇÃO;7898961181189;1397100080021;90324722;535315030001604;N;S;1;1477.86;0;1477.86;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000034241;05;531-17592-CVDF;OCTAPHARMA;OCTAPLEX (Restrito Hosp.);500 UI po liof. inj. FA vd. + FA vd. dil. x 20 ml + conj. rec. e infus.;"FATOR II DE COAGULAÇÃO;FATOR IX DE COAGULAÇÃO;PROTEÍNA C;PROTEÍNA S;FATOR X DE COAGULAÇÃO ;FATOR VII DE COAGULAÇÃO";7898961181158;1397100120013;90175069;535300401137315;N;S;1;1890.78;0;1890.78;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000092344;05;001-28158-FTZY;UNIAO QUIMICA;OCTAPLEX 500 UI (Restrito Hosp.);Po liof inj. ct. FA vd. inc. + FA vd. inc. dil. x 20 ml + conj. rec. e infus.;"FATOR II DE COAGULAÇÃO;FATOR IX DE COAGULAÇÃO;PROTEÍNA C;PROTEÍNA S;FATOR X DE COAGULAÇÃO ;FATOR VII DE COAGULAÇÃO";7898961181158;1397100120013;90175069;535300401137315;N;S;1;1890.78;0;1890.78;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000060506;05;531-22197-EDAL;OCTAPHARMA;OCTAVI SDOPTIMUM (Restrito Hosp.);1000 UI po liof. inj. ct. 1 FA vd. inc. + FA dil. x 10 ml + conj. infus.;FATOR VIII DE COAGULAÇÃO;7898961181226;1397100060037;90324765;535315030002004;N;S;1;4355.12;0;4355.12;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000060507;05;531-22197-EDAM;OCTAPHARMA;OCTAVI SDOPTIMUM (Restrito Hosp.);250 UI po liof. inj. ct. 1 FA vd. inc. + FA dil x 5 ml + conj. infus.;FATOR VIII DE COAGULAÇÃO;7898961181202;1397100060010;90324749;535315030001804;N;S;1;1155.17;0;1155.17;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000060508;05;531-22197-EDAN;OCTAPHARMA;OCTAVI SDOPTIMUM (Restrito Hosp.);500 UI po liof. inj. ct. 1 FA vd. inc. + FA dil x 10 ml + conj. infus.;FATOR VIII DE COAGULAÇÃO;7898961181219;1397100060029;90324757;535315030001904;N;S;1;2227.54;0;2227.54;0;;BRAS_PF_PMC;ed. 1094;20;
