fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000090495;05;1098-27716-FOPR;HYPERA;PABEXHY (Restrito Hosp.);40 mg po liof. sol. inj. IV/IM ct. 10 FA vd. trans.;PARECOXIBE SÓDICO;7896714294292;1558406600014;90574443;504623110095404;N;S;10;718.07;0;71.81;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000036515;05;748-18017-CBRW;ACCORD;PACLITAXEL - GENERICO (Restrito Hosp.) (CONVENIO 162/94);6 mg/ml sol. inj. IV FA vd. x 5 ml;PACLITAXEL;7898902274383;1553700040011;90002520;538000402159115;S;S;1;679.82;0;679.82;0;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000036516;05;748-18017-CNWS;ACCORD;PACLITAXEL - GENERICO (Restrito Hosp.) (CONVENIO 162/94);6 mg/ml sol. inj. IV FA vd. x 16,7 ml;PACLITAXEL;7898902274390;1553700040021;90002504;538000401152117;S;S;1;2266.33;0;2266.33;0;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000036517;05;748-18017-CBRX;ACCORD;PACLITAXEL - GENERICO (Restrito Hosp.) (CONVENIO 162/94);6 mg/ml sol. inj. IV FA vd. x 50 ml;PACLITAXEL;7898902274413;1553700040038;90002512;538000403155113;S;S;1;6799.14;0;6799.14;0;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000042669;05;072-18017-DEAJ;EUROFARMA;PACLITAXEL - GENERICO (Restrito Hosp.) (CONVENIO 162/94);6 mg/ml sol. inj. 20 FA vd. x 5 ml;PACLITAXEL;7891317470579;1004308990070;90070003;508010306150114;S;S;20;13597.79;0;679.89;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000042670;05;072-18017-DEAK;EUROFARMA;PACLITAXEL - GENERICO (Restrito Hosp.) (CONVENIO 162/94);6 mg/ml sol. inj. 20 FA vd. x 16,7 ml;PACLITAXEL;7891317470586;1004308990089;90069994;508010305154116;S;S;20;45327.37;0;2266.37;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000057989;05;427-18017-DZKO;BLAU FARM.;PACLITAXEL - GENERICO (Restrito Hosp.) (CONVENIO 162/94);6 mg/ml sol. inj. IV ct. 1 FA vd. amb. x 16,7 ml;PACLITAXEL;7896014663903;1163701260025;90294017;504413120035306;S;S;1;2345.98;0;2345.98;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000057990;05;427-18017-DZKP;BLAU FARM.;PACLITAXEL - GENERICO (Restrito Hosp.) (CONVENIO 162/94);6 mg/ml sol. inj. IV ct. 1 FA vd. amb. x 5 ml;PACLITAXEL;7896014663866;1163701260017;90294009;504413120035206;S;S;1;703.78;0;703.78;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000057991;05;427-18017-DZKQ;BLAU FARM.;PACLITAXEL - GENERICO (Restrito Hosp.) (CONVENIO 162/94);6 mg/ml sol. inj. IV ct. 1 FA vd. amb. x 50 ml;PACLITAXEL;7896014663941;1163701260033;90294025;504413120035406;S;S;1;6440.13;0;6440.13;0;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000093438;05;479-18017-FVPZ;FRESENIUS KABI;PACLITAXEL - GENERICO (Restrito Hosp.) (CONVENIO 162/94);6 mg/ml sol. inj. IV ct. FA vd. inc. x 5 ml;PACLITAXEL;7897947702080;1004101550012;90349474;509516050031006;S;S;1;703.7;0;703.7;0;;BRAS_PF_PMC;ed. 1096;20;
