fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000087724;05;1054-27036-FOAH;RECORDATI;QARZIBA (Restrito Hosp.) (CONVENIO 162/94);4,5 mg/ml sol. dil. infus. ct. FA vd. trans. x 4,5 ml;BETADINUTUXIMABE;5060146292993;1712600080017;90575237;576924020001317;N;S;1;78853.46;0;78853.46;0;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000087889;05;043-27097-FOGD;TAKEDA PHARMA;QDENGA;Po liofilo sol. inj. ct. 1 FA vd. trans. x 1 dose + 1 ser. preenc. vd. trans. dil. x 0,5 ml + 2 agu.;VACINA DENGUE 1, 2, 3 E 4 (ATENUADA);7896641817328;1063903070050;90562747;501123040041002;N;N;1;293.39;393.57;293.39;393.57;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000041767;05;029-19259-DDBG;BAYER;QLAIRA;26 + 2 ftb. 28 - 1 x bli;"DIENOGESTE;VALERATO DE ESTRADIOL";7891106904582;1705600490018;90021258;538901401111319;N;N;1;55.33;74.22;55.33;74.22;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000079788;05;442-25273-FERK;ASTRAZENECA;QTERN;5 mg. + 10 mg. bl. x 7 cprs. rev.;"SAXAGLIPTINA MONOIDRATADA;DAPAGLIFLOZINA";5000456026536;1161802730012;90462858;502320030033807;N;N;7;53.82;72.2;7.69;10.31;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000079789;05;442-25273-FERL;ASTRAZENECA;QTERN;5 mg. + 10 mg. bl. x 30 cprs. rev.;"SAXAGLIPTINA;DAPAGLIFLOZINA";5000456025461;1161802730020;90462866;502320030033907;N;N;30;230.69;309.46;7.69;10.32;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000001841;05;088-02340-AJIW;MANTECORP FARMASA;QUADRIDERM CREME;1 bisn. 20 g.;"CLIOQUINOL;SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA";7891142180766;1781707900073;90389379;540917070031617;N;N;1;45.98;61.68;45.98;61.68;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000001842;05;088-02341-AJIW;MANTECORP FARMASA;QUADRIDERM POMADA;1 bisn. 20 g.;"CLIOQUINOL;SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA";7891142180773;1781707900103;90389395;540917070031817;N;N;1;46.13;61.88;46.13;61.88;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000074170;05;473-10901-APCO;NEO QUIMICA;QUADRILON;Creme bisn. 20 g;"CLIOQUINOL;SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA";7896714266916;1558404880079;90397100;504618010068203;N;N;1;29.3;39.3;29.3;39.3;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000074171;05;473-10901-ALUT;NEO QUIMICA;QUADRILON;Pom. bisn. 20 g;"CLIOQUINOL;SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA";7896714266947;1558404880109;90397118;504618010068303;N;N;1;29.3;39.3;29.3;39.3;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000035068;05;676-14560-ACPB;CIFARMA;QUEIMALIVE;Pom. 30 g;"SULFACETAMIDA SÓDICA;TROLAMINA";7898158691576;1156000810026;90041984;506307501168416;N;N;1;21.12;28.33;21.12;28.33;;BRAS_PF_PMC;ed. 1097;20;
