fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;medicamento;0000084749;05;438-26416-FKVL;BIOLAB SANUS;S-COPEN;Cx. 30 saches 24 g;;7896112401001;;;;N;;30;234.9;0;7.83;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000083473;05;048-26184-FJHX;ACHE;SABINE (CONVENIO 140/01);2,5 mg ct. bl. al. plas. trans. x 30 cprs. rev.;LETROZOL;7896658037856;1057307390011;90485564;552920090132507;N;N;30;869.06;1197.91;28.97;39.93;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000001923;05;1048-02437-AFLC;SANOFI MEDLEY;SABRIL;6 bl. 10 cprs.;VIGABATRINA;7891058226718;1832603200022;90489489;576720070081817;N;N;60;371.25;511.73;6.19;8.53;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000055975;05;089-02440-DWNE;MERCK;SAIZEN;5,83 mg/ml sol. inj. FA vd. inc. x 1,03 ml;SOMATROPINA;7891721026263;1008903500044;90294912;525414030044703;N;N;1;559.81;771.64;559.81;771.64;;BRAS_PF_PMC;ed. 1100;20;
BRASINDICE;1100;medicamento;0000055976;05;089-02440-DWNF;MERCK;SAIZEN;8 mg/ml sol. inj. FA vd. inc. x 1,5 ml;SOMATROPINA;7891721026270;1008903500052;90294920;525414030044803;N;N;1;1119.63;1543.29;1119.63;1543.29;;BRAS_PF_PMC;ed. 1100;20;
BRASINDICE;1100;medicamento;0000055977;05;089-02440-DWNG;MERCK;SAIZEN;8 mg/ml sol. inj. FA vd. inc. x 2,5 ml;SOMATROPINA;7891721026287;1008903500060;90294939;525414030044903;N;N;1;1866.07;2572.18;1866.07;2572.18;;BRAS_PF_PMC;ed. 1100;20;
BRASINDICE;1100;medicamento;0000084553;05;1083-02442-FKPG;HALEON;SAL DE ANDREWS;Env. 50 x 1;"ÁCIDO CÍTRICO ANIDRO;BICARBONATO DE SÓDIO;SULFATO DE MAGNÉSIO";7896015592356;1929000020029;90522664;597221090002007;N;N;50;81.01;108.67;1.62;2.17;;BRAS_PF_PMC;ed. 1082;20;
BRASINDICE;1100;medicamento;0000084554;05;1083-02442-FKPH;HALEON;SAL DE ANDREWS;Fracao 1 env.;"ÁCIDO CÍTRICO ANIDRO;BICARBONATO DE SÓDIO;SULFATO DE MAGNÉSIO";7896015592363;1929000020029;90522664;597221090002007;N;N;1;1.62;2.17;1.62;2.17;;BRAS_PF_PMC;ed. 1082;20;
BRASINDICE;1100;medicamento;0000093989;05;1083-02442-FWGP;HALEON;SAL DE ANDREWS;(0,436 + 0,367 + 0,1765) g/g po eferv. or. ct. 60 env. al. plas. PE x 5 g;;7896015530471;1929000020037;90517547;597221070000417;N;;60;38.88;52.16;0.65;0.87;;BRAS_PF_PMC;ed. 1078;20;
BRASINDICE;1100;medicamento;0000003374;05;1083-04761-BOKF;HALEON;SAL DE FRUTA ENO;Tradicional 100 g;"ÁCIDO CÍTRICO;BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO";7896015560300;1929000030369;90517628;597221080001217;N;N;1;23.42;31.42;23.42;31.42;;BRAS_PF_PMC;ed. 1090;20;
