fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000083626;05;352-26213-FJNB;NOVARTIS;TABRECTA;150 mg ct. bl. al. plas. PVC/PCTFE trans. x 120 cprs. rev.;DICLORIDRATO DE CAPMATINIBE MONOIDRATADO;7896261022157;1006811780011;90518357;526521080099201;N;N;120;56865.12;76282.53;473.88;635.69;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000083627;05;352-26213-FJNC;NOVARTIS;TABRECTA;200 mg ct. bl. al. plas. PVC/PCTFE trans. x 120 cprs. rev.;DICLORIDRATO DE CAPMATINIBE MONOIDRATADO;7896261022164;1006811780028;90518365;526521080099301;N;N;120;56865.12;76282.53;473.88;635.69;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000083341;05;348-26142-FJDD;CRISTALIA;TACE (Restrito Hosp.) (CONVENIO 162/94);20 mg/ml sol. dil. infus. IV cx. FA vd. trans. x 4 ml;DOCETAXEL;7896676436976;1029805530014;90513495;506721060092304;N;S;1;4984.13;0;4984.13;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000078629;05;062-25065-CMUA;EMS;TACFEN (CONVENIO 162/94);20 mg. 30 cprs. rev.;CITRATO DE TAMOXIFENO;7896004755250;1023512700091;90420551;541819010099803;N;N;30;170.78;235.4;5.69;7.85;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000046711;05;062-28562-AVEO;EMS;TACROLIL (Restrito Hosp.);1 mg. 10 bl. x 10 caps.;TACROLIMO MONOIDRATADO;7896004732718;1023510300116;90221567;507745701115417;N;S;100;1398.36;0;13.98;0;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000094004;05;1044-28566-FHKJ;CAMBER;TACROLIMO MONOIDRATADO - GENERICO;5 mg ct. bl. al. x 50 caps. dura;TACROLIMO MONOIDRATADO;7908101200790;1650700180011;90537661;569922050005506;S;N;50;2226.63;3078.19;44.53;61.56;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000094005;05;1044-28566-FHKK;CAMBER;TACROLIMO MONOIDRATADO - GENERICO;1 mg ct. bl. al. x 50 caps. dura;TACROLIMO MONOIDRATADO;7908101200783;1650700180028;90537670;569922050005606;S;N;50;455.81;628.29;9.12;12.57;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000077603;05;674-24895-FOOO;GLENMARK;TACROZ;0,3 mg/g pom. derm. bisn. 10 g;TACROLIMO;7897473205963;1101302750010;90426002;521919010020504;N;N;1;61.52;84.8;61.52;84.8;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000077604;05;674-24895-FOOP;GLENMARK;TACROZ;1,0 mg/g pom. derm. bisn. al. plas. 10 g;TACROLIMO;7897473206427;1101302750029;90426029;521919040020703;N;N;1;66.3;91.39;66.3;91.39;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000062867;05;072-22552-EGCP;EUROFARMA;TADA;20 mg. ct. bl. al. x 2 cprs.;TADALAFILA;7891317129859;1004311120022;90303679;508015050107303;N;N;2;53.31;73.48;26.66;36.74;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000062869;05;072-22552-EGCQ;EUROFARMA;TADA;5 mg. ct. bl. al. x 30 cprs.;TADALAFILA;7891317129781;1004311120146;90303687;508015050107403;N;N;30;189.29;260.92;6.31;8.7;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000060118;05;072-21999-BHKB;EUROFARMA;TADALAFILA - GENERICO;5 mg. bl. 30 cprs.;TADALAFILA;7891317127725;1004311030066;90303628;508015020106804;S;N;30;307.54;423.91;10.25;14.13;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000060434;05;1048-21999-ECXZ;SANOFI MEDLEY;TADALAFILA - GENERICO;20 mg. x 1 cpr. rev.;TADALAFILA;7896422501668;1832602360018;90369408;525014110106206;S;N;1;19.2;26.47;19.2;26.47;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000060435;05;1048-21999-ECYA;SANOFI MEDLEY;TADALAFILA - GENERICO;20 mg. x 2 cprs. rev.;TADALAFILA;7896422501675;1832602360026;90369432;525014110106306;S;N;2;24.64;33.96;12.32;16.98;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000060436;05;1048-21999-ECYB;SANOFI MEDLEY;TADALAFILA - GENERICO;20 mg. x 4 cprs. rev.;TADALAFILA;7896422501682;1832602360034;90369467;525014110106406;S;N;4;49.14;67.73;12.28;16.93;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000060437;05;1048-21999-CYNC;SANOFI MEDLEY;TADALAFILA - GENERICO;5 mg. x 30 cprs. rev.;TADALAFILA;7896422501651;1832602020055;90369629;525014110106106;S;N;30;75.41;103.94;2.51;3.46;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000060839;05;517-21999-EDMG;PRATI DONADUZZI;TADALAFILA - GENERICO;20 mg. ct. bl. al. plas. trans. pvc. x 2 cprs. rev.;TADALAFILA;7899547513202;1256802480024;90321561;528515070128006;S;N;2;17.36;23.93;8.68;11.96;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000062877;05;072-21999-EGCX;EUROFARMA;TADALAFILA - GENERICO;20 mg. bl. 4 cprs.;TADALAFILA;7891317127800;1004311030104;90336259;508015120110006;S;N;4;164;226.06;41;56.52;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000063574;05;517-21999-EJBY;PRATI DONADUZZI;TADALAFILA - GENERICO;20 mg. ct. bl. al. plas. trans. pvc x 4 cprs. rev.;TADALAFILA;7899547513219;1256802480032;90321570;528515070128106;S;N;4;22.85;31.5;5.71;7.88;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000063651;05;473-21999-EJDV;NEO QUIMICA;TADALAFILA - GENERICO;5 mg. ct. bl. al. plas. trans. x 28 cprs. rev.;TADALAFILA;7896714255941;1558404840018;90334540;504616040037806;S;N;28;76.61;105.6;2.74;3.77;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000063652;05;473-21999-EJDW;NEO QUIMICA;TADALAFILA - GENERICO;20 mg. ct. bl. al. plas. trans. x 4 cprs. rev.;TADALAFILA;7896714255903;1558404840050;90334574;504616040038106;S;N;4;30.46;41.99;7.62;10.5;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000063653;05;473-21999-EJDX;NEO QUIMICA;TADALAFILA - GENERICO;20 mg. ct. bl. al. plas. trans. x 1 cpr. rev.;TADALAFILA;7896714255934;1558404840034;90334558;504616040037906;S;N;1;17.65;24.33;17.65;24.33;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000063654;05;473-21999-EJDY;NEO QUIMICA;TADALAFILA - GENERICO;20 mg. ct. bl. al. plas. trans. x 2 cprs. rev.;TADALAFILA;7896714255897;1558404840042;90334566;504616040038006;S;N;2;24.33;33.54;12.16;16.77;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000063994;05;062-21999-BTTN;EMS;TADALAFILA - GENERICO;5 mg. 2 bl. x 15 cprs. rev.;TADALAFILA;7896004749624;1023511340049;90345053;541816040014806;S;N;30;85.45;118.13;2.85;3.94;;BRAS_PF_PMC;ed. 1068;20;
BRASINDICE;1100;medicamento;0000063995;05;062-21999-BTIZ;EMS;TADALAFILA - GENERICO;20 mg. 2 cprs. rev.;TADALAFILA;7896004749631;1023511340081;90345070;541816040015006;S;N;2;37.48;51.81;18.74;25.9;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000063996;05;062-21999-BNNX;EMS;TADALAFILA - GENERICO;20 mg. 4 cprs. rev.;TADALAFILA;7896004749648;1023511340091;90345088;541816040015106;S;N;4;30.58;42.28;7.64;10.57;;BRAS_PF_PMC;ed. 1068;20;
BRASINDICE;1100;medicamento;0000063997;05;062-21999-EJPP;EMS;TADALAFILA - GENERICO;20 mg. 1 cpr. rev.;TADALAFILA;7896004749655;1023511340073;90345061;541816040014906;S;N;1;24.86;34.37;24.86;34.37;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000064713;05;517-21999-EKRS;PRATI DONADUZZI;TADALAFILA - GENERICO;20 mg. com. rev. ct. bl. al. plas. trans. pvc x 60 (emb. frac.);TADALAFILA;7899547513240;1256802480067;90321588;528515070128206;S;N;60;290.3;400.15;4.84;6.67;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000067132;05;632-21999-BTTN;GEN - LEGRAND;TADALAFILA - GENERICO;5 mg. 2 bl. x 15 cprs. rev.;TADALAFILA;7894916149662;1677304080049;90369610;538816090052506;S;N;30;92.96;128.14;3.1;4.27;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000067133;05;632-21999-EJPP;GEN - LEGRAND;TADALAFILA - GENERICO;20 mg. 1 cpr. rev.;TADALAFILA;7894916149679;1677304080073;90369394;538816090052106;S;N;1;24.52;33.9;24.52;33.9;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000067134;05;632-21999-BNNX;GEN - LEGRAND;TADALAFILA - GENERICO;20 mg. 4 cprs. rev.;TADALAFILA;7894916149808;1677304080091;90369459;538816090052306;S;N;4;33.01;45.5;8.25;11.38;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000067135;05;632-21999-BTIZ;GEN - LEGRAND;TADALAFILA - GENERICO;20 mg. 2 cprs. rev.;TADALAFILA;7894916149792;1677304080081;90369424;538816090052206;S;N;2;45.27;62.4;22.64;31.2;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000067136;05;632-21999-CAUV;GEN - LEGRAND;TADALAFILA - GENERICO;20 mg. 8 cprs. rev.;TADALAFILA;7894916149815;1677304080103;90369483;538816090052406;S;N;8;64.31;88.64;8.04;11.08;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000070333;05;583-21999-BTTN;NOVA QUIMICA;TADALAFILA - GENERICO;5 mg. 2 bl. x 15 cprs. rev.;TADALAFILA;7895296240031;1181904220042;90583477;607024030103817;S;N;30;92.96;128.14;3.1;4.27;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000070334;05;583-21999-BTIZ;NOVA QUIMICA;TADALAFILA - GENERICO;20 mg. 2 cprs. rev.;TADALAFILA;7895296240093;1181904220085;90583493;607024030104017;S;N;2;45.27;62.4;22.64;31.2;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000071811;05;100-21999-ANRC;GEOLAB;TADALAFILA - GENERICO;5 mg. cx. 30 cprs. rev.;TADALAFILA;7899095257788;1542302400063;90369602;510416120141706;S;N;30;73.39;101.16;2.45;3.37;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000071813;05;100-21999-EAFY;GEOLAB;TADALAFILA - GENERICO;20 mg. cx. 2 cprs. rev.;TADALAFILA;7899095257825;1542302400098;90369416;510416120142006;S;N;2;17.19;23.69;8.6;11.84;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000071814;05;100-21999-EAFZ;GEOLAB;TADALAFILA - GENERICO;20 mg. cx. 4 cprs. rev.;TADALAFILA;7899095257832;1542302400101;90369440;510416120142106;S;N;4;26.55;36.6;6.64;9.15;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000071895;05;583-21999-BNNX;NOVA QUIMICA;TADALAFILA - GENERICO;20 mg. 4 cprs. rev.;TADALAFILA;7895296240109;1181904220093;90583507;607024030104117;S;N;4;33.01;45.5;8.25;11.38;;BRAS_PF_PMC;ed. 1092;20;
