fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1094;medicamento;0000051598;05;896-20913-DRCA;BIOARGO;UDDERLY SMOOTH;Tubo 57 g;;;;;;N;;1;85;0;85;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1094;medicamento;0000051599;05;896-20913-DRCB;BIOARGO;UDDERLY SMOOTH;Tubo 114 g;;;;;;N;;1;134;0;134;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1094;medicamento;0000051600;05;896-20913-DRCC;BIOARGO;UDDERLY SMOOTH;Pote 340 g;;;;;;N;;1;279;0;279;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1094;medicamento;0000051601;05;896-20913-DRCD;BIOARGO;UDDERLY SMOOTH;Garrafa 946 ml;;;;;;N;;1;506;0;506;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1094;medicamento;0000058472;05;896-20913-EABA;BIOARGO;UDDERLY SMOOTH;Pote 340 g. c/ valvula;;;;;;N;;1;305;0;305;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1094;medicamento;0000068816;05;896-20913-EQTU;BIOARGO;UDDERLY SMOOTH;Valvula pump p/pote 340 g;;;;;;N;;1;18;0;18;0;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1100;medicamento;0000090818;05;170-27788-FSBW;TEUTO BRAS.;ULCTAM (Restrito Hosp.);1000 mg + 500 mg po sol. inj. 1 FA vd. trans. (emb. hosp.);"SULBACTAM SÓDICO;AMPICILINA SÓDICA";7896112105336;1037007930016;90587880;520724070120604;N;S;1;36.77;0;36.77;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000090819;05;170-27788-FSBV;TEUTO BRAS.;ULCTAM (Restrito Hosp.);2000 mg + 1000 mg po sol. inj. 1 FA vd. trans. (emb. hosp.);"SULBACTAM SÓDICO;AMPICILINA SÓDICA";7896112105343;1037007930067;90587898;520724070120704;N;S;1;66.23;0;66.23;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000065308;05;352-22856-ELJY;NOVARTIS;ULTIBRO;110 mcg. + 50 mcg. po inal. or. ct. bl. al/al x 30 x caps. gel. dura + 1 inal.;"MALEATO DE INDACATEROL;BROMETO DE GLICOPIRRÔNIO";7896261018860;1006811230028;90354826;526516050086705;N;N;1;280.12;375.77;280.12;375.77;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000074530;05;516-07963-EXON;ASPEN PHARMA;ULTIVA (Restrito Hosp.);2 mg. po liof. inj. ct. 5 FA vd. trans.;CLORIDRATO DE REMIFENTANILA;7895858016951;1376401670028;90397770;505618040043117;N;S;5;456.01;0;91.2;0;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000074531;05;516-07963-EXOO;ASPEN PHARMA;ULTIVA (Restrito Hosp.);5 mg. po liof. inj. ct. 5 FA vd. trans.;CLORIDRATO DE REMIFENTANILA;7895858017132;1376401670036;90397789;505618040043217;N;S;5;1040.46;0;208.09;0;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000090266;05;1100-28570-FQMA;ALEXION;ULTOMIRIS;10 mg/ml sol. dil. infus. ct. 1 FA vd. inc. x 30 ml;RAVULIZUMABE;7898636010073;1981100040011;90550269;565522080000702;N;N;1;32357.02;43405.79;32357.02;43405.79;;BRAS_PF_PMC;ed. 1079;20;
BRASINDICE;1100;medicamento;0000094051;05;442-28570-FQMA;ASTRAZENECA;ULTOMIRIS;10 mg/ml sol. dil. infus. ct. 1 FA vd. inc. x 30 ml;RAVULIZUMABE;5000456085810;1161803010013;90601211;502324120037317;N;N;1;32722.66;43896.28;32722.66;43896.28;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000089422;05;1100-27494-FQMG;ALEXION;ULTOMIRIS (Restrito Hosp.);100 mg/ml sol. di.l infus. ct. 1 FA vd. inc. x 3 ml;RAVULIZUMABE;7898636010158;1981100040021;90564952;565523040000802;N;S;1;32357.02;0;32357.02;0;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000089423;05;1100-27494-FQMH;ALEXION;ULTOMIRIS (Restrito Hosp.);100 mg/ml sol. dil. infus. ct. 1 FA vd. inc. x 11 ml;RAVULIZUMABE;7898636010172;1981100040038;90564960;565523040000902;N;S;1;118642.37;0;118642.37;0;;BRAS_PF_PMC;ed. 1067;20;
BRASINDICE;1100;medicamento;0000094052;05;442-27494-FWIE;ASTRAZENECA;ULTOMIRIS (Restrito Hosp.);100 mg/ml sol. dil. infus. IV ct. FA vd. trans. x 3 ml;RAVULIZUMABE;5000456085823;1161803010021;90601220;502324120037417;N;S;1;32722.66;0;32722.66;0;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000094053;05;442-27494-FWID;ASTRAZENECA;ULTOMIRIS (Restrito Hosp.);100 mg/ml sol. dil. infus. IV ct. FA vd. trans. x 11 ml;RAVULIZUMABE;5000456085830;1161803010031;90601238;502324120037517;N;S;1;119983.03;0;119983.03;0;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000014415;05;372-12540-BRSQ;JANSSEN - CILAG;ULTRACET;325 mg. + 37,5 mg. bl. 10 cprs.;"CLORIDRATO DE TRAMADOL;PARACETAMOL";7896212422951;1123633560015;90107225;514505501114316;N;N;10;53.83;72.21;5.38;7.22;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000029817;05;372-12540-CQHO;JANSSEN - CILAG;ULTRACET;325 mg. + 37,5 mg. bl. 20 cprs.;"CLORIDRATO DE TRAMADOL;PARACETAMOL";7896212422968;1123633560031;90107217;514505502110314;N;N;20;104.96;140.8;5.25;7.04;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000070588;05;372-12540-ETDP;JANSSEN - CILAG;ULTRACET;325 mg. + 37,5 mg. bl. 30 cprs.;"CLORIDRATO DE TRAMADOL;PARACETAMOL";7896212425136;1123633560041;90268881;514513020026503;N;N;30;141.7;190.09;4.72;6.34;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000031987;05;387-13808-CSQF;FARMOQUIMICA;ULTRAFER;50 mg/ml sol. oral fr. plast. amb. got. x 30 ml;FERRIPOLIMALTOSE;7898040322120;1039001720024;90074556;509004102131414;N;N;1;40.27;54.02;40.27;54.02;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000061003;05;387-13808-EDQU;FARMOQUIMICA;ULTRAFER;100 mg. bl. al. plas. inc. x 30 cprs. rev.;FERRIPOLIMALTOSE;7898040322748;1039001720083;90223403;509004110116410;N;N;30;56.98;76.43;1.9;2.55;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000095342;05;387-13808-FXMW;FARMOQUIMICA;ULTRAFER;100 mg/ml sol. oral fr. plas. amb. got. x 30 ml;FERRIPOLIMALTOSE;7898244721095;1039001720113;90606116;509025030030603;N;N;1;40.27;54.02;40.27;54.02;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1094;medicamento;0000070983;05;001-23684-ETQU;UNIAO QUIMICA;ULTRAFIX;Creme s/sabor 40 g x 1;;7896006216315;80424149001;;;N;;1;37.33;0;37.33;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1094;medicamento;0000070984;05;001-23684-ETQV;UNIAO QUIMICA;ULTRAFIX;Creme s/sabor 68 g x 1;;7896006216322;80424149001;;;N;;1;58.47;0;58.47;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1094;medicamento;0000092292;05;001-23684-FTYD;UNIAO QUIMICA;ULTRAFIX;Creme s/sabor 20 g x 1;;7896006216339;80424149001;;;N;;1;23.36;0;23.36;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000045422;05;029-16610-CXXK;BAYER;ULTRAVIST (Restrito Hosp.);300 - 10 frs. 50 ml;IOPROMIDA;7891106906357;1705600950116;90284658;538912120020114;N;S;10;1959.7;0;195.97;0;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000045424;05;029-16610-CXXH;BAYER;ULTRAVIST (Restrito Hosp.);300 - 10 frs. 100 ml;IOPROMIDA;7891106906364;1705600950124;90284666;538912120020214;N;S;10;3914.81;0;391.48;0;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000045425;05;029-16610-CXXJ;BAYER;ULTRAVIST (Restrito Hosp.);300 - 10 frs. 200 ml;IOPROMIDA;7891106906371;1705600950132;90284674;538912120020314;N;S;10;7829.65;0;782.96;0;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000045426;05;029-16610-CXXL;BAYER;ULTRAVIST (Restrito Hosp.);370 - 10 frs. 50 ml;IOPROMIDA;7891106906395;1705600950159;90284690;538912120020514;N;S;10;2416.92;0;241.69;0;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000045427;05;029-16610-CXXM;BAYER;ULTRAVIST (Restrito Hosp.);370 - 10 frs. 100 ml;IOPROMIDA;7891106906401;1705600950167;90284704;538912120020614;N;S;10;4833.85;0;483.39;0;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000045428;05;029-16610-CXXN;BAYER;ULTRAVIST (Restrito Hosp.);370 - 10 frs. 200 ml;IOPROMIDA;7891106906418;1705600950175;90284712;538912120020714;N;S;10;9667.31;0;966.73;0;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000079506;05;029-16610-FEFB;BAYER;ULTRAVIST (Restrito Hosp.);300 - 8 frs. 500 ml;IOPROMIDA;7891106913546;1705600950213;90434366;538919060028903;N;S;8;15010;0;1876.25;0;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000082466;05;029-16610-FIDW;BAYER;ULTRAVIST (Restrito Hosp.);370 - 8 frs. 500 ml;IOPROMIDA;7891106908573;1705600950221;90507410;538921030033303;N;S;8;19335.19;0;2416.9;0;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000090081;05;917-27640-FREY;SUPERA RX;ULTROX;10 mg 10 cprs. subl.;TROMETAMOL CETOROLACO;7899420507984;1037203130035;90580443;542624010020004;N;N;10;26.22;36.14;2.62;3.61;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000090082;05;917-27640-FREX;SUPERA RX;ULTROX;10 mg 20 cprs. subl.;TROMETAMOL CETOROLACO;7899420507991;1037203130043;90580451;542624010020104;N;N;20;52.43;72.27;2.62;3.61;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000090085;05;917-27640-FREZ;SUPERA RX;ULTROX;10 mg 4 cprs. subl.;TROMETAMOL CETOROLACO;7899420507977;1037203130019;90580435;542624010019904;N;N;4;10.49;14.46;2.62;3.62;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000091940;05;1113-28025-FTLF;KEDRION BRASIL;UMAN ALBUMIN (Restrito Hosp.);0,2 g/ml sol. infus. IV ct. fr. vd. trans. x 50 ml;ALBUMINA HUMANA;7898956093015;1757700010010;90423585;65717120000007;N;S;1;178.98;0;178.98;0;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000068743;05;088-23335-EQQY;MANTECORP FARMASA;UMMA;20 mg/g creme vag. ct. bisn. al. x 6,5 g + aplic. x 5 g;NITRATO DE BUTOCONAZOL;7897322711430;1781708220017;90366522;540916100023904;N;N;1;89.28;119.77;89.28;119.77;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000078724;05;373-25087-ABJZ;DIFFUCAP - CHEMOBRAS;UNAK;10 mg. cx. 30 cprs.;SINVASTATINA;7898096578236;1043000430020;90424646;507319040005703;N;N;30;17.14;23.7;0.57;0.79;;BRAS_PF_PMC;ed. 1071;20;
BRASINDICE;1100;medicamento;0000078725;05;373-25087-BSSH;DIFFUCAP - CHEMOBRAS;UNAK;20 mg. cx. 30 cprs.;SINVASTATINA;7898096578243;1043000430063;90424654;507319040005803;N;N;30;27.97;38.67;0.93;1.29;;BRAS_PF_PMC;ed. 1071;20;
BRASINDICE;1100;medicamento;0000078726;05;373-25087-ACQX;DIFFUCAP - CHEMOBRAS;UNAK;40 mg. cx. 30 cprs.;SINVASTATINA;7898096578250;1043000430101;90424662;507319040005903;N;N;30;45.08;62.33;1.5;2.08;;BRAS_PF_PMC;ed. 1071;20;
BRASINDICE;1100;medicamento;0000074730;05;072-24349-EXTF;EUROFARMA;UNDECILATO DE TESTOSTERONA - GENERICO;250 mg/ml sol. inj. IM ct. amp. vd. amb. x 4 ml;UNDECILATO DE TESTOSTERONA;7891317001414;1004312350013;90424956;508019010124906;S;N;1;411.02;566.55;411.02;566.55;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000094993;05;473-24349-FXBQ;NEO QUIMICA;UNDECILATO DE TESTOSTERONA - GENERICO;250 mg/ml sol. inj IM ct. FA vd. amb. x 4 ml;UNDECILATO DE TESTOSTERONA;7896714295862;1558406900018;90609824;504625050100706;S;N;1;388.93;536.1;388.93;536.1;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000009209;05;001-09270-CEKF;UNIAO QUIMICA;UNI CARBAMAZ;Fr. 100 ml 2%;CARBAMAZEPINA;7896006228868;1049701720040;90210425;533011902130416;N;N;1;22.75;31.36;22.75;31.36;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000060578;05;001-22205-EDCS;UNIAO QUIMICA;UNI CARBAMAZ (Restrito Hosp.);200 mg. bl. al. plas. inc. x 200 cprs. (hosp.);CARBAMAZEPINA;7896006226260;1049701720067;90323955;533014110061003;N;S;200;159.46;0;0.8;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000060618;05;001-08524-BQVH;UNIAO QUIMICA;UNI DEXA;4 mg/ml cx. 50 FA 2,5 ml;FOSFATO DISSÓDICO DE DEXAMETASONA;7896006246718;1049701390083;90210514;533012203155418;N;N;50;489.76;675.08;9.8;13.5;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000060619;05;001-08524-CZLP;UNIAO QUIMICA;UNI DEXA;2 mg/ml sol. inj. cx. 50 amps. vd. x 1 ml;FOSFATO DISSÓDICO DE DEXAMETASONA;7896006245926;1049701390070;90210506;533012204151416;N;N;50;325.01;447.99;6.5;8.96;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000051770;05;001-20940-CEKD;UNIAO QUIMICA;UNI DIAZEPAX (Restrito Hosp.);10 mg. 10 bl. x 20 cprs. (hosp.);DIAZEPAM;7896006254287;1049701470044;90210522;533012301114414;N;S;200;136.2;0;0.68;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000051771;05;001-20940-CEKE;UNIAO QUIMICA;UNI DIAZEPAX (Restrito Hosp.);5 mg. 10 bl. x 20 cprs. (hosp);DIAZEPAM;7896006254003;1049701470036;90210557;533012303117410;N;S;200;119.16;0;0.6;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000058144;05;001-20940-DZQB;UNIAO QUIMICA;UNI DIAZEPAX (Restrito Hosp.);5 mg/ml sol. inj. cx. 50 amps. vd. amb. x 2 ml (hosp.);DIAZEPAM;7896006240518;1049701470052;90210549;533012305152418;N;S;50;104.33;0;2.09;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000092355;05;001-22584-FUAG;UNIAO QUIMICA;UNI HALOPER;5 mg. ct. bl. al. plas. pvc/pvdc trans. x 200 cprs.;HALOPERIDOL;7896006219293;1049714890039;90535774;533022050079303;N;N;200;55.83;76.96;0.28;0.38;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000006689;05;001-07681-BARV;UNIAO QUIMICA;UNI HALOPER (Restrito Hosp.);5 mg/ml sol. inj. cx. 50 amps. vd. x 1 ml (hosp.);HALOPERIDOL;7896006260370;1049701910095;90210778;533012704154414;N;S;50;242.12;0;4.84;0;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000088715;05;001-23673-FPMQ;UNIAO QUIMICA;UNI VIR (Restrito Hosp.);250 mg po liof. sol. inj. ct. 5 FA vd. trans.;ACICLOVIR SÓDICO;7896006211211;1049701940032;90211057;533013202152413;N;S;5;598.67;0;119.73;0;;BRAS_PF_PMC;ed. 1096;20;
