fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000094499;05;072-28692-FKQP;EUROFARMA;V-GRIPE;(400 + 4 + 4) mg ct. bl. al. plas. PVC trans. x 10 caps. dura;"MALEATO DE CLORFENIRAMINA;PARACETAMOL;CLORIDRATO DE FENILEFRINA";7891317044473;1004315560027;90623754;508026010198207;N;N;10;10.22;13.71;1.02;1.37;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000094500;05;072-28692-FKQQ;EUROFARMA;V-GRIPE;(400 + 4 + 4) mg ct. bl. al. plas. PVC trans. x 20 caps. dura;"MALEATO DE CLORFENIRAMINA;PARACETAMOL;CLORIDRATO DE FENILEFRINA";7891317044480;1004315560019;90623746;508026010198107;N;N;20;17.45;23.41;0.87;1.17;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000093893;05;072-28540-FWDX;EUROFARMA;V-JET 3%;30 mg/ml sol. nas. ct. fr. x 100 ml;;7891317043407;;;;N;;1;41.19;52.88;41.19;52.88;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000093894;05;072-28541-FWDY;EUROFARMA;V-TOSSE;15 mg/ml xpe. ct. fr. vd. amb. x 100 ml + cop.;HEDERA HELIX L.;7891317041731;1004315500016;90612094;508025090194907;N;N;1;18.58;24.92;18.58;24.92;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000083862;05;088-26284-FHZP;MANTECORP FARMASA;VABAM;10 mg bl. x 10 cprs. rev.;RIVAROXABANA;7896094926585;1781709170013;90522419;540921100048104;N;N;10;53.87;74.25;5.39;7.42;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000083863;05;088-26284-FBPT;MANTECORP FARMASA;VABAM;10 mg bl. x 30 cprs. rev.;RIVAROXABANA;7896094926592;1781709170021;90522427;540921100048204;N;N;30;155.19;213.91;5.17;7.13;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000083864;05;088-26284-FJWG;MANTECORP FARMASA;VABAM;15 mg bl. x 15 cprs. rev.;RIVAROXABANA;7896094926615;1781709170048;90522443;540921100048404;N;N;15;72.41;99.81;4.83;6.65;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000083865;05;088-26284-FJWJ;MANTECORP FARMASA;VABAM;15 mg bl. x 30 cprs. rev.;RIVAROXABANA;7896094926622;1781709170056;90522451;540921100048504;N;N;30;144.86;199.67;4.83;6.66;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000083866;05;088-26284-FJWI;MANTECORP FARMASA;VABAM;20 mg bl. x 15 cprs. rev.;RIVAROXABANA;7896094926646;1781709170072;90522478;540921100048704;N;N;15;72.41;99.81;4.83;6.65;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000083867;05;088-26284-FBMO;MANTECORP FARMASA;VABAM;20 mg bl. x 30 cprs. rev.;RIVAROXABANA;7896094926653;1781709170080;90522486;540921100048804;N;N;30;144.86;199.67;4.83;6.66;;BRAS_PF_PMC;ed. 1091;20;
