fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000094437;05;442-28677-FWTE;ASTRAZENECA;WAINUA;56,25 mg/ml sol. inj. SC ct. car. vd. trans. x 0,8 ml + can. aplic.;EPLONTERSENA SÓDICA;5000456083706;1161803070016;90620011;502325120038702;N;N;1;235534.73;315961.45;235534.73;315961.45;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1094;medicamento;0000094314;05;941-28626-DZZP;ADVFARMA;WASH IN H 3% SOL. SALINA HIPERTONICA;Ampola 5 ml;;7896230304826;;;;N;;1;47.84;0;47.84;0;;BRAS_PF_PMC;ed. 1083;20;
BRASINDICE;1100;medicamento;0000090808;05;355-27785-FSBK;NOVO NORDISK;WEGOVY;0,68 mg/ml sol. inj. SC ct 1 car. vd. trans. x 1,5 ml + 1 sist. aplic. plas. + 4 agulhas Novofine Plus;SEMAGLUTIDA;7897705203071;1176600390022;90563360;526623060011607;N;N;1;957.19;1284.04;957.19;1284.04;;BRAS_PF_PMC;ed. 1069;20;
BRASINDICE;1100;medicamento;0000090809;05;355-27785-FSBL;NOVO NORDISK;WEGOVY;1,34 mg/ml sol. inj. SC ct 1 car. vd. trans. x 1,5 ml + 1 sist. aplic. plas. + 4 agulhas Novofine Plus;SEMAGLUTIDA;7897705203088;1176600390049;90563379;526623060011507;N;N;1;957.19;1284.04;957.19;1284.04;;BRAS_PF_PMC;ed. 1069;20;
BRASINDICE;1100;medicamento;0000090810;05;355-27785-FSBM;NOVO NORDISK;WEGOVY;1,34 mg/ml sol. inj. SC ct 1 car. vd. trans. x 3 ml + 1 sist. aplic. plas. + 4 agulhas Novofine Plus;SEMAGLUTIDA;7897705203095;1176600390065;90563387;526623060011307;N;N;1;957.19;1284.04;957.19;1284.04;;BRAS_PF_PMC;ed. 1069;20;
BRASINDICE;1100;medicamento;0000090811;05;355-27785-FSBN;NOVO NORDISK;WEGOVY;2,27 mg/ml sol. inj. SC ct 1 car. vd. trans. x 3 ml + 1 sist. aplic. plas. + 4 agulhas Novofine Plus;SEMAGLUTIDA;7897705203101;1176600390081;90563395;526623060011407;N;N;1;1433.78;1923.36;1433.78;1923.36;;BRAS_PF_PMC;ed. 1069;20;
BRASINDICE;1100;medicamento;0000090812;05;355-27785-FSBO;NOVO NORDISK;WEGOVY;3,2 mg/ml sol. inj. SC ct 1 car. vd. trans. x 3 ml + 1 sist. aplic. plas. + 4 agulhas Novofine Plus;SEMAGLUTIDA;7897705203118;1176600390103;90563409;526623060011207;N;N;1;1844.14;2473.85;1844.14;2473.85;;BRAS_PF_PMC;ed. 1069;20;
BRASINDICE;1100;medicamento;0000088711;05;127-27352-FPMM;MERCK SHARP & DOHME;WELIREG;40 mg ct. fr. plas. pead opc. x 90 cprs. rev.;BELZUTIFANO;7897572020696;1017102340013;90565223;527323080024101;N;N;90;106186.79;142445.8;1179.85;1582.73;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000039577;05;562-18820-DAEF;GLAXOSMITHKLINE;WELLBUTRIN XL;150 mg. 7 cprs.;CLORIDRATO DE BUPROPIONA;7896015518509;1010702380027;90090632;510611901111313;N;N;7;36.88;50.84;5.27;7.26;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000039578;05;562-18820-AAWX;GLAXOSMITHKLINE;WELLBUTRIN XL;150 mg. 30 cprs.;CLORIDRATO DE BUPROPIONA;7896015516598;1010702380035;90090640;510611902116319;N;N;30;151.37;208.65;5.05;6.96;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000039579;05;562-18820-DAEG;GLAXOSMITHKLINE;WELLBUTRIN XL;300 mg. 7 cprs.;CLORIDRATO DE BUPROPIONA;7896015518493;1010702380051;90090659;510611903112317;N;N;7;38.88;53.59;5.55;7.66;;BRAS_PF_PMC;ed. 1095;20;
BRASINDICE;1100;medicamento;0000039580;05;562-18820-ALLW;GLAXOSMITHKLINE;WELLBUTRIN XL;300 mg. 30 cprs.;CLORIDRATO DE BUPROPIONA;7896015516604;1010702380061;90090667;510611904119315;N;N;30;186.58;257.18;6.22;8.57;;BRAS_PF_PMC;ed. 1095;20;
