fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000088050;05;068-27157-FOKX;ZAMBON;XADAGO;50 mg ct. bl. al. plas. PVC/PVDC trans. x 14 cprs. rev.;MESILATO DE SAFINAMIDA;7898074617797;1008499560011;90429184;533819020009002;N;N;14;88.46;118.66;6.32;8.48;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000088051;05;068-27157-FOKY;ZAMBON;XADAGO;50 mg ct. bl. al. plas. PVC/PVDC trans. x 30 cprs. rev.;MESILATO DE SAFINAMIDA;7898074613775;1008499560028;90429192;533819020009102;N;N;30;189.52;254.23;6.32;8.47;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000088052;05;068-27157-FOKZ;ZAMBON;XADAGO;100 mg ct. bl. al. plas. PVC/PVDC trans. x 30 cprs. rev.;MESILATO DE SAFINAMIDA;7898074617889;1008499560044;90429214;533819020009302;N;N;30;254.92;341.96;8.5;11.4;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000084212;05;092-26312-FETG;APSEN;XAFAC;2,5 mg. cx. 30 cprs. rev.;RIVAROXABANA;7896637032919;1011806350033;90523385;501621110035604;N;N;30;70.66;97.4;2.36;3.25;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000084213;05;092-26312-FKDO;APSEN;XAFAC;2,5 mg. cx. 60 cprs. rev.;RIVAROXABANA;7896637032926;1011806350041;90523393;501621110035704;N;N;60;108.71;149.85;1.81;2.5;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000084214;05;092-26312-BPKL;APSEN;XAFAC;10 mg. cx. 10 cprs. rev.;RIVAROXABANA;7896637032940;1011806350149;90523423;501621110035204;N;N;10;52.34;72.15;5.23;7.22;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000084215;05;092-26312-AWLJ;APSEN;XAFAC;10 mg. cx. 30 cprs. rev.;RIVAROXABANA;7896637032957;1011806350165;90523440;501621110034904;N;N;30;156.93;216.31;5.23;7.21;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000084216;05;092-26312-FKDP;APSEN;XAFAC;15 mg. cx. 14 cprs. rev.;RIVAROXABANA;7896637032971;1011806350289;90523482;501621110036104;N;N;14;73.23;100.94;5.23;7.21;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000084217;05;092-26312-FKDQ;APSEN;XAFAC;15 mg. cx. 28 cprs. rev.;RIVAROXABANA;7896637032988;1011806350300;90523504;501621110036304;N;N;28;146.47;201.89;5.23;7.21;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000084218;05;092-26312-DAPS;APSEN;XAFAC;20 mg. cx. 14 cprs. rev.;RIVAROXABANA;7896637033008;1011806350440;90523563;501621110036904;N;N;14;73.23;100.94;5.23;7.21;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000084219;05;092-26312-BMYT;APSEN;XAFAC;20 mg. cx. 28 cprs. rev.;RIVAROXABANA;7896637033015;1011806350467;90523580;501621110036804;N;N;28;146.47;201.89;5.23;7.21;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000085716;05;092-26312-FLYD;APSEN;XAFAC;15 mg cx. 42 cprs. rev.;RIVAROXABANA;7896637033152;1011806350327;90523520;501621110036504;N;N;42;150.11;206.91;3.57;4.93;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000085717;05;092-26312-FLYE;APSEN;XAFAC;20 mg cx. 98 cprs. rev.;RIVAROXABANA;7896637033220;1011806350505;90523628;501621110037404;N;N;98;264.26;364.25;2.7;3.72;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000093825;05;828-28515-FWAZ;DR. REDDY S;XAGLUSEF (Restrito Hosp.);200 mg/ml sol. infus. IV ct. FA vd. trans. x 100 ml;ALANILGLUTAMINA;8901148260399;1514300890017;90592018;507524100024104;N;S;1;740.45;0;740.45;0;;BRAS_PF_PMC;ed. 1090;20;
BRASINDICE;1100;medicamento;0000086922;05;500-26737-FILG;SIGMA PHARMA;XAKILIS;2,5 mg. 20 cprs. rev.;APIXABANA;7896004785639;1023514010023;90543238;541822090184204;N;N;20;38.64;53.26;1.93;2.66;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000086923;05;500-26737-FNAU;SIGMA PHARMA;XAKILIS;2,5 mg. 60 cprs. rev.;APIXABANA;7896004785646;1023514010031;90543246;541822090184304;N;N;60;102.54;141.34;1.71;2.36;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000086924;05;500-26737-AMZD;SIGMA PHARMA;XAKILIS;5 mg. 20 cprs. rev.;APIXABANA;7896004785653;1023514010066;90543254;541822090184404;N;N;20;38.64;53.26;1.93;2.66;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000086925;05;500-26737-DSPR;SIGMA PHARMA;XAKILIS;5 mg. 60 cprs. rev.;APIXABANA;7896004785660;1023514010074;90543262;541822090184504;N;N;60;102.54;141.34;1.71;2.36;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000093855;05;963-10662-FDTC;VIATRIS;XALACOM;50 mcg/ml. + 5 mg/ml. sol. oft. ct. fr. plast. trans. got. x 2,5 ml.;"MALEATO DE TIMOLOL;LATANOPROSTA";7898560666964;1883001030018;90528980;541525040033017;;N;1;210.69;290.41;210.69;290.41;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000092803;05;100-24296-FUPF;GEOLAB;XALANOFT;50 mcg/ml + 5 mg/ml sol. oft. ct. fr. got. x 2,5 ml;MALEATO ÁCIDO DE TIMOLOL;7899095204751;1542301980015;90280946;510413060084904;N;N;1;88.24;121.63;88.24;121.63;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000093856;05;963-04621-FDTD;VIATRIS;XALATAN;50 mcg/ml. sol. oft. ct. fr. plast. trans. got. x 2,5 ml.;LATANOPROSTA;7898560666971;1883001050019;90528972;541525040033117;;N;1;187.52;258.48;187.52;258.48;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000086626;05;1075-26901-EMCW;PFIZER BRASIL;XALKORI (CONVENIO 132/21);200 mg. bl. 60 caps.;CRIZOTINIBE;7891268110388;1211004540038;90456025;522720030084417;N;N;60;33764.92;45294.44;562.75;754.91;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000086627;05;1075-26901-ELGU;PFIZER BRASIL;XALKORI (CONVENIO 132/21);250 mg. ct. fr. plas. opc. x 60 caps. dura;CRIZOTINIBE;7891268110418;1211004540062;90456076;522720030084617;N;N;60;41728.48;55977.27;695.47;932.95;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000092804;05;100-24295-FUPG;GEOLAB;XALOFTAL;Solucao oftalmica 0,05 mg/ml frasco c/ 2,5ml;LATANOPROSTA;7899095203778;1542301950019;90280865;510413060084504;N;N;1;80.05;110.34;80.05;110.34;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000088423;05;963-27287-FJHD;VIATRIS;XANEV;10 mg ct. bl. al. plas. PVC/PVDC trans. x 30 cprs. rev.;RIVAROXABANA;7898560666261;1883000970033;90567935;541523070029904;N;N;30;262.8;362.24;8.76;12.07;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000088424;05;963-27287-FPAI;VIATRIS;XANEV;15 mg ct. bl. al. plas. PVC/PVDC trans. x 28 cprs. rev.;RIVAROXABANA;7898560666322;1883000970076;90567978;541523070030304;N;N;28;248.15;342.05;8.86;12.22;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1100;medicamento;0000088425;05;963-27287-FOKF;VIATRIS;XANEV;20 mg ct. bl. al. plas. PVC/PVDC trans. x 28 cprs. rev.;RIVAROXABANA;7898560666407;1883000970122;90568028;541523070030804;N;N;28;246.64;339.97;8.81;12.14;;BRAS_PF_PMC;ed. 1097;20;
BRASINDICE;1094;medicamento;0000089487;05;001-27522-FQOI;UNIAO QUIMICA;XANTINON;20 caps. gel.;;7896006299721;;;;N;;20;13.51;0;0.68;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000085163;05;001-02961-FLGG;UNIAO QUIMICA;XANTINON;100 mg + 20 mg ct. bl. al. plas. inc. x 100 cprs. rev. (Emb. mult.);"RACEMETIONINA;CLORETO DE COLINA";7896006216254;1049714670020;90524624;533021120076817;N;N;100;46.72;62.67;0.47;0.63;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000092370;05;001-02961-FUAR;UNIAO QUIMICA;XANTINON;100 mg. + 20 mg. ct. bl. al. plas. pvc/pvdc trans. x 30 cprs. rev.;"RACEMETIONINA;CLORETO DE COLINA";7896006216483;1049714670039;90524632;533021120076917;N;N;30;12.66;16.98;0.42;0.57;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1094;medicamento;0000089921;05;001-27592-FRAZ;UNIAO QUIMICA;XANTINON AFTER;250 ml citrus;;7896006299615;;;;N;;1;8.99;0;8.99;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1094;medicamento;0000089922;05;001-27592-FRBA;UNIAO QUIMICA;XANTINON AFTER;250 ml frut. verm.;;7896006299622;;;;N;;1;8.99;0;8.99;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1094;medicamento;0000089923;05;001-27592-FRBB;UNIAO QUIMICA;XANTINON AFTER;250 ml tangerina;;7896006299639;;;;N;;1;8.99;0;8.99;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000085167;05;001-16096-FLGK;UNIAO QUIMICA;XANTINON COMPLEX;40 mg/ml + 53 mg/ml + 50 mg/ml sol. or. ct. 60 flac. x 10 ml (emb. mult.);"ACETILRACEMETIONINA;BETAÍNA;CITRATO DE COLINA";7896006216636;1049714660068;90524616;533021120076717;N;N;60;178.49;239.44;2.97;3.99;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000092371;05;001-16096-FUAS;UNIAO QUIMICA;XANTINON COMPLEX;40 mg/ml + 53 mg/ml + 50 mg/ml sol. or. ct. fr. plas. pet. amb. x 100 ml;"ACETILRACEMETIONINA;BETAÍNA;CITRATO DE COLINA";7896006216605;1049714660017;90524594;533021120076617;N;N;1;14.36;19.26;14.36;19.26;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000092372;05;001-16096-FUAT;UNIAO QUIMICA;XANTINON COMPLEX;40 mg/ml + 53 mg/ml + 50 mg/ml sol. or. ct. 12 flac. plas. PP trans. x 10 ml;"ACETILRACEMETIONINA;BETAÍNA;CITRATO DE COLINA";7896006216629;1049714660025;;533021120076517;N;N;12;34.45;46.21;2.87;3.85;;BRAS_PF_PMC;ed. 1096;20;
