fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000055328;05;029-11273-DVTY;BAYER;YASMIN;3 mg + 0,03 mg bl. calend. x 21 cprs. rev. + 7;"ETINILESTRADIOL;DROSPIRENONA";7891106915311;1705600700071;90327292;538915060023503;N;N;28;86.58;119.34;3.09;4.26;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000055329;05;029-11273-DVTZ;BAYER;YASMIN;3 mg + 0,03 mg bl. calend. x 63 cprs. ev. + 21;"ETINILESTRADIOL;DROSPIRENONA";7891106915335;1705600700081;90284526;538913050022403;N;N;84;259.68;357.94;3.09;4.26;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000055330;05;029-15328-DVUA;BAYER;YAZ;3 mg + 0,02 mg bl. calend. x 24 cprs. rev. + 4 placebo;"CLATRATO DE ETINILESTRADIOL BETACICLODEXTRINA;DROSPIRENONA";7891106915342;1705600690033;90284488;538912120021103;N;N;28;86.58;119.34;3.09;4.26;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000072134;05;029-15328-EVCC;BAYER;YAZ;Flex 3 mg. + 0,02 mg. x 30 cprs. rev.;"CLATRATO DE ETINILESTRADIOL BETACICLODEXTRINA;DROSPIRENONA";7891106914178;1705600690106;90388500;538917100027503;N;N;30;108.19;149.13;3.61;4.97;;BRAS_PF_PMC;ed. 1098;20;
BRASINDICE;1100;medicamento;0000051910;05;309-26903-DRLM;B-MS;YERVOY (Restrito Hosp.) (CONVENIO 132/21);50 mg. inj. cx. 1 FA 10 ml;IPILIMUMABE;7896016807589;1018004020012;90255224;505112120019302;N;S;1;24855.13;0;24855.13;0;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000088514;05;958-27307-FPDE;GILEAD;YESCARTA (Restrito Hosp.);1,0 a 2,0 x 10E6 cels T car positivas/kg sus. inj. IV cassete alu bols.;AXICABTAGENO CILOLEUCEL;7898962482247;1092900130013;90565169;546823080001407;N;S;1;2302411.65;0;2302411.65;0;;BRAS_PF_PMC;ed. 1092;20;
BRASINDICE;1100;medicamento;0000095888;05;1127-28960-FYCL;BIOCON;YESINTEK;45 mg sol. inj. ct. 1 fr. vd. trans. x 0,5 ml;;8905056005264;;;;;;1;14087.01;19417.48;14087.01;19417.48;;BRAS_PF_PMC;ed. 1100;20;
BRASINDICE;1100;medicamento;0000095889;05;1127-28960-FYCM;BIOCON;YESINTEK;45 mg sol. inj. ct. 1 ser. preench. vd. trans. x 0,5 ml + ag. sist. seg.;;8905056005271;;;;;;1;14087.01;19417.48;14087.01;19417.48;;BRAS_PF_PMC;ed. 1100;20;
BRASINDICE;1100;medicamento;0000095890;05;1127-28960-FYCN;BIOCON;YESINTEK;90 mg sol. inj. ct. 1 ser. preench. vd. trans. x 1 ml + ag. sist. seg.;;8905056005288;;;;;;1;28173.97;38834.88;28173.97;38834.88;;BRAS_PF_PMC;ed. 1100;20;
BRASINDICE;1100;medicamento;0000095891;05;1127-28961-FYCO;BIOCON;YESINTEK (Restrito Hosp.);130 mg sol. dil. infus. ct. 1 fr. vd. trans. x 26 ml;;8905056005295;;;;;S;1;40695.75;0;40695.75;0;;BRAS_PF_PMC;ed. 1100;20;
BRASINDICE;1100;medicamento;0000002962;05;092-04244-AMAP;APSEN;YOMAX;5,4 mg. 60 cprs.;CLORIDRATO DE IOIMBINA;7896637022644;1011801200025;90010140;501603301118317;N;N;60;81.8;109.73;1.36;1.83;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000091998;05;360-28037-FTPO;ADIUM;YONDELIS (Restrito Hosp.);1 mg po liof. sol. infus. IV ct. FA vd. trans.;TRABECTEDINA;7892953208496;1221401330010;90601602;534224120036302;N;S;1;3954.49;0;3954.49;0;;BRAS_PF_PMC;ed. 1091;20;
BRASINDICE;1100;medicamento;0000090922;05;980-27822-FSFE;CELLTRION;YUFLYMA;100 mg/ml sol. inj. ct. 2 x ser. preenc. vd. trans. x 0,4 ml + 2 can. aplic. + 2 env. len. alcool;ADALIMUMABE;7898576550332;1921600040025;90574974;545124020001507;N;N;2;2319.75;3206.91;1159.88;1603.46;;BRAS_PF_PMC;ed. 1066;20;
BRASINDICE;1100;medicamento;0000095139;05;980-27822-FXGE;CELLTRION;YUFLYMA;100 mg/ml sol. inj. ct. 2 x ser. preenc. vd. trans. x 0,8 ml + 2 can. aplic. + 2 env. len. alcool;ADALIMUMABE;7898576550653;1921600040068;90618483;545125110002507;N;N;2;4639.49;6413.82;2319.74;3206.91;;BRAS_PF_PMC;ed. 1090;20;
