fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
BRASINDICE;1100;medicamento;0000070585;05;1048-26904-ETDN;SANOFI MEDLEY;ZALTRAP (Restrito Hosp.) (CONVENIO 132/21);100 mg/4 ml FA;AFLIBERCEPTE;7891058017026;1832603380012;90463960;576720050068217;N;S;1;1824.22;0;1824.22;0;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000070586;05;1048-26904-ETDM;SANOFI MEDLEY;ZALTRAP (Restrito Hosp.) (CONVENIO 132/21);200 mg/8 ml FA;AFLIBERCEPTE;7891058017033;1832603380020;90463978;576720050068317;N;S;1;3648.46;0;3648.46;0;;BRAS_PF_PMC;ed. 1099;20;
BRASINDICE;1100;medicamento;0000003983;05;092-05412-FTGC;APSEN;ZANIDIP;10 mg 20 cprs. rev. or.;CLORIDRATO DE LERCANIDIPINO;7896637033824;1011806410036;90561716;501623050043517;N;N;20;76.03;104.8;3.8;5.24;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000003984;05;092-05412-FTGD;APSEN;ZANIDIP;10 mg 30 cprs. rev. or.;CLORIDRATO DE LERCANIDIPINO;7896637033831;1011806410044;90561724;501623050043617;N;N;30;114.1;157.27;3.8;5.24;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000047442;05;092-05412-FTGE;APSEN;ZANIDIP;20 mg 30 cprs. rev. or.;CLORIDRATO DE LERCANIDIPINO;7896637033848;1011806410109;90561732;501623050043717;N;N;30;193.45;266.65;6.45;8.89;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000091782;05;092-05412-FTGC;APSEN;ZANIDIP;10 mg 20 cprs. rev. or.;CLORIDRATO DE LERCANIDIPINO;7896637037600;1011806410206;90589769;501624080050103;N;N;20;76.03;104.8;3.8;5.24;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000091783;05;092-05412-FTGD;APSEN;ZANIDIP;10 mg 30 cprs. rev. or.;CLORIDRATO DE LERCANIDIPINO;7896637037617;1011806410214;90589777;501624080050203;N;N;30;114.1;157.27;3.8;5.24;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000091784;05;092-05412-FTGE;APSEN;ZANIDIP;20 mg 30 cprs. rev. or.;CLORIDRATO DE LERCANIDIPINO;7896637037624;1011806410265;90589793;501624080049903;N;N;30;193.45;266.65;6.45;8.89;;BRAS_PF_PMC;ed. 1096;20;
BRASINDICE;1100;medicamento;0000055324;05;912-20625-CSJT;MOMENTA;ZAP;2,5 mg bl. 30 cprs.;OLANZAPINA;7891317016128;1004313820031;90536762;508022040157017;N;N;30;57.62;79.42;1.92;2.65;;BRAS_PF_PMC;ed. 1094;20;
BRASINDICE;1100;medicamento;0000055325;05;912-20625-BHKB;MOMENTA;ZAP;5 mg. bl. 30 cprs.;OLANZAPINA;7891317016135;1004313820072;90536770;508022040157117;N;N;30;118.08;162.76;3.94;5.43;;BRAS_PF_PMC;ed. 1094;20;
