codigo_tuss;codigo_cbhpm;descricao;porte;custo_operacional_uco;pagina_publicacao
10100008;1.01.00.00-8;Código Procedimentos Porte CONSULTAS (1.01.01.00-4) 1.01.01.01-2 Em consultório (no horári;2B;1;23
10101039;1.01.01.03-9;Em pronto socorro;2B;1;23
10102019;1.01.02.01-9;Visita hospitalar (paciente internado);2A;1;23
10103015;1.01.03.01-5;Atendimento ao recém-nascido em berçário;3C;20;23
10103996;1.01.03.99-6;OBSERVAÇÕES: 1 -Será obedecido o que consta no item 6 das Instruções Gerais. 2 -Em caso de;2B;1;24
10104992;1.01.04.99-2;OBSERVAÇÕES: - Nos portes indicados para o plantonista de UTI não estão incluídos: diálise;2B;1;24
10105042;1.01.05.04-2;Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional - até o reto;4A;1;25
10106049;1.01.06.04-9;Atendimento pediátrico a gestantes (3º trimestre);2B;1;25
10106073;1.01.06.07-3;Junta Médica (três ou mais profissionais) - destina-se ao esclarecimento diagnóstico ou de;3B;1;25
20100000;2.01.00.00-0;Custo Código Procedimentos Porte Oper. AVALIAÇÕES / ACOMPANHAMENTOS (2.01.01.00-7) 2.01.01;2B;;27
20101023;2.01.01.02-3;Análise da proporcionalidade cineantropométrica;1A;;27
20101074;2.01.01.07-4;Avaliação nutricional (inclui consulta);2B;;27
20101082;2.01.01.08-2;Avaliação nutricional pré e pós-cirurgia bariátrica (inclui consulta);2B;;27
20101090;2.01.01.09-0;Avaliação da composição corporal por antropometria (inclui consulta);2B;;27
20101104;2.01.01.10-4;Avaliação da composição corporal por bioimpedanciometria;1A;0,550;27
20101112;2.01.01.11-2;Avaliação da composição corporal por pesagem hidrostática;1A;;27
20101120;2.01.01.12-0;Controle anti-doping (por período de 2 horas) - durante competições;5A;;27
20101139;2.01.01.13-9;Controle anti-doping (por período de 2 horas) - fora de competições;5A;;27
20101155;2.01.01.15-5;Prestação de serviços em delegações ou competições;6C;;27
20101163;2.01.01.16-3;Pulsoterapia (por sessão);4C;;27
20101171;2.01.01.17-1;Rejeição de enxerto renal - tratamento ambulatorial - avaliação clínica diária;2C;;27
20101201;2.01.01.20-1;Avaliação clínica e eletrônica de paciente portador de marca-passo ou sincronizador ou des;2B;6,000;27
20102011;2.01.02.01-1;Holter de 24 horas - 2 ou mais canais - analógico;2A;8,100;27
20102020;2.01.02.02-0;Holter de 24 horas - 3 canais - digital;2A;12,000;27
20102038;2.01.02.03-8;Monitorização ambulatorial da pressão arterial - MAPA (24 horas);2A;12,000;27
20102062;2.01.02.06-2;Monitor de eventos sintomáticos por 15 a 30 dias (LOOPER);2A;30,000;27
20102070;2.01.02.07-0;Tilt teste;2A;12,000;27
20103018;2.01.03.01-8;Adaptação e treinamento de recursos ópticos para visão subnormal (por sessão) - binocular;1B;;27
20103026;2.01.03.02-6;Amputação bilateral (preparação do coto);1C;0,710;27
20103034;2.01.03.03-4;Amputação bilateral (treinamento protético);1C;0,640;27
20103042;2.01.03.04-2;Amputação unilateral (preparação do coto);1B;0,470;27
20103050;2.01.03.05-0;Amputação unilateral (treinamento protético);1B;0,490;27
20103077;2.01.03.07-7;Ataxias;1C;0,230;28
20103093;2.01.03.09-3;Atendimento fisiátrico no pré e pós-operatório de pacientes para prevenção de seqüelas;1B;;28
20103107;2.01.03.10-7;Atendimento fisiátrico no pré e pós-parto;1B;;28
20103115;2.01.03.11-5;Atividade reflexa ou aplicação de técnica cinesioterápica específica;1B;;28
20103123;2.01.03.12-3;Atividades em escola de postura (máximo de 10 pessoas) - por sessão;1C;;28
20103131;2.01.03.13-1;Biofeedback com EMG;2C;0,420;28
20103140;2.01.03.14-0;Bloqueio fenólico, alcoólico ou com toxina botulínica (de pontos motores) - por membro ou;2C;1,950;28
20103158;2.01.03.15-8;Confecção de órteses em material termo-sensível (por unidade);1B;0,420;28
20103166;2.01.03.16-6;Confecção de prótese imediata;1C;6,300;28
20103174;2.01.03.17-4;Confecção de prótese provisória;1B;5,500;28
20103182;2.01.03.18-2;Desvios posturais da coluna vertebral;1B;;28
20103190;2.01.03.19-0;Disfunção vésico-uretral;1B;0,160;28
20103204;2.01.03.20-4;Distrofia simpático-reflexa;1C;0,450;28
20103212;2.01.03.21-2;Distúrbios circulatórios artério-venosos e linfáticos;1B;1,100;28
20103220;2.01.03.22-0;Doenças pulmonares atendidas em ambulatório;1B;0,440;28
20103239;2.01.03.23-9;Exercícios de ortóptica (por sessão);1A;;28
20103247;2.01.03.24-7;Exercícios para reabilitação do asmático (ERAC) - por sessão coletiva;1A;0,440;28
20103255;2.01.03.25-5;Exercícios para reabilitação do asmático (ERAI) - por sessão individual;1B;0,440;28
20103263;2.01.03.26-3;Hemiparesia;2A;0,250;28
20103271;2.01.03.27-1;Hemiplegia;2A;0,330;28
20103280;2.01.03.28-0;Hemiplegia e hemiparesia com afasia;2A;0,350;28
20103298;2.01.03.29-8;Hipo ou agenesia de membros;1B;0,420;28
20103301;2.01.03.30-1;Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo);3A;;28
20103310;2.01.03.31-0;Lesão nervosa periférica afetando mais de um nervo com alterações sensitivas e/ou motoras;1C;0,400;28
20103328;2.01.03.32-8;Lesão nervosa periférica afetando um nervo com alterações sensitivas e/ou motoras;1C;0,400;28
20103336;2.01.03.33-6;Manipulação vertebral;2B;;28
20103360;2.01.03.36-0;Paciente com D.P.O.C. em atendimento ambulatorial necessitando reeducação e reabilitação r;1C;0,540;29
20103379;2.01.03.37-9;Paciente em pós-operatório de cirurgia cardíaca, atendido em ambulatório, duas a três veze;1B;;29
20103387;2.01.03.38-7;Pacientes com doença isquêmica do coração, atendido em ambulatório de 8 a 24 semanas;1B;;29
20103395;2.01.03.39-5;Pacientes com doença isquêmica do coração, atendido em ambulatório, até 8 semanas de progr;1B;;29
20103409;2.01.03.40-9;Pacientes com doenças neuro-músculo-esqueléticas com envolvimento tegumentar;1B;0,140;29
20103417;2.01.03.41-7;Pacientes sem doença coronariana clinicamente manifesta, mas considerada de alto risco, at;1C;1,060;29
20103425;2.01.03.42-5;Paralisia cerebral;2A;0,590;29
20103433;2.01.03.43-3;Paralisia cerebral com distúrbio de comunicação 2A 0,450 2.01.03.44-1 Paraparesia/tetrapar;1C;0,660;29
20103450;2.01.03.45-0;Paraplegia e tetraplegia;1C;0,520;29
20103468;2.01.03.46-8;Parkinson;2A;0,230;29
20103476;2.01.03.47-6;Patologia neurológica com dependência de atividades da vida;1C;0,870;29
20103484;2.01.03.48-4;Patologia osteomioarticular em um membro;1C;0,470;29
20103492;2.01.03.49-2;Patologia osteomioarticular em dois ou mais membros;2A;0,600;29
