fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;541815080013703;;;EMS S/A;A SAÚDE DA MULHER;(0,625 ML + 400 MG + 0,30 ML + 0,013 ML) 15 ML SOL OR CT FR VD AMB X 150 ML + COP;"EXTRATO FLUIDO DE CASCA DE LARANJA AMARGA;SALICILATO DE SÓDIO;TINTURA AGONIADA PLUMÉRIA;EXTRATO FLUIDO DE PASSIFLORA ALATA";7896004817477;1023510590025;90328949;541815080013703;;N;;17.48;23.45;;;;CMED_ICMS17;20260508;20;PF0=14.51|PF12=16.49|PF18=17.7|PF19=17.91|PF20=18.14|PF21=18.37|PF22=18.6|PMC0=19.46|PMC12=22.12|PMC18=23.74|PMC19=24.03|PMC20=24.33|PMC21=24.64|PMC22=24.95|PMVG17=13.72|PMVG18=13.89|PMVG20=14.23
CMED;20260508;medicamento;540923010058717;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;AAS;100 MG COM CT BL AL PLAS TRANS X 30;ACIDO ACETILSALICILICO;7896094928107;1781709360017;90559436;540923010058717;;N;;20.99;28.16;;;;CMED_ICMS17;20260508;20;PF0=17.42|PF12=19.8|PF18=21.24|PF19=21.51|PF20=21.78|PF21=22.05|PF22=22.33|PMC0=23.37|PMC12=26.56|PMC18=28.49|PMC19=28.85|PMC20=29.22|PMC21=29.58|PMC22=29.95|PMVG17=16.47|PMVG18=16.67|PMVG20=17.09
CMED;20260508;medicamento;540923010058817;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;AAS;100 MG COM CT FR PLAS OPC X 120;ACIDO ACETILSALICILICO;7896094928091;1781709360025;90559444;540923010058817;;N;;74.37;99.76;;;;CMED_ICMS17;20260508;20;PF0=61.73|PF12=70.15|PF18=75.28|PF19=76.21|PF20=77.16|PF21=78.14|PF22=79.14|PMC0=82.81|PMC12=94.1|PMC18=100.99|PMC19=102.23|PMC20=103.51|PMC21=104.82|PMC22=106.16|PMVG17=58.36|PMVG18=59.07|PMVG20=60.55
CMED;20260508;medicamento;540923010058917;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;AAS;100 MG COM CT BL AL PLAS TRANS X 200;ACIDO ACETILSALICILICO;7896094928060;1781709360033;90559452;540923010058917;;N;;149.86;201.03;;;;CMED_ICMS17;20260508;20;PF0=124.38|PF12=141.34|PF18=151.68|PF19=153.56|PF20=155.48|PF21=157.44|PF22=159.46|PMC0=166.85|PMC12=189.6|PMC18=203.47|PMC19=206|PMC20=208.57|PMC21=211.2|PMC22=213.91|PMVG17=117.6|PMVG18=119.02|PMVG20=122.01
CMED;20260508;medicamento;576720070076117;;;SANOFI MEDLEY FARMACÊUTICA LTDA.;AAS;100 MG COM CT BL AL PLAS TRANS X 30;ACIDO ACETILSALICILICO;7897595900029;1832603860014;90463609;576720070076117;;N;;20.01;26.84;;;;CMED_ICMS17;20260508;20;PF0=16.61|PF12=18.88|PF18=20.26|PF19=20.51|PF20=20.76|PF21=21.03|PF22=21.29|PMC0=22.28|PMC12=25.33|PMC18=27.18|PMC19=27.51|PMC20=27.85|PMC21=28.21|PMC22=28.56|PMVG17=15.7|PMVG18=15.9|PMVG20=16.29
CMED;20260508;medicamento;576720070076217;;;SANOFI MEDLEY FARMACÊUTICA LTDA.;AAS;100 MG COM CT FR PLAS OPC X 120;ACIDO ACETILSALICILICO;7897595901927;1832603860022;90463617;576720070076217;;N;;71.1;95.38;;;;CMED_ICMS17;20260508;20;PF0=59.01|PF12=67.06|PF18=71.96|PF19=72.85|PF20=73.76|PF21=74.7|PF22=75.65|PMC0=79.16|PMC12=89.96|PMC18=96.53|PMC19=97.73|PMC20=98.95|PMC21=100.21|PMC22=101.48|PMVG17=55.79|PMVG18=56.47|PMVG20=57.88
CMED;20260508;medicamento;576720070076317;;;SANOFI MEDLEY FARMACÊUTICA LTDA.;AAS;100 MG COM CT BL AL PLAS TRANS X 200;ACIDO ACETILSALICILICO;7897595900593;1832603860030;90463625;576720070076317;;N;;143.55;192.57;;;;CMED_ICMS17;20260508;20;PF0=119.15|PF12=135.4|PF18=145.3|PF19=147.1|PF20=148.94|PF21=150.82|PF22=152.76|PMC0=159.84|PMC12=181.63|PMC18=194.91|PMC19=197.33|PMC20=199.8|PMC21=202.32|PMC22=204.92|PMVG17=112.64|PMVG18=114.02|PMVG20=116.87
CMED;20260508;medicamento;540923010059117;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;AAS PROTECT;100 MG COM REV CT BL AL AL X 30;ÁCIDO ACETILSALICÍLICO;7896094928046;1781709310011;90559398;540923010059117;;N;;17.34;23.26;;;;CMED_ICMS17;20260508;20;PF0=14.39|PF12=16.35|PF18=17.55|PF19=17.77|PF20=17.99|PF21=18.22|PF22=18.45|PMC0=19.3|PMC12=21.93|PMC18=23.54|PMC19=23.84|PMC20=24.13|PMC21=24.44|PMC22=24.75|PMVG17=13.61|PMVG18=13.77|PMVG20=14.12
CMED;20260508;medicamento;576720050068717;;;SANOFI MEDLEY FARMACÊUTICA LTDA.;AAS PROTECT;100 MG COM REV CT BL AL AL X 30;ÁCIDO ACETILSALICÍLICO;7897595903693;1832603870011;90463641;576720050068717;;N;;17.34;23.26;;;;CMED_ICMS17;20260508;20;PF0=14.39|PF12=16.35|PF18=17.55|PF19=17.77|PF20=17.99|PF21=18.22|PF22=18.45|PMC0=19.3|PMC12=21.93|PMC18=23.54|PMC19=23.84|PMC20=24.13|PMC21=24.44|PMC22=24.75|PMVG17=13.61|PMVG18=13.77|PMVG20=14.12
CMED;20260508;medicamento;515100102166419;;;KLEY HERTZ FARMACEUTICA S.A;ABC;10 MG/G CREM DERM CT BG AL X 20G;CLOTRIMAZOL;7896331702545;1068901530012;90108647;515100102166419;;N;;15.72;21.09;;;;CMED_ICMS17;20260508;20;PF0=13.05|PF12=14.83|PF18=15.91|PF19=16.11|PF20=16.31|PF21=16.52|PF22=16.73|PMC0=17.51|PMC12=19.89|PMC18=21.34|PMC19=21.61|PMC20=21.88|PMC21=22.16|PMC22=22.44|PMVG17=12.34|PMVG18=12.48|PMVG20=12.8
