fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;504401302150416;;;BLAU FARMACEUTICA S.A.;B -PLATIN;10 MG / ML SOL INJ CT FA VD AMB X 5 ML;CARBOPLATINA;7896014665303;1163700140026;90030648;504401302150416;;S;;148.61;;;;;CMED_ICMS17;20260508;20;PF0=123.35|PF12=140.17|PF18=150.43|PF19=152.28|PF20=154.19|PF21=156.14|PF22=158.14|PMVG17=116.61|PMVG18=118.04|PMVG20=120.99
CMED;20260508;medicamento;504401303157414;;;BLAU FARMACEUTICA S.A.;B -PLATIN;10 MG / ML SOL INJ CT FA VD AMB X 45 ML;CARBOPLATINA;7896014665327;1163700140042;90030630;504401303157414;;S;;1337.7;;;;;CMED_ICMS17;20260508;20;PF0=1110.29|PF12=1261.69|PF18=1354.01|PF19=1370.73|PF20=1387.86|PF21=1405.43|PF22=1423.45|PMVG17=1049.69|PMVG18=1062.49|PMVG20=1089.05
CMED;20260508;medicamento;504401304153412;;;BLAU FARMACEUTICA S.A.;B -PLATIN;10 MG / ML SOL INJ CT FA VD AMB X 15 ML;CARBOPLATINA;7896014665310;1163700140034;90030621;504401304153412;;S;;443.42;;;;;CMED_ICMS17;20260508;20;PF0=368.04|PF12=418.23|PF18=448.83|PF19=454.37|PF20=460.05|PF21=465.87|PF22=471.85|PMVG17=347.95|PMVG18=352.2|PMVG20=361
CMED;20260508;medicamento;504420030065907;;;BLAU FARMACEUTICA S.A.;B -PLATIN;150 MG PO LIOF SOL INJ CT FA VD AMB;CARBOPLATINA;7896014665129;1163700140050;90445783;504420030065907;;S;;355.6;;;;;CMED_ICMS17;20260508;20;PF0=295.15|PF12=335.4|PF18=359.94|PF19=364.38|PF20=368.94|PF21=373.61|PF22=378.4|PMVG17=279.04|PMVG18=282.45|PMVG20=289.51
CMED;20260508;medicamento;505519120020407;;;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;B-SUPRIN;(6,0 + 5,0 + 2,0 +0,015 + 15,0)MG COM REV CT FR VD AMB X 60;"NICOTINAMIDA;CLORIDRATO DE TIAMINA;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;CIANOCOBALAMINA";7893736001754;1071500370030;90459946;505519120020407;;N;;19.53;26.2;;;;CMED_ICMS17;20260508;20;PF0=16.21|PF12=18.42|PF18=19.77|PF19=20.01|PF20=20.26|PF21=20.52|PF22=20.78|PMC0=21.75|PMC12=24.71|PMC18=26.52|PMC19=26.84|PMC20=27.18|PMC21=27.53|PMC22=27.88|PMVG17=15.33|PMVG18=15.51|PMVG20=15.9
CMED;20260508;medicamento;506720040082417;;;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;B-TABLOCK;5 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML;CLORIDRATO DE LEVOBUNOLOL;7896676433210;1029804910018;90456831;506720040082417;;N;;32.83;45.25;;;;CMED_ICMS17;20260508;20;PF0=27.25|PF12=30.97|PF18=33.23|PF19=33.64|PF20=34.06|PF21=34.49|PF22=34.94|PMC0=37.56|PMC12=42.69|PMC18=45.8|PMC19=46.37|PMC20=46.95|PMC21=47.54|PMC22=48.16|PMVG17=25.76|PMVG18=26.08|PMVG20=26.73
CMED;20260508;medicamento;506720040082517;;;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;B-TABLOCK;5 MG/ML SOL OFT CT FR GOT PLAS OPC X 10 ML;CLORIDRATO DE LEVOBUNOLOL;7896676433203;1029804910026;90456840;506720040082517;;N;;53.83;74.2;;;;CMED_ICMS17;20260508;20;PF0=44.68|PF12=50.77|PF18=54.49|PF19=55.16|PF20=55.85|PF21=56.56|PF22=57.28|PMC0=61.59|PMC12=69.98|PMC18=75.11|PMC19=76.03|PMC20=76.98|PMC21=77.96|PMC22=78.95|PMVG17=42.24|PMVG18=42.76|PMVG20=43.83
CMED;20260508;medicamento;505520100021207;;;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;B-VIT;(3+3+3+10+25)MG COM REV CT FR VD AMB X 50;"VITAMINA B1;NICOTINAMIDA;VITAMINA B2;VITAMINA B6;PANTOTENATO DE CÁLCIO";7893736005233;1071500910019;90489888;505520100021207;;N;;25.18;33.78;;;;CMED_ICMS17;20260508;20;PF0=20.9|PF12=23.75|PF18=25.49|PF19=25.8|PF20=26.13|PF21=26.46|PF22=26.79|PMC0=28.04|PMC12=31.86|PMC18=34.19|PMC19=34.61|PMC20=35.05|PMC21=35.5|PMC22=35.94|PMVG17=19.76|PMVG18=20|PMVG20=20.51
CMED;20260508;medicamento;505520100021307;;;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;B-VIT;(3+3+3+10+25)MG/ML SOL OR CT FR VD AMB X 30 ML;"VITAMINA B1;NICOTINAMIDA;VITAMINA B2;VITAMINA B6;PANTOTENATO DE CÁLCIO";7893736010404;1071500910027;90489896;505520100021307;;N;;15.88;21.3;;;;CMED_ICMS17;20260508;20;PF0=13.18|PF12=14.98|PF18=16.07|PF19=16.27|PF20=16.48|PF21=16.68|PF22=16.9|PMC0=17.68|PMC12=20.1|PMC18=21.56|PMC19=21.83|PMC20=22.11|PMC21=22.38|PMC22=22.67|PMVG17=12.46|PMVG18=12.61|PMVG20=12.93
CMED;20260508;medicamento;520905402150312;;;LABORATORIOS B. BRAUN S/A;B.BRAUN SOLUÇÃO DE RINGER Nº3;8,6 MG/ML + 0,3 MG/ML + 0,33 MG/ML SOL INJ CX 20 FA PLAS TRANS SIST FECH X 500 ML;"CLORETO DE CÁLCIO DIIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO";7891543000168;1008500450030;90122763;520905402150312;;S;;192.7;;;;;CMED_ICMS17;20260508;20;PF0=159.94|PF12=181.75|PF18=195.05|PF19=197.46|PF20=199.93|PF21=202.46|PF22=205.05|PMVG17=151.21|PMVG18=153.06|PMVG20=156.89
