fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;504401501153415;;;BLAU FARMACEUTICA S.A.;C-PLATIN;0,5 MG/ML SOL INJ CT FA VD AMB X 20 ML;CISPLATINA;7896014681006;1163700390014;90030737;504401501153415;;S;;;;;;;CMED_ICMS17;20260508;20;PF0=70.01
CMED;20260508;medicamento;504401503156411;;;BLAU FARMACEUTICA S.A.;C-PLATIN;1 MG/ML SOL INJ CT FA VD AMB X 100 ML;CISPLATINA;7896014681150;1163700390030;90030710;504401503156411;;S;;;;;;;CMED_ICMS17;20260508;20;PF0=323.55
CMED;20260508;medicamento;504401504152411;;;BLAU FARMACEUTICA S.A.;C-PLATIN;1 MG/ML SOL INJ CT FA VD AMB X 50 ML;CISPLATINA;7896014681020;1163700390073;90030729;504401504152411;;S;;;;;;;CMED_ICMS17;20260508;20;PF0=161.8
CMED;20260508;medicamento;538018020025204;;;ACCORD FARMACÊUTICA LTDA;CAAB;60 MG SOL DIL INJ IV CT FR VD TRANS X 1,5 ML + DIL X 4,5 ML;CABAZITAXEL;7898565581798;1553700590011;90415124;538018020025204;;S;;27058.48;;;;;CMED_ICMS17;20260508;20;PF0=22458.54|PF12=25521.08|PF18=27388.46|PF19=27726.59|PF20=28073.18|PF21=28428.54|PF22=28792.99|PMVG17=21232.79|PMVG18=21491.72|PMVG20=22029.03
CMED;20260508;medicamento;538018110026403;;;ACCORD FARMACÊUTICA LTDA;CABAZITAXEL;60 MG SOL DIL INJ IV CT FR VD TRANS X 1,5 ML + DIL X 4,5 ML;CABAZITAXEL;7898565581286;1553700530019;90415248;538018110026403;S;S;;17588.02;;;;;CMED_ICMS17;20260508;20;PF0=14598.06|PF12=16588.71|PF18=17802.51|PF19=18022.3|PF20=18247.58|PF21=18478.56|PF22=18715.46|PMVG17=13801.32|PMVG18=13969.63|PMVG20=14318.88
CMED;20260508;medicamento;507517030006004;;;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;CABAZRED;60 MG SOL INJ CT FR AMP VD TRANS X1,5ML + DIL FR AMP VD TRANS X 4,5 ML;CABAZITAXEL;8901148236394;1514300200010;90377060;507517030006004;;S;;27057.61;;;;;CMED_ICMS17;20260508;20;PF0=22457.82|PF12=25520.26|PF18=27387.58|PF19=27725.71|PF20=28072.28|PF21=28427.63|PF22=28792.07|PMVG17=21232.11|PMVG18=21491.03|PMVG20=22028.32
CMED;20260508;medicamento;506714070053404;;;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;CABEREDUX;0,5 MG COM OR CT FR VD AMB X 2;CABERGOLINA;7896676421637;1029804100016;90302150;506714070053404;;N;;75.93;104.66;;;;CMED_ICMS17;20260508;20;PF0=63.02|PF12=71.61|PF18=76.85|PF19=77.8|PF20=78.78|PF21=79.77|PF22=80.79|PMC0=86.87|PMC12=98.71|PMC18=105.93|PMC19=107.24|PMC20=108.59|PMC21=109.95|PMC22=111.36
CMED;20260508;medicamento;506714070053504;;;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;CABEREDUX;0,5 MG COM OR CT FR VD AMB X 8;CABERGOLINA;7896676421620;1029804100024;90302168;506714070053504;;N;;262.55;361.9;;;;CMED_ICMS17;20260508;20;PF0=217.92|PF12=247.64|PF18=265.76|PF19=269.04|PF20=272.4|PF21=275.85|PF22=279.38|PMC0=300.38|PMC12=341.35|PMC18=366.32|PMC19=370.84|PMC20=375.48|PMC21=380.23|PMC22=385.1
CMED;20260508;medicamento;506716090064606;;;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;CABERGOLINA;0,5 MG COM OR CT FR VD AMB X 8;CABERGOLINA;7896676421446;1029804090029;90349032;506716090064606;S;N;;262.52;361.86;;;;CMED_ICMS17;20260508;20;PF0=217.89|PF12=247.6|PF18=265.72|PF19=269|PF20=272.36|PF21=275.81|PF22=279.35|PMC0=300.34|PMC12=341.29|PMC18=366.27|PMC19=370.79|PMC20=375.42|PMC21=380.18|PMC22=385.05
CMED;20260508;medicamento;508019110127907;;;EUROFARMA LABORATORIOS S.A.;CABERGOLINA;0,5 MG COM OR CT FR VD AMB X 2;CABERGOLINA;7891317005757;1004312740016;90440323;508019110127907;S;N;;74.92;103.27;;;;CMED_ICMS17;20260508;20;PF0=62.18|PF12=70.66|PF18=75.83|PF19=76.77|PF20=77.73|PF21=78.71|PF22=79.72|PMC0=85.71|PMC12=97.4|PMC18=104.52|PMC19=105.82|PMC20=107.14|PMC21=108.49|PMC22=109.89
