fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;533020070071007;;;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;D3CAPS;50000 UI CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 8;COLECALCIFEROL;7896006218432;1049714390206;90470060;533020070071007;;N;;385.06;516.54;;;;CMED_ICMS17;20260508;20;PF0=319.6|PF12=363.18|PF18=389.76|PF19=394.57|PF20=399.5|PF21=404.56|PF22=409.74|PMC0=428.73|PMC12=487.19|PMC18=522.85|PMC19=529.3|PMC20=535.92|PMC21=542.7|PMC22=549.65|PMVG17=302.16|PMVG18=305.85|PMVG20=313.49
CMED;20260508;medicamento;533022060079403;;;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;D3CAPS;7000 UI CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 4;COLECALCIFEROL;7896006212669;1049714800013;90539567;533022060079403;;N;;23.12;31.01;;;;CMED_ICMS17;20260508;20;PF0=19.19|PF12=21.81|PF18=23.4|PF19=23.69|PF20=23.99|PF21=24.29|PF22=24.6|PMC0=25.74|PMC12=29.26|PMC18=31.39|PMC19=31.78|PMC20=32.18|PMC21=32.58|PMC22=33|PMVG17=18.14|PMVG18=18.36|PMVG20=18.83
CMED;20260508;medicamento;533022060079503;;;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;D3CAPS;50000 UI CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 4;COLECALCIFEROL;7896006201113;1049714800021;90539575;533022060079503;;N;;192.52;258.26;;;;CMED_ICMS17;20260508;20;PF0=159.79|PF12=181.58|PF18=194.87|PF19=197.27|PF20=199.74|PF21=202.27|PF22=204.86|PMC0=214.35|PMC12=243.58|PMC18=261.41|PMC19=264.63|PMC20=267.94|PMC21=271.34|PMC22=274.81|PMVG17=151.07|PMVG18=152.92|PMVG20=156.74
CMED;20260508;medicamento;533022060079603;;;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;D3CAPS;50000 UI CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 8;COLECALCIFEROL;7896006213185;1049714800048;90539583;533022060079603;;N;;385.05;516.53;;;;CMED_ICMS17;20260508;20;PF0=319.59|PF12=363.17|PF18=389.74|PF19=394.56|PF20=399.49|PF21=404.54|PF22=409.73|PMC0=428.72|PMC12=487.18|PMC18=522.82|PMC19=529.29|PMC20=535.9|PMC21=542.68|PMC22=549.64|PMVG17=302.15|PMVG18=305.83|PMVG20=313.48
CMED;20260508;medicamento;533022060079703;;;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;D3CAPS;7000 UI CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 30;COLECALCIFEROL;7896006201144;1049714800072;90539591;533022060079703;;N;;173.45;232.68;;;;CMED_ICMS17;20260508;20;PF0=143.96|PF12=163.59|PF18=175.56|PF19=177.73|PF20=179.95|PF21=182.23|PF22=184.56|PMC0=193.12|PMC12=219.45|PMC18=235.51|PMC19=238.42|PMC20=241.4|PMC21=244.46|PMC22=247.58|PMVG17=136.11|PMVG18=137.76|PMVG20=141.21
CMED;20260508;medicamento;533023010083903;;;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;D3CAPS;10000 UI CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 4;COLECALCIFEROL;7896006200260;1049714800099;90552482;533023010083903;;N;;29.48;39.55;;;;CMED_ICMS17;20260508;20;PF0=24.47|PF12=27.81|PF18=29.84|PF19=30.21|PF20=30.59|PF21=30.97|PF22=31.37|PMC0=32.83|PMC12=37.31|PMC18=40.03|PMC19=40.53|PMC20=41.04|PMC21=41.55|PMC22=42.08|PMVG17=23.13|PMVG18=23.42|PMVG20=24
CMED;20260508;medicamento;533023010084003;;;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;D3CAPS;10000 UI CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 8;COLECALCIFEROL;7896006200635;1049714800102;90552490;533023010084003;;N;;58.96;79.09;;;;CMED_ICMS17;20260508;20;PF0=48.94|PF12=55.61|PF18=59.68|PF19=60.42|PF20=61.18|PF21=61.95|PF22=62.74|PMC0=65.65|PMC12=74.6|PMC18=80.06|PMC19=81.05|PMC20=82.07|PMC21=83.1|PMC22=84.16|PMVG17=46.27|PMVG18=46.83|PMVG20=48.01
CMED;20260508;medicamento;508005903154318;;;EUROFARMA LABORATORIOS S.A.;DACARB;200 MG PO LIOF INJ CT 10 FA VD AMB;DACARBAZINA;7891317462673;1004306360037;90068050;508005903154318;;S;;2103.6;;;;;CMED_ICMS17;20260508;20;PF0=1745.99|PF12=1984.08|PF18=2129.26|PF19=2155.54|PF20=2182.49|PF21=2210.11|PF22=2238.45|PMVG17=1650.69|PMVG18=1670.83|PMVG20=1712.6
CMED;20260508;medicamento;508022060162803;;;EUROFARMA LABORATORIOS S.A.;DACARB;200 MG PO LIOF INJ CT FA VD AMB;DACARBAZINA;7891317023614;1004306360029;90538188;508022060162803;;S;;210.37;;;;;CMED_ICMS17;20260508;20;PF0=174.61|PF12=198.42|PF18=212.94|PF19=215.57|PF20=218.26|PF21=221.03|PF22=223.86|PMVG17=165.08|PMVG18=167.09|PMVG20=171.27
CMED;20260508;medicamento;504420090066707;;;BLAU FARMACEUTICA S.A.;DACARBAZINA;200 MG PÓ LIOF SOL INJ IV CT FA VD AMB;DACARBAZINA;7896014669516;1163701620013;90482174;504420090066707;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=113.47
