fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;508006602115311;;;EUROFARMA LABORATORIOS S.A.;EBASTEL;10 MG COM REV CT BL AL PLAS PVC TRANS X 10;EBASTINA;7891317005351;1004307600015;90068440;508006602115311;;N;;60.17;80.72;;;;CMED_ICMS17;20260508;20;PF0=49.94|PF12=56.75|PF18=60.9|PF19=61.65|PF20=62.43|PF21=63.22|PF22=64.03|PMC0=66.99|PMC12=76.13|PMC18=81.7|PMC19=82.7|PMC20=83.75|PMC21=84.81|PMC22=85.89|PMVG17=47.22|PMVG18=47.79|PMVG20=48.99
CMED;20260508;medicamento;508006701131315;;;EUROFARMA LABORATORIOS S.A.;EBASTEL;1 MG/ML XPE CT FR VD AMB X 60 ML;EBASTINA;7891317000547;1004307600031;90068432;508006701131315;;N;;61.72;82.8;;;;CMED_ICMS17;20260508;20;PF0=51.23|PF12=58.22|PF18=62.48|PF19=63.25|PF20=64.04|PF21=64.85|PF22=65.68|PMC0=68.72|PMC12=78.1|PMC18=83.81|PMC19=84.85|PMC20=85.91|PMC21=86.99|PMC22=88.11|PMVG17=48.43|PMVG18=49.03|PMVG20=50.25
CMED;20260508;medicamento;508021070141007;;;EUROFARMA LABORATORIOS S.A.;EBASTEL;10 MG COM REV CT BL AL PLAS PVC TRANS X 30;EBASTINA;7891317010478;1004307600058;90512294;508021070141007;;N;;169.3;227.11;;;;CMED_ICMS17;20260508;20;PF0=140.52|PF12=159.68|PF18=171.37|PF19=173.48|PF20=175.65|PF21=177.87|PF22=180.15|PMC0=188.5|PMC12=214.21|PMC18=229.89|PMC19=232.72|PMC20=235.63|PMC21=238.61|PMC22=241.66|PMVG17=132.85|PMVG18=134.47|PMVG20=137.83
CMED;20260508;medicamento;523719120040307;;;LIBBS FARMACÊUTICA LTDA;EBATZ;2 MG COM REV CT BL AL AL X 10;PITAVASTATINA CÁLCICA;7896094209954;1003302060014;90443594;523719120040307;;N;;43.14;57.87;;;;CMED_ICMS17;20260508;20;PF0=35.81|PF12=40.69|PF18=43.67|PF19=44.21|PF20=44.76|PF21=45.33|PF22=45.91|PMC0=48.04|PMC12=54.58|PMC18=58.58|PMC19=59.31|PMC20=60.04|PMC21=60.81|PMC22=61.59|PMVG17=33.85|PMVG18=34.27|PMVG20=35.12
CMED;20260508;medicamento;523719120040407;;;LIBBS FARMACÊUTICA LTDA;EBATZ;2 MG COM REV CT BL AL AL X 30;PITAVASTATINA CÁLCICA;7896094209190;1003302060022;90443608;523719120040407;;N;;129.52;173.75;;;;CMED_ICMS17;20260508;20;PF0=107.5|PF12=122.16|PF18=131.1|PF19=132.72|PF20=134.38|PF21=136.08|PF22=137.82|PMC0=144.21|PMC12=163.87|PMC18=175.87|PMC19=178.04|PMC20=180.27|PMC21=182.55|PMC22=184.88|PMVG17=101.63|PMVG18=102.87|PMVG20=105.45
CMED;20260508;medicamento;523719120040507;;;LIBBS FARMACÊUTICA LTDA;EBATZ;2 MG COM REV CT BL AL AL X 60;PITAVASTATINA CÁLCICA;7896094209213;1003302060030;90443616;523719120040507;;N;;256.33;343.86;;;;CMED_ICMS17;20260508;20;PF0=212.75|PF12=241.76|PF18=259.45|PF19=262.65|PF20=265.94|PF21=269.3|PF22=272.76|PMC0=285.4|PMC12=324.31|PMC18=348.04|PMC19=352.34|PMC20=356.75|PMC21=361.26|PMC22=365.9|PMVG17=201.14|PMVG18=203.59|PMVG20=208.68
CMED;20260508;medicamento;523719120040607;;;LIBBS FARMACÊUTICA LTDA;EBATZ;2 MG COM REV CT BL AL AL X 90;PITAVASTATINA CÁLCICA;7896094209961;1003302060049;90443624;523719120040607;;N;;384.49;515.78;;;;CMED_ICMS17;20260508;20;PF0=319.13|PF12=362.65|PF18=389.18|PF19=393.99|PF20=398.91|PF21=403.96|PF22=409.14|PMC0=428.1|PMC12=486.48|PMC18=522.07|PMC19=528.52|PMC20=535.12|PMC21=541.9|PMC22=548.85|PMVG17=301.71|PMVG18=305.39|PMVG20=313.02
CMED;20260508;medicamento;523719120040707;;;LIBBS FARMACÊUTICA LTDA;EBATZ;4 MG COM REV CT BL AL AL X 10;PITAVASTATINA CÁLCICA;7896094209978;1003302060057;90443632;523719120040707;;N;;78.28;105.01;;;;CMED_ICMS17;20260508;20;PF0=64.97|PF12=73.83|PF18=79.23|PF19=80.21|PF20=81.21|PF21=82.24|PF22=83.29|PMC0=87.15|PMC12=99.04|PMC18=106.28|PMC19=107.6|PMC20=108.94|PMC21=110.32|PMC22=111.73|PMVG17=61.43|PMVG18=62.17|PMVG20=63.72
CMED;20260508;medicamento;523719120040807;;;LIBBS FARMACÊUTICA LTDA;EBATZ;4 MG COM REV CT BL AL AL X 30;PITAVASTATINA CÁLCICA;7896094209206;1003302060065;90443640;523719120040807;;N;;234.83;315.02;;;;CMED_ICMS17;20260508;20;PF0=194.91|PF12=221.49|PF18=237.7|PF19=240.63|PF20=243.64|PF21=246.72|PF22=249.88|PMC0=261.46|PMC12=297.12|PMC18=318.87|PMC19=322.8|PMC20=326.83|PMC21=330.97|PMC22=335.21|PMVG17=184.27|PMVG18=186.52|PMVG20=191.18
CMED;20260508;medicamento;523719120040907;;;LIBBS FARMACÊUTICA LTDA;EBATZ;4 MG COM REV CT BL AL AL X 60;PITAVASTATINA CÁLCICA;7896094209220;1003302060073;90443659;523719120040907;;N;;469.25;629.48;;;;CMED_ICMS17;20260508;20;PF0=389.48|PF12=442.59|PF18=474.98|PF19=480.84|PF20=486.85|PF21=493.01|PF22=499.33|PMC0=522.47|PMC12=593.72|PMC18=637.17|PMC19=645.03|PMC20=653.09|PMC21=661.36|PMC22=669.83|PMVG17=368.22|PMVG18=372.72|PMVG20=382.03
