fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;526525040105702;;;NOVARTIS BIOCIENCIAS S.A;FABHALTA;200 MG CAP DURA CT BL AL PLAS PVC/PE/PVDC TRANS X 56;CLORIDRATO DE IPTACOPANA MONOIDRATADO;7896261023178;1006811870019;90605241;526525040105702;;N;;162098.73;217449.67;;;;CMED_ICMS17;20260508;20;PF0=134541.98|PF12=152888.66|PF18=164075.56|PF19=166101.22|PF20=168177.48|PF21=170306.33|PF22=172489.68|PMC0=180483.28|PMC12=205094.69|PMC18=220101.52|PMC19=222818.87|PMC20=225604.1|PMC21=228459.88|PMC22=231388.76|PMVG17=127198.87|PMVG18=128750.09|PMVG20=131968.87
CMED;20260508;medicamento;576720020056117;;;SANOFI MEDLEY FARMACÊUTICA LTDA.;FABRAZYME;35 MG PÓ LIOF SOL INJ CT FA VD TRANS X 20 ML;BETA-AGALSIDASE;7898328480115;1832603310014;90458559;576720020056117;;N;;17662.91;24346.48;;;;CMED_ICMS17;20260508;20;PF0=14660.22|PF12=16659.35|PF18=17878.31|PF19=18099.04|PF20=18325.28|PF21=18557.24|PF22=18795.15|PMC0=20207.59|PMC12=22963.18|PMC18=24643.39|PMC19=24947.64|PMC20=25259.49|PMC21=25579.22|PMC22=25907.16|PMVG17=13860.09|PMVG18=14029.11|PMVG20=14379.85
CMED;20260508;medicamento;538821020100804;;;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;FACOBA®;(5,0 + 1,0) MG/ML SOL OFT CT FR GOT PLAS PEBD OPC X 5 ML;"FOSFATO DISSÓDICO DE DEXAMETASONA;CLORIDRATO DE MOXIFLOXACINO";7896004777221;1677306600015;90506758;538821020100804;;N;;39.51;54.46;;;;CMED_ICMS17;20260508;20;PF0=32.79|PF12=37.26|PF18=39.99|PF19=40.48|PF20=40.99|PF21=41.51|PF22=42.04|PMC0=45.2|PMC12=51.36|PMC18=55.12|PMC19=55.8|PMC20=56.5|PMC21=57.22|PMC22=57.95|PMVG17=31|PMVG18=31.38|PMVG20=32.17
CMED;20260508;medicamento;508028101135418;;;EUROFARMA LABORATORIOS S.A.;FÁGICO;4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML;BROMOPRIDA;7891317466824;1004310240016;90068556;508028101135418;;N;;23.12;31.01;;;;CMED_ICMS17;20260508;20;PF0=19.19|PF12=21.81|PF18=23.4|PF19=23.69|PF20=23.99|PF21=24.29|PF22=24.6|PMC0=25.74|PMC12=29.26|PMC18=31.39|PMC19=31.78|PMC20=32.18|PMC21=32.58|PMC22=33|PMVG17=18.14|PMVG18=18.36|PMVG20=18.83
CMED;20260508;medicamento;500503401112416;;;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;FAMOX;20 MG COM CT BL AL PLAS INC X 10;FAMOTIDINA;7896658000379;1057301440033;90003969;500503401112416;;N;;25.59;35.27;;;;CMED_ICMS17;20260508;20;PF0=21.24|PF12=24.14|PF18=25.9|PF19=26.22|PF20=26.55|PF21=26.89|PF22=27.23|PMC0=29.28|PMC12=33.27|PMC18=35.7|PMC19=36.14|PMC20=36.6|PMC21=37.07|PMC22=37.53|PMVG17=20.08|PMVG18=20.32|PMVG20=20.83
CMED;20260508;medicamento;500503402119414;;;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;FAMOX;40 MG COM CT BL AL PLAS INC X 10;FAMOTIDINA;7896658000393;1057301440041;90003977;500503402119414;;N;;48.66;67.07;;;;CMED_ICMS17;20260508;20;PF0=40.39|PF12=45.9|PF18=49.26|PF19=49.86|PF20=50.49|PF21=51.13|PF22=51.78|PMC0=55.67|PMC12=63.27|PMC18=67.9|PMC19=68.73|PMC20=69.6|PMC21=70.48|PMC22=71.37|PMVG17=38.18|PMVG18=38.66|PMVG20=39.62
CMED;20260508;medicamento;552920080131507;;;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;FAMOX;40 MG COM CT 2 BL AL PLAS INC X 15;FAMOTIDINA;7896658000409;1057301440025;90483308;552920080131507;;N;;145.98;201.22;;;;CMED_ICMS17;20260508;20;PF0=121.16|PF12=137.68|PF18=147.76|PF19=149.58|PF20=151.45|PF21=153.37|PF22=155.33|PMC0=167.01|PMC12=189.78|PMC18=203.67|PMC19=206.18|PMC20=208.76|PMC21=211.4|PMC22=214.11|PMVG17=114.55|PMVG18=115.95|PMVG20=118.84
CMED;20260508;medicamento;552920080131607;;;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;FAMOX;20 MG COM CT 2 BL AL PLAS INC X 15;FAMOTIDINA;7896658000386;1057301440017;90483316;552920080131607;;N;;76.78;105.83;;;;CMED_ICMS17;20260508;20;PF0=63.73|PF12=72.42|PF18=77.72|PF19=78.68|PF20=79.66|PF21=80.67|PF22=81.71|PMC0=87.85|PMC12=99.82|PMC18=107.13|PMC19=108.45|PMC20=109.8|PMC21=111.2|PMC22=112.63|PMVG17=60.25|PMVG18=60.99|PMVG20=62.51
CMED;20260508;medicamento;552923110162805;;;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;FAMOX;8 MG/ML PO SUS OR CT FR PLAS PEAD OPC X 53 ML + SER DOS + COP;FAMOTIDINA;7896658048258;1057300520017;90573609;552923110162805;;N;;203.22;280.12;;;;CMED_ICMS17;20260508;20;PF0=168.67|PF12=191.67|PF18=205.7|PF19=208.23|PF20=210.84|PF21=213.51|PF22=216.24|PMC0=232.49|PMC12=264.2|PMC18=283.54|PMC19=287.02|PMC20=290.62|PMC21=294.3|PMC22=298.06|PMVG17=159.47|PMVG18=161.41|PMVG20=165.45
CMED;20260508;medicamento;538024050049306;;;ACCORD FARMACÊUTICA LTDA;FAMPRIDINA;10 MG COM REV LIB PROL CT BL AL AL X 28;FAMPRIDINA;7898577813498;1553701180011;90582292;538024050049306;S;N;;536.46;719.64;;;;CMED_ICMS17;20260508;20;PF0=445.26|PF12=505.98|PF18=543|PF19=549.7|PF20=556.58|PF21=563.62|PF22=570.85|PMC0=597.3|PMC12=678.75|PMC18=728.42|PMC19=737.4|PMC20=746.63|PMC21=756.08|PMC22=765.77|PMVG17=420.96|PMVG18=426.09|PMVG20=436.75
