fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;508024020179303;;;EUROFARMA LABORATORIOS S.A.;GABA ER;250 MG COM REV LIB PROL CT BL AL PLAS PVC/PCTFE TRANS X 6;DIVALPROATO DE SÓDIO;7891317020484;1004314530019;90578040;508024020179303;;N;;7.67;10.57;;;;CMED_ICMS17;20260508;20;PF0=6.37|PF12=7.24|PF18=7.77|PF19=7.86|PF20=7.96|PF21=8.06|PF22=8.17|PMC0=8.78|PMC12=9.98|PMC18=10.71|PMC19=10.83|PMC20=10.97|PMC21=11.11|PMC22=11.26|PMVG17=6.02|PMVG18=6.1|PMVG20=6.25
CMED;20260508;medicamento;508024020179403;;;EUROFARMA LABORATORIOS S.A.;GABA ER;250 MG COM REV LIB PROL CT BL AL PLAS PVC/PCTFE TRANS X 30;DIVALPROATO DE SÓDIO;7891317020507;1004314530043;90578058;508024020179403;;N;;38.39;52.92;;;;CMED_ICMS17;20260508;20;PF0=31.86|PF12=36.2|PF18=38.85|PF19=39.33|PF20=39.83|PF21=40.33|PF22=40.85|PMC0=43.92|PMC12=49.9|PMC18=53.55|PMC19=54.21|PMC20=54.9|PMC21=55.59|PMC22=56.31|PMVG17=30.12|PMVG18=30.48|PMVG20=31.26
CMED;20260508;medicamento;508024020179503;;;EUROFARMA LABORATORIOS S.A.;GABA ER;500 MG COM REV LIB PROL CT BL AL PLAS PVC/PCTFE TRANS X 30;DIVALPROATO DE SÓDIO;7891317020538;1004314530108;90578074;508024020179503;;N;;73.28;101.01;;;;CMED_ICMS17;20260508;20;PF0=60.82|PF12=69.11|PF18=74.17|PF19=75.09|PF20=76.03|PF21=76.99|PF22=77.97|PMC0=83.83|PMC12=95.26|PMC18=102.24|PMC19=103.5|PMC20=104.8|PMC21=106.12|PMC22=107.47|PMVG17=57.5|PMVG18=58.2|PMVG20=59.66
CMED;20260508;medicamento;508024020179603;;;EUROFARMA LABORATORIOS S.A.;GABA ER;500 MG COM REV LIB PROL CT BL AL PLAS PVC/PCTFE TRANS X 6;DIVALPROATO DE SÓDIO;7891317020514;1004314530078;90578066;508024020179603;;N;;14.65;20.19;;;;CMED_ICMS17;20260508;20;PF0=12.16|PF12=13.82|PF18=14.83|PF19=15.01|PF20=15.2|PF21=15.39|PF22=15.59|PMC0=16.76|PMC12=19.05|PMC18=20.44|PMC19=20.69|PMC20=20.95|PMC21=21.21|PMC22=21.49|PMVG17=11.5|PMVG18=11.64|PMVG20=11.93
CMED;20260508;medicamento;536214100006003;;;ZYDUS NIKKHO FARMACÊUTICA LTDA;GABALLON;50 MG + 50 MG + 2 MG + 4 MG + 4 MG COM CT BL AL PLAS PVC/ACLAR OPC X 20;"CLORIDRATO DE TIAMINA;PANTOTENATO DE CÁLCIO;ÁCIDO GAMAMINOBUTÍRICO;CLORIDRATO DE PIRIDOXINA;CLORIDRATO DE LISINA";7897460401347;1565100400037;90324960;536214100006003;;N;;36.16;48.51;;;;CMED_ICMS17;20260508;20;PF0=30.01|PF12=34.1|PF18=36.6|PF19=37.05|PF20=37.51|PF21=37.99|PF22=38.47|PMC0=40.26|PMC12=45.74|PMC18=49.1|PMC19=49.7|PMC20=50.32|PMC21=50.96|PMC22=51.61|PMVG17=28.37|PMVG18=28.72|PMVG20=29.43
CMED;20260508;medicamento;536221120013903;;;ZYDUS NIKKHO FARMACÊUTICA LTDA;GABALLON;50 MG + 50 MG + 2 MG + 4 MG + 4 MG COM CT BL AL PLAS PVC/ACLAR OPC X 60;"CLORIDRATO DE TIAMINA;PANTOTENATO DE CÁLCIO;ÁCIDO GAMAMINOBUTÍRICO;CLORIDRATO DE PIRIDOXINA;CLORIDRATO DE LISINA";7897460401804;1565100400045;90526678;536221120013903;;N;;108.49;145.54;;;;CMED_ICMS17;20260508;20;PF0=90.05|PF12=102.33|PF18=109.82|PF19=111.17|PF20=112.56|PF21=113.99|PF22=115.45|PMC0=120.8|PMC12=137.27|PMC18=147.32|PMC19=149.13|PMC20=151|PMC21=152.91|PMC22=154.87|PMVG17=85.13|PMVG18=86.18|PMVG20=88.33
CMED;20260508;medicamento;531622100096603;;;EMS SIGMA PHARMA LTDA;GABANEURIN;600MG COM REV CT BL AL PLAS PVC/PVDC OPC X 30;GABAPENTINA;7894916517782;1356907430058;90548841;531622100096603;;N;;210.55;290.22;;;;CMED_ICMS17;20260508;20;PF0=174.76|PF12=198.59|PF18=213.12|PF19=215.75|PF20=218.45|PF21=221.22|PF22=224.05|PMC0=240.89|PMC12=273.74|PMC18=293.76|PMC19=297.39|PMC20=301.11|PMC21=304.93|PMC22=308.83|PMVG17=165.22|PMVG18=167.23|PMVG20=171.42
CMED;20260508;medicamento;531622100096703;;;EMS SIGMA PHARMA LTDA;GABANEURIN;600MG COM REV CT BL AL PLAS PVC/PVDC OPC X 54;GABAPENTINA;7894916517799;1356907430066;90548850;531622100096703;;N;;378.98;522.38;;;;CMED_ICMS17;20260508;20;PF0=314.55|PF12=357.44|PF18=383.6|PF19=388.33|PF20=393.19|PF21=398.16|PF22=403.27|PMC0=433.57|PMC12=492.69|PMC18=528.75|PMC19=535.27|PMC20=541.97|PMC21=548.82|PMC22=555.87|PMVG17=297.39|PMVG18=301.01|PMVG20=308.54
CMED;20260508;medicamento;531622100096803;;;EMS SIGMA PHARMA LTDA;GABANEURIN;600MG COM REV CT BL AL PLAS PVC/PVDC OPC X 6;GABAPENTINA;7894916517751;1356907430015;90548809;531622100096803;;N;;42.11;58.04;;;;CMED_ICMS17;20260508;20;PF0=34.95|PF12=39.72|PF18=42.62|PF19=43.15|PF20=43.69|PF21=44.24|PF22=44.81|PMC0=48.17|PMC12=54.75|PMC18=58.75|PMC19=59.48|PMC20=60.22|PMC21=60.98|PMC22=61.77|PMVG17=33.04|PMVG18=33.44|PMVG20=34.28
CMED;20260508;medicamento;531622100096903;;;EMS SIGMA PHARMA LTDA;GABANEURIN;600MG COM REV CT BL AL PLAS PVC/PVDC OPC X 9;GABAPENTINA;7894916517768;1356907430023;90548817;531622100096903;;N;;63.17;87.07;;;;CMED_ICMS17;20260508;20;PF0=52.43|PF12=59.58|PF18=63.94|PF19=64.73|PF20=65.54|PF21=66.37|PF22=67.22|PMC0=72.27|PMC12=82.12|PMC18=88.13|PMC19=89.22|PMC20=90.34|PMC21=91.48|PMC22=92.66|PMVG17=49.57|PMVG18=50.17|PMVG20=51.43
