fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;506320120036517;;;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;H.BACTER;(30 MG CAP DURA + 500 MG COM REV +500 MG CAP DURA) CT 7 BL AL PLAS PVC/PVDC TRANS X 2+2+4 + 30 MG CAP DURA BL AL PLAS PVC/PVDC TRANS X 28;"LANSOPRAZOL;AMOXICILINA TRI-HIDRATADA;CLARITROMICINA";7908020502739;1156002250052;90498992;506320120036517;;N;;225.41;310.7;;;;CMED_ICMS17;20260508;20;PF0=187.09|PF12=212.6|PF18=228.16|PF19=230.98|PF20=233.86|PF21=236.82|PF22=239.86|PMC0=257.88|PMC12=293.05|PMC18=314.49|PMC19=318.38|PMC20=322.35|PMC21=326.43|PMC22=330.62|PMVG17=176.88|PMVG18=179.04|PMVG20=183.51
CMED;20260508;medicamento;506323040041303;;;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;H.BACTER;(30 MG CAP DURA + 500 MG COM REV +500 MG CAP DURA) CT 14 BL AL PLAS PVC/PVDC TRANS X 2+2+4;"LANSOPRAZOL;AMOXICILINA TRI-HIDRATADA;CLARITROMICINA";7908020503163;1156002250036;90563255;506323040041303;;N;;325.42;448.56;;;;CMED_ICMS17;20260508;20;PF0=270.1|PF12=306.93|PF18=329.39|PF19=333.46|PF20=337.63|PF21=341.9|PF22=346.28|PMC0=372.3|PMC12=423.07|PMC18=454.03|PMC19=459.64|PMC20=465.39|PMC21=471.27|PMC22=477.31|PMVG17=255.36|PMVG18=258.47|PMVG20=264.94
CMED;20260508;medicamento;506324020041603;;;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;H.BACTER;(30 MG CAP DURA + 500 MG COM REV +500 MG CAP DURA) CT 14 BL AL PLAS PVC/PVDC TRANS X 2+2+4 + 30 MG CAP DURA BL AL PLAS PVC/PVDC TRANS X 28;"LANSOPRAZOL;AMOXICILINA TRI-HIDRATADA;CLARITROMICINA";7908020507345;1156002250060;90578708;506324020041603;;N;;353.29;486.97;;;;CMED_ICMS17;20260508;20;PF0=293.23|PF12=333.22|PF18=357.6|PF19=362.01|PF20=366.54|PF21=371.18|PF22=375.94|PMC0=404.19|PMC12=459.31|PMC18=492.91|PMC19=498.99|PMC20=505.24|PMC21=511.63|PMC22=518.19|PMVG17=277.23|PMVG18=280.61|PMVG20=287.62
CMED;20260508;medicamento;569723010000507;;;SAMSUNG BIOEPIS BR PHARMACEUTICAL LTDA.;HADLIMA;40 MG SOL INJ CT 1 SER PREENCH VD TRANS X 0,8 ML;ADALIMUMABE;7898994611509;1592100040011;90559126;569723010000507;;N;;1591.04;2193.08;;;;CMED_ICMS17;20260508;20;PF0=1320.56|PF12=1500.64|PF18=1610.44|PF19=1630.32|PF20=1650.7|PF21=1671.6|PF22=1693.03|PMC0=1820.25|PMC12=2068.48|PMC18=2219.82|PMC19=2247.23|PMC20=2275.32|PMC21=2304.13|PMC22=2333.67
CMED;20260508;medicamento;569723010000607;;;SAMSUNG BIOEPIS BR PHARMACEUTICAL LTDA.;HADLIMA;40 MG SOL INJ CT 2 SER PREENCH VD TRANS X 0,8 ML;ADALIMUMABE;7898994611554;1592100040038;90559142;569723010000607;;N;;3182.04;4386.11;;;;CMED_ICMS17;20260508;20;PF0=2641.09|PF12=3001.24|PF18=3220.84|PF19=3260.61|PF20=3301.36|PF21=3343.15|PF22=3386.01|PMC0=3640.47|PMC12=4136.9|PMC18=4439.59|PMC19=4494.41|PMC20=4550.58|PMC21=4608.18|PMC22=4667.26
CMED;20260508;medicamento;569723010000707;;;SAMSUNG BIOEPIS BR PHARMACEUTICAL LTDA.;HADLIMA;40 MG SOL INJ CT 2 SER PREENCH VD TRANS X 0,8 ML + CAN APLIC;ADALIMUMABE;7898994611561;1592100040046;90559150;569723010000707;;N;;3182.04;4386.11;;;;CMED_ICMS17;20260508;20;PF0=2641.09|PF12=3001.24|PF18=3220.84|PF19=3260.61|PF20=3301.36|PF21=3343.15|PF22=3386.01|PMC0=3640.47|PMC12=4136.9|PMC18=4439.59|PMC19=4494.41|PMC20=4550.58|PMC21=4608.18|PMC22=4667.26
CMED;20260508;medicamento;569723010000807;;;SAMSUNG BIOEPIS BR PHARMACEUTICAL LTDA.;HADLIMA;40 MG SOL INJ CT 1 SER PREENCH VD TRANS X 0,8 ML + CAN APLIC;ADALIMUMABE;7898994958208;1592100040021;90559134;569723010000807;;N;;1591.04;2193.08;;;;CMED_ICMS17;20260508;20;PF0=1320.56|PF12=1500.64|PF18=1610.44|PF19=1630.32|PF20=1650.7|PF21=1671.6|PF22=1693.03|PMC0=1820.25|PMC12=2068.48|PMC18=2219.82|PMC19=2247.23|PMC20=2275.32|PMC21=2304.13|PMC22=2333.67
CMED;20260508;medicamento;502612020005903;;;CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;HAEMATE P;500 UI + 1200 UI PO LIOF SOL INJ CT FA VD TRANS + FA VD TRANS DIL X 10 ML + DISP TRANSF C/ FLTR;FATOR DE VON WILLEBRAND;7897499451061;1015101060088;90217349;502612020005903;;N;;2095.7;2811.31;;;;CMED_ICMS17;20260508;20;PF0=1739.43|PF12=1976.63|PF18=2121.26|PF19=2147.44|PF20=2174.29|PF21=2201.81|PF22=2230.04|PMC0=2333.38|PMC12=2651.58|PMC18=2845.59|PMC19=2880.71|PMC20=2916.73|PMC21=2953.65|PMC22=2991.52|PMVG17=1644.5|PMVG18=1664.55|PMVG20=1706.17
CMED;20260508;medicamento;502621070010907;;;CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;HAEMATE P;500 UI + 1200 UI PO LIOF SOL INJ CT FA VD TRANS + FA VD TRANS DIL X 10 ML + DISP TRANSF C/ FILTRO + SER 10 ML + 1 KPV + 2 COMPRESSAS;"FATOR VIII DE COAGULAÇÃO;FATOR VON WILLEBRAND";7897499452365;1015101060118;90512936;502621070010907;;S;;2095.7;;;;;CMED_ICMS17;20260508;20;PF0=1739.43|PF12=1976.63|PF18=2121.26|PF19=2147.44|PF20=2174.29|PF21=2201.81|PF22=2230.04|PMVG17=1644.5|PMVG18=1664.55|PMVG20=1706.17
CMED;20260508;medicamento;502621070011007;;;CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;HAEMATE P;1000 UI + 2400 UI PO LIOF SOL INJ CT FA VD TRANS + FA VD TRANS DIL X 15 ML + DISP TRANSF C/ FILTRO + SER 20 ML + 1 KPV + 2 COMPRESSAS;"FATOR VIII DE COAGULAÇÃO;FATOR VON WILLEBRAND";7897499452372;1015101060126;90512944;502621070011007;;S;;4191.34;;;;;CMED_ICMS17;20260508;20;PF0=3478.81|PF12=3953.19|PF18=4242.45|PF19=4294.83|PF20=4348.51|PF21=4403.56|PF22=4460.01|PMVG17=3288.94|PMVG18=3329.05|PMVG20=3412.28
