fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;508020050131007;;;EUROFARMA LABORATORIOS S.A.;IBAN;150 MG COM REV CT BL AL AL X 1;IBANDRONATO DE SÓDIO;7891317007614;1004312870017;90473175;508020050131007;;N;;67.69;93.3;;;;CMED_ICMS17;20260508;20;PF0=56.18|PF12=63.84|PF18=68.51|PF19=69.36|PF20=70.23|PF21=71.11|PF22=72.03|PMC0=77.44|PMC12=88|PMC18=94.43|PMC19=95.61|PMC20=96.8|PMC21=98.02|PMC22=99.29|PMVG17=53.12|PMVG18=53.76|PMVG20=55.11
CMED;20260508;medicamento;538820050075707;;;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;IBAND;150 MG COM REV CT BL AL AL X 1;IBANDRONATO DE SÓDIO MONOIDRATADO;7896004752617;1677306370011;90473272;538820050075707;;N;;240.76;331.86;;;;CMED_ICMS17;20260508;20;PF0=199.83|PF12=227.08|PF18=243.7|PF19=246.7|PF20=249.79|PF21=252.95|PF22=256.19|PMC0=275.44|PMC12=313.01|PMC18=335.92|PMC19=340.05|PMC20=344.31|PMC21=348.67|PMC22=353.13|PMVG17=188.92|PMVG18=191.23|PMVG20=196.01
CMED;20260508;medicamento;538820050075807;;;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;IBAND;150 MG COM REV CT BL AL AL X 2;IBANDRONATO DE SÓDIO MONOIDRATADO;7896004770598;1677306370028;90473280;538820050075807;;N;;481.65;663.9;;;;CMED_ICMS17;20260508;20;PF0=399.77|PF12=454.28|PF18=487.52|PF19=493.54|PF20=499.71|PF21=506.04|PF22=512.53|PMC0=551.04|PMC12=626.18|PMC18=672|PMC19=680.29|PMC20=688.8|PMC21=697.52|PMC22=706.47|PMVG17=377.95|PMVG18=382.56|PMVG20=392.12
CMED;20260508;medicamento;538820050075907;;;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;IBAND;150 MG COM REV CT BL AL AL X 3;IBANDRONATO DE SÓDIO MONOIDRATADO;7896004770604;1677306370036;90473299;538820050075907;;N;;722.46;995.84;;;;CMED_ICMS17;20260508;20;PF0=599.64|PF12=681.41|PF18=731.27|PF19=740.3|PF20=749.55|PF21=759.04|PF22=768.77|PMC0=826.54|PMC12=939.25|PMC18=1007.98|PMC19=1020.43|PMC20=1033.18|PMC21=1046.26|PMC22=1059.67|PMVG17=566.91|PMVG18=573.83|PMVG20=588.17
CMED;20260508;medicamento;538820050076007;;;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;IBAND;150 MG COM REV CT BL AL AL X 12;IBANDRONATO DE SÓDIO MONOIDRATADO;7896004770581;1677306370044;90473302;538820050076007;;N;;2889.05;3982.25;;;;CMED_ICMS17;20260508;20;PF0=2397.91|PF12=2724.9|PF18=2924.28|PF19=2960.38|PF20=2997.39|PF21=3035.33|PF22=3074.24|PMC0=3305.27|PMC12=3755.99|PMC18=4030.82|PMC19=4080.58|PMC20=4131.59|PMC21=4183.89|PMC22=4237.52|PMVG17=2267.04|PMVG18=2294.68|PMVG20=2352.05
CMED;20260508;medicamento;504122050076506;;;BIOLAB SANUS FARMACEUTICA LTDA;IBANDRONATO DE SÓDIO;150 MG COM CT BL AL AL X 3;IBANDRONATO DE SÓDIO;7896112406099;1097403210036;90535880;504122050076506;S;N;;422.84;582.84;;;;CMED_ICMS17;20260508;20;PF0=350.96|PF12=398.82|PF18=428|PF19=433.28|PF20=438.7|PF21=444.25|PF22=449.95|PMC0=483.76|PMC12=549.73|PMC18=589.95|PMC19=597.23|PMC20=604.7|PMC21=612.35|PMC22=620.21|PMVG17=331.8|PMVG18=335.85|PMVG20=344.25
CMED;20260508;medicamento;504122050077517;;;BIOLAB SANUS FARMACEUTICA LTDA;IBANDRONATO DE SÓDIO;150 MG COM CT BL AL AL X 1;IBANDRONATO DE SÓDIO;7898146826614;1097403210011;90535898;504122050077517;S;N;;156.3;215.44;;;;CMED_ICMS17;20260508;20;PF0=129.73|PF12=147.42|PF18=158.21|PF19=160.16|PF20=162.16|PF21=164.22|PF22=166.32|PMC0=178.82|PMC12=203.2|PMC18=218.08|PMC19=220.76|PMC20=223.52|PMC21=226.36|PMC22=229.25|PMVG17=122.65|PMVG18=124.15|PMVG20=127.25
CMED;20260508;medicamento;508020070132907;;;EUROFARMA LABORATORIOS S.A.;IBANDRONATO DE SÓDIO;150 MG COM REV CT BL AL AL X 1;IBANDRONATO DE SÓDIO MONOIDRATADO;7891317007607;1004312860011;90485360;508020070132907;S;N;;72.06;99.33;;;;CMED_ICMS17;20260508;20;PF0=59.81|PF12=67.97|PF18=72.94|PF19=73.84|PF20=74.76|PF21=75.71|PF22=76.68|PMC0=82.44|PMC12=93.69|PMC18=100.54|PMC19=101.78|PMC20=103.05|PMC21=104.36|PMC22=105.7|PMVG17=56.55|PMVG18=57.24|PMVG20=58.66
CMED;20260508;medicamento;543820050050807;;;ALTHAIA S.A. INDUSTRIA FARMACEUTICA;IBANDRONATO DE SÓDIO;150 MG COM REV CT BL AL AL X 1;IBANDRONATO DE SÓDIO;7898569763633;1351700510019;90473124;543820050050807;S;N;;173.87;239.66;;;;CMED_ICMS17;20260508;20;PF0=144.31|PF12=163.99|PF18=175.99|PF19=178.16|PF20=180.39|PF21=182.67|PF22=185.01|PMC0=198.92|PMC12=226.04|PMC18=242.58|PMC19=245.58|PMC20=248.65|PMC21=251.79|PMC22=255.02|PMVG17=136.44|PMVG18=138.1|PMVG20=141.55
CMED;20260508;medicamento;552919120097017;;;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;IBANDRONATO DE SODIO;150 MG COM REV CT BL AL/AL X 1;IBANDRONATO DE SÓDIO MONOIDRATADO;7896181922933;1057306410019;90448529;552919120097017;S;N;;173.9;239.7;;;;CMED_ICMS17;20260508;20;PF0=144.34|PF12=164.02|PF18=176.02|PF19=178.2|PF20=180.43|PF21=182.71|PF22=185.05|PMC0=198.96|PMC12=226.08|PMC18=242.63|PMC19=245.63|PMC20=248.7|PMC21=251.85|PMC22=255.07|PMVG17=136.46|PMVG18=138.12|PMVG20=141.58
