fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;526516020085601;;;NOVARTIS BIOCIENCIAS S.A;JAKAVI;5 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60;FOSFATO DE RUXOLITINIBE;7896261018624;1006811210019;90341970;526516020085601;;N;;19173.24;25720.22;;;;CMED_ICMS17;20260508;20;PF0=15913.79|PF12=18083.86|PF18=19407.06|PF19=19646.66|PF20=19892.24|PF21=20144.04|PF22=20402.29|PMC0=21347.78|PMC12=24258.85|PMC18=26033.88|PMC19=26355.29|PMC20=26684.73|PMC21=27022.51|PMC22=27368.95|PMVG17=15045.24|PMVG18=15228.72|PMVG20=15609.44
CMED;20260508;medicamento;526516020085701;;;NOVARTIS BIOCIENCIAS S.A;JAKAVI;20 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60;FOSFATO DE RUXOLITINIBE;7896261018648;1006811210035;90341988;526516020085701;;N;;34563.91;46366.25;;;;CMED_ICMS17;20260508;20;PF0=28688.05|PF12=32600.07|PF18=34985.42|PF19=35417.35|PF20=35860.06|PF21=36313.99|PF22=36779.54|PMC0=38484|PMC12=43731.83|PMC18=46931.7|PMC19=47511.11|PMC20=48104.99|PMC21=48713.92|PMC22=49338.44|PMVG17=27122.3|PMVG18=27453.06|PMVG20=28139.39
CMED;20260508;medicamento;526516020085801;;;NOVARTIS BIOCIENCIAS S.A;JAKAVI;15 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60;FOSFATO DE RUXOLITINIBE;7896261018631;1006811210027;90341996;526516020085801;;N;;34563.91;46366.25;;;;CMED_ICMS17;20260508;20;PF0=28688.05|PF12=32600.07|PF18=34985.42|PF19=35417.35|PF20=35860.06|PF21=36313.99|PF22=36779.54|PMC0=38484|PMC12=43731.83|PMC18=46931.7|PMC19=47511.11|PMC20=48104.99|PMC21=48713.92|PMC22=49338.44|PMVG17=27122.3|PMVG18=27453.06|PMVG20=28139.39
CMED;20260508;medicamento;526520070095707;;;NOVARTIS BIOCIENCIAS S.A;JAKAVI;10 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 60;FOSFATO DE RUXOLITINIBE;7896261020399;1006811210043;90471296;526520070095707;;N;;27102.13;36356.54;;;;CMED_ICMS17;20260508;20;PF0=22494.77|PF12=25562.25|PF18=27432.64|PF19=27771.32|PF20=28118.46|PF21=28474.4|PF22=28839.44|PMC0=30175.93|PMC12=34290.85|PMC18=36799.91|PMC19=37254.24|PMC20=37719.91|PMC21=38197.39|PMC22=38687.08|PMVG17=21267.04|PMVG18=21526.39|PMVG20=22064.56
CMED;20260508;medicamento;527322060021317;;;MERCK SHARP & DOHME FARMACEUTICA LTDA.;JANUMET;(50 + 500) MG COM REV CT BL AL AL X 56;"FOSFATO DE SITAGLIPTINA MONOIDRATADO;CLORIDRATO DE METFORMINA";7897572020184;1017102320012;90539028;527322060021317;;N;;248.57;342.63;;;;CMED_ICMS17;20260508;20;PF0=206.31|PF12=234.44|PF18=251.6|PF19=254.7|PF20=257.89|PF21=261.15|PF22=264.5|PMC0=284.38|PMC12=323.15|PMC18=346.8|PMC19=351.08|PMC20=355.47|PMC21=359.97|PMC22=364.59|PMVG17=195.05|PMVG18=197.43|PMVG20=202.37
CMED;20260508;medicamento;527322060021417;;;MERCK SHARP & DOHME FARMACEUTICA LTDA.;JANUMET;(50 + 850) MG COM REV CT BL AL AL X 28;"FOSFATO DE SITAGLIPTINA MONOIDRATADO;CLORIDRATO DE METFORMINA";7897572020214;1017102320020;90539036;527322060021417;;N;;124.25;171.27;;;;CMED_ICMS17;20260508;20;PF0=103.13|PF12=117.19|PF18=125.77|PF19=127.32|PF20=128.91|PF21=130.54|PF22=132.22|PMC0=142.15|PMC12=161.53|PMC18=173.36|PMC19=175.5|PMC20=177.69|PMC21=179.94|PMC22=182.25|PMVG17=97.5|PMVG18=98.69|PMVG20=101.16
CMED;20260508;medicamento;527322060021517;;;MERCK SHARP & DOHME FARMACEUTICA LTDA.;JANUMET;(50 + 850) MG COM REV CT BL AL AL X 56;"FOSFATO DE SITAGLIPTINA MONOIDRATADO;CLORIDRATO DE METFORMINA";7897572020177;1017102320039;90539044;527322060021517;;N;;248.57;342.63;;;;CMED_ICMS17;20260508;20;PF0=206.31|PF12=234.44|PF18=251.6|PF19=254.7|PF20=257.89|PF21=261.15|PF22=264.5|PMC0=284.38|PMC12=323.15|PMC18=346.8|PMC19=351.08|PMC20=355.47|PMC21=359.97|PMC22=364.59|PMVG17=195.05|PMVG18=197.43|PMVG20=202.37
CMED;20260508;medicamento;527322060021617;;;MERCK SHARP & DOHME FARMACEUTICA LTDA.;JANUMET;(50 + 1000) MG COM REV CT BL AL AL X 28;"FOSFATO DE SITAGLIPTINA MONOIDRATADO;CLORIDRATO DE METFORMINA";7897572020207;1017102320047;90539052;527322060021617;;N;;124.25;171.27;;;;CMED_ICMS17;20260508;20;PF0=103.13|PF12=117.19|PF18=125.77|PF19=127.32|PF20=128.91|PF21=130.54|PF22=132.22|PMC0=142.15|PMC12=161.53|PMC18=173.36|PMC19=175.5|PMC20=177.69|PMC21=179.94|PMC22=182.25|PMVG17=97.5|PMVG18=98.69|PMVG20=101.16
CMED;20260508;medicamento;527322060021717;;;MERCK SHARP & DOHME FARMACEUTICA LTDA.;JANUMET;(50 + 1000) MG COM REV CT BL AL AL X 56;"FOSFATO DE SITAGLIPTINA MONOIDRATADO;CLORIDRATO DE METFORMINA";7897572020191;1017102320055;90539060;527322060021717;;N;;248.57;342.63;;;;CMED_ICMS17;20260508;20;PF0=206.31|PF12=234.44|PF18=251.6|PF19=254.7|PF20=257.89|PF21=261.15|PF22=264.5|PMC0=284.38|PMC12=323.15|PMC18=346.8|PMC19=351.08|PMC20=355.47|PMC21=359.97|PMC22=364.59|PMVG17=195.05|PMVG18=197.43|PMVG20=202.37
CMED;20260508;medicamento;527322060022017;;;MERCK SHARP & DOHME FARMACEUTICA LTDA.;JANUMET;(500 + 50) MG COM REV LIB PROL CT FR PLAS PEAD OPC X 60;"FOSFATO DE SITAGLIPTINA MONOIDRATADO;CLORIDRATO DE METFORMINA";7897572020269;1017102320111;90539095;527322060022017;;N;;263.87;363.72;;;;CMED_ICMS17;20260508;20;PF0=219.01|PF12=248.88|PF18=267.09|PF19=270.38|PF20=273.76|PF21=277.23|PF22=280.78|PMC0=301.88|PMC12=343.06|PMC18=368.16|PMC19=372.69|PMC20=377.35|PMC21=382.13|PMC22=387.03|PMVG17=207.06|PMVG18=209.59|PMVG20=214.82
