fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;509524010039504;;;FRESENIUS KABI BRASIL LTDA;KABIPAMOL;10 MG/ML SOL INFUS IV CX ENVOL BOLS PLAS PP TRANS SIST FECH X 100 ML;PARACETAMOL;7899498608026;1004101630024;90579577;509524010039504;;S;;32.84;;;;;CMED_ICMS17;20260508;20;PF0=27.26|PF12=30.98|PF18=33.24|PF19=33.65|PF20=34.08|PF21=34.51|PF22=34.95|PMVG17=25.77|PMVG18=26.08|PMVG20=26.74
CMED;20260508;medicamento;509524010039604;;;FRESENIUS KABI BRASIL LTDA;KABIPAMOL;10 MG/ML SOL INFUS IV CX 20 ENVOL BOLS PLAS PP TRANS SIST FECH X 100 ML;PARACETAMOL;7899498608033;1004101630016;90579569;509524010039604;;S;;657.2;;;;;CMED_ICMS17;20260508;20;PF0=545.48|PF12=619.86|PF18=665.22|PF19=673.43|PF20=681.85|PF21=690.48|PF22=699.33|PMVG17=515.7|PMVG18=522|PMVG20=535.05
CMED;20260508;medicamento;509501306159411;;;FRESENIUS KABI BRASIL LTDA;KABIVEN;EMU INJ BOLS PLAS BIOFINA TRANS X 1026 ML;"FENILALANINA;TRIPTOFANO;CLORETO DE CÁLCIO DI-HIDRATADO;HISTIDINA;TREONINA;TIROSINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;ACETATO DE SÓDIO TRI-HIDRATADO ;PROLINA;LEVOVALINA;SERINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;GLICOSE MONOIDRATADA;LEUCINA;METIONINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;ALANINA;CLORETO DE POTÁSSIO;ARGININA";7897947700949;1004199380110;90223446;509501306159411;;S;;763.42;;;;;CMED_ICMS17;20260508;20;PF0=633.64|PF12=720.05|PF18=772.73|PF19=782.27|PF20=792.05|PF21=802.08|PF22=812.36|PMVG17=599.06|PMVG18=606.36|PMVG20=621.52
CMED;20260508;medicamento;509501307155411;;;FRESENIUS KABI BRASIL LTDA;KABIVEN;EMU INJ BOLS PLAS BIOFINA TRANS X 1440 ML;"FENILALANINA;TRIPTOFANO;CLORETO DE CÁLCIO DI-HIDRATADO;HISTIDINA;TREONINA;TIROSINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;ACETATO DE SÓDIO TRI-HIDRATADO ;PROLINA;LEVOVALINA;SERINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;GLICOSE MONOIDRATADA;LEUCINA;METIONINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;ALANINA;CLORETO DE POTÁSSIO;ARGININA";7897947701236;1004199380137;90223454;509501307155411;;S;;792.24;;;;;CMED_ICMS17;20260508;20;PF0=657.56|PF12=747.23|PF18=801.9|PF19=811.8|PF20=821.95|PF21=832.35|PF22=843.03|PMVG17=621.67|PMVG18=629.25|PMVG20=644.98
CMED;20260508;medicamento;509501308151418;;;FRESENIUS KABI BRASIL LTDA;KABIVEN;EMU INJ BOLS PLAS BIOFINA TRANS X 1920 ML;"FENILALANINA;TRIPTOFANO;HISTIDINA;TREONINA;TIROSINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;PROLINA;LEVOVALINA;SERINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;CLORETO DE CÁLCIO DIIDRATADO;GLICOSE MONOIDRATADA;ACETATO DE SÓDIO TRIIDRATADO;LEUCINA;METIONINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;ALANINA;CLORETO DE POTÁSSIO;ARGININA";7897947700956;1004199380129;90223462;509501308151418;;S;;987.45;;;;;CMED_ICMS17;20260508;20;PF0=819.58|PF12=931.34|PF18=999.49|PF19=1011.83|PF20=1024.48|PF21=1037.44|PF22=1050.74|PMVG17=774.85|PMVG18=784.3|PMVG20=803.91
CMED;20260508;medicamento;509501309158416;;;FRESENIUS KABI BRASIL LTDA;KABIVEN;EMU INJ BOLS PLAS BIOFINA TRANS X 2053 ML;"FENILALANINA;TRIPTOFANO;CLORETO DE CÁLCIO DI-HIDRATADO;HISTIDINA;TREONINA;TIROSINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;ACETATO DE SÓDIO TRI-HIDRATADO ;PROLINA;LEVOVALINA;SERINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;GLICOSE MONOIDRATADA;METIONINA (11 C);LEUCINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;ALANINA;CLORETO DE POTÁSSIO;ARGININA";7897947700925;1004199380099;90223470;509501309158416;;S;;1057.76;;;;;CMED_ICMS17;20260508;20;PF0=877.94|PF12=997.66|PF18=1070.66|PF19=1083.88|PF20=1097.43|PF21=1111.32|PF22=1125.56|PMVG17=830.02|PMVG18=840.15|PMVG20=861.15
CMED;20260508;medicamento;509523110038903;;;FRESENIUS KABI BRASIL LTDA;KABIVEN;EMU INJ BOLS PLAS BIOFINA TRANS X 2566 ML;"FENILALANINA;TRIPTOFANO;CLORETO DE CÁLCIO DI-HIDRATADO;HISTIDINA;TREONINA;TIROSINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;ACETATO DE SÓDIO TRI-HIDRATADO ;PROLINA;LEVOVALINA;SERINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;GLICOSE MONOIDRATADA;METIONINA (11 C);LEUCINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;ALANINA;CLORETO DE POTÁSSIO;ARGININA";7897947700918;1004199380080;90570561;509523110038903;;S;;1490.71;;;;;CMED_ICMS17;20260508;20;PF0=1237.29|PF12=1406.01|PF18=1508.89|PF19=1527.52|PF20=1546.61|PF21=1566.19|PF22=1586.27|PMVG17=1169.76|PMVG18=1184.03|PMVG20=1213.62
CMED;20260508;medicamento;509523110039003;;;FRESENIUS KABI BRASIL LTDA;KABIVEN;EMU INJ BOLS PLAS BIOFINA TRANS X 1540 ML;"FENILALANINA;PROLINA;TRIPTOFANO;LEVOVALINA;SERINA;CLORETO DE CÁLCIO DI-HIDRATADO;TREONINA;ÁCIDO GLUTÂMICO;TIROSINA;CLORIDRATO DE LISINA;GLICOSE MONOIDRATADA;METIONINA (11 C);LEUCINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;ALANINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;CLORETO DE POTÁSSIO;ACETATO DE SÓDIO TRI-HIDRATADO ;ARGININA";7897947700932;1004199380102;90570545;509523110039003;;S;;894.65;;;;;CMED_ICMS17;20260508;20;PF0=742.56|PF12=843.82|PF18=905.56|PF19=916.74|PF20=928.2|PF21=939.95|PF22=952|PMVG17=702.03|PMVG18=710.59|PMVG20=728.36
CMED;20260508;medicamento;509523110039103;;;FRESENIUS KABI BRASIL LTDA;KABIVEN;EMU INJ BOLS PLAS BIOFINA TRANS X 2400 ML;"FENILALANINA;PROLINA;TRIPTOFANO;LEVOVALINA;SERINA;HISTIDINA;TREONINA;ÁCIDO GLUTÂMICO;TIROSINA;CLORIDRATO DE LISINA;METIONINA (11 C);LEUCINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;ALANINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;CLORETO DE POTÁSSIO;ACETATO DE SÓDIO TRI-HIDRATADO ;ARGININA";7897947700963;1004199380145;90570553;509523110039103;;S;;1394.29;;;;;CMED_ICMS17;20260508;20;PF0=1157.26|PF12=1315.07|PF18=1411.29|PF19=1428.72|PF20=1446.58|PF21=1464.89|PF22=1483.67|PMVG17=1094.1|PMVG18=1107.44|PMVG20=1135.13
CMED;20260508;medicamento;509523110039203;;;FRESENIUS KABI BRASIL LTDA;KABIVEN;EMU INJ 3 BOLS PLAS BIOFINA TRANS X 2400 ML;"PROLINA;TRIPTOFANO;LEVOVALINA;SERINA;CLORETO DE CÁLCIO DI-HIDRATADO;HISTIDINA;TREONINA;ÁCIDO GLUTÂMICO;TIROSINA;CLORIDRATO DE LISINA;METIONINA (11 C);LEUCINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;ALANINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;CLORETO DE POTÁSSIO;ACETATO DE SÓDIO TRI-HIDRATADO ;ARGININA";7899498607623;1004199380285;90571975;509523110039203;;S;;4182.85;;;;;CMED_ICMS17;20260508;20;PF0=3471.77|PF12=3945.19|PF18=4233.87|PF19=4286.14|PF20=4339.71|PF21=4394.65|PF22=4450.99|PMVG17=3282.28|PMVG18=3322.32|PMVG20=3405.37
CMED;20260508;medicamento;509523110039303;;;FRESENIUS KABI BRASIL LTDA;KABIVEN;EMU INJ CX 4 BOLS PLAS BIOFINA TRANS X 1540 ML;"PROLINA;TRIPTOFANO;LEVOVALINA;SERINA;HISTIDINA;TREONINA;ÁCIDO GLUTÂMICO;TIROSINA;CLORIDRATO DE LISINA;GLICOSE MONOIDRATADA;METIONINA (11 C);LEUCINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;ALANINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;CLORETO DE POTÁSSIO;ACETATO DE SÓDIO TRI-HIDRATADO ;ARGININA";7899498607548;1004199380201;90571983;509523110039303;;S;;3578.66;;;;;CMED_ICMS17;20260508;20;PF0=2970.29|PF12=3375.33|PF18=3622.3|PF19=3667.02|PF20=3712.86|PF21=3759.86|PF22=3808.06|PMVG17=2808.17|PMVG18=2842.42|PMVG20=2913.48
CMED;20260508;medicamento;509523110039403;;;FRESENIUS KABI BRASIL LTDA;KABIVEN;EMU INJ CX 3 BOLS PLAS BIOFINA TRANS X 2566 ML;"FENILALANINA;TRIPTOFANO;CLORETO DE CÁLCIO DI-HIDRATADO;HISTIDINA;TREONINA;TIROSINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;ACETATO DE SÓDIO TRI-HIDRATADO ;PROLINA;LEVOVALINA;SERINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;GLICOSE MONOIDRATADA;METIONINA (11 C);LEUCINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;ALANINA;CLORETO DE POTÁSSIO;ARGININA";7899498607562;1004199380226;90570570;509523110039403;;S;;4472.17;;;;;CMED_ICMS17;20260508;20;PF0=3711.9|PF12=4218.07|PF18=4526.71|PF19=4582.59|PF20=4639.88|PF21=4698.61|PF22=4758.85|PMVG17=3509.31|PMVG18=3552.11|PMVG20=3640.91
CMED;20260508;medicamento;509524020039703;;;FRESENIUS KABI BRASIL LTDA;KABIVEN;EMU INJ 4 BOLS PLAS BIOFINA TRANS X 1440 ML;"FENILALANINA;TRIPTOFANO;CLORETO DE CÁLCIO DI-HIDRATADO;HISTIDINA;TREONINA;TIROSINA;GLICEROFOSFATO DE SÓDIO;ISOLEUCINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;ACETATO DE SÓDIO TRI-HIDRATADO ;PROLINA;LEVOVALINA;SERINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;GLICOSE MONOIDRATADA;METIONINA (11 C);LEUCINA;SULFATO DE MAGNÉSIO HEPTAIDRATADO;GLICINA;ALANINA;CLORETO DE POTÁSSIO;ARGININA";7899498607609;1004199380269;90578260;509524020039703;;S;;3169.05;;;;;CMED_ICMS17;20260508;20;PF0=2630.31|PF12=2988.99|PF18=3207.69|PF19=3247.3|PF20=3287.89|PF21=3329.51|PF22=3372.19|PMVG17=2486.75|PMVG18=2517.07|PMVG20=2580.01
