fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;527904801164414;;;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;LABCAÍNA;50 MG/G POM DERM CT BG AL X 25 G;CLORIDRATO DE LIDOCAINA;7898216361403;1410700560015;90176359;527904801164414;;N;;21.27;29.32;;;;CMED_ICMS17;20260508;20;PF0=17.65|PF12=20.06|PF18=21.52|PF19=21.79|PF20=22.06|PF21=22.34|PF22=22.63|PMC0=24.33|PMC12=27.65|PMC18=29.66|PMC19=30.04|PMC20=30.41|PMC21=30.79|PMC22=31.19|PMVG17=16.69|PMVG18=16.89|PMVG20=17.31
CMED;20260508;medicamento;527904802160412;;;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;LABCAÍNA;20 MG/G GEL TOP CT BG AL X 30 G;CLORIDRATO DE LIDOCAINA;7898216364930;1410700560074;90236521;527904802160412;;N;;10.22;14.09;;;;CMED_ICMS17;20260508;20;PF0=8.48|PF12=9.64|PF18=10.34|PF19=10.47|PF20=10.6|PF21=10.73|PF22=10.87|PMC0=11.69|PMC12=13.29|PMC18=14.25|PMC19=14.43|PMC20=14.61|PMC21=14.79|PMC22=14.98|PMVG17=8.02|PMVG18=8.11|PMVG20=8.32
CMED;20260508;medicamento;527904803167410;;;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;LABCAÍNA;20 MG/G GEL TOP CX 100 BG AL X 30 G;CLORIDRATO DE LIDOCAINA;7898216364961;1410700560082;90236530;527904803167410;;S;;1021.36;;;;;CMED_ICMS17;20260508;20;PF0=847.73|PF12=963.33|PF18=1033.82|PF19=1046.58|PF20=1059.66|PF21=1073.08|PF22=1086.83|PMVG17=801.46|PMVG18=811.24|PMVG20=831.51
CMED;20260508;medicamento;501618010018403;;;APSEN FARMACEUTICA S/A;LABIRIN;8 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 30;CLORIDRATO DE BETAISTINA;7896637028417;1011801570183;90394593;501618010018403;;N;;29.67;39.8;;;;CMED_ICMS17;20260508;20;PF0=24.63|PF12=27.99|PF18=30.04|PF19=30.41|PF20=30.79|PF21=31.18|PF22=31.58|PMC0=33.04|PMC12=37.55|PMC18=40.3|PMC19=40.79|PMC20=41.3|PMC21=41.83|PMC22=42.36|PMVG17=23.28|PMVG18=23.57|PMVG20=24.16
CMED;20260508;medicamento;501618010018603;;;APSEN FARMACEUTICA S/A;LABIRIN;16 MG COM CT BL AL PLAS PVC/PCTFE TRANS X 30;CLORIDRATO DE BETAISTINA;7896637028479;1011801570248;90394615;501618010018603;;N;;35.89;48.15;;;;CMED_ICMS17;20260508;20;PF0=29.79|PF12=33.85|PF18=36.33|PF19=36.78|PF20=37.24|PF21=37.71|PF22=38.19|PMC0=39.96|PMC12=45.41|PMC18=48.74|PMC19=49.34|PMC20=49.96|PMC21=50.59|PMC22=51.23|PMVG17=28.16|PMVG18=28.51|PMVG20=29.22
CMED;20260508;medicamento;501618010018703;;;APSEN FARMACEUTICA S/A;LABIRIN;24 MG COM CT BL AL PLAS PVC/CTFE TRANS X 30;CLORIDRATO DE BETAISTINA;7896637028523;1011805960083;90394623;501618010018703;;N;;48.04;64.44;;;;CMED_ICMS17;20260508;20;PF0=39.87|PF12=45.31|PF18=48.62|PF19=49.22|PF20=49.84|PF21=50.47|PF22=51.12|PMC0=53.48|PMC12=60.78|PMC18=65.22|PMC19=66.03|PMC20=66.86|PMC21=67.7|PMC22=68.58|PMVG17=37.7|PMVG18=38.15|PMVG20=39.11
CMED;20260508;medicamento;501618010018803;;;APSEN FARMACEUTICA S/A;LABIRIN;24 MG COM CT BL AL PLAS PVC/CTFE TRANS X 60;CLORIDRATO DE BETAISTINA;7896637028530;1011805960091;90394631;501618010018803;;N;;95.17;127.67;;;;CMED_ICMS17;20260508;20;PF0=78.99|PF12=89.76|PF18=96.33|PF19=97.52|PF20=98.74|PF21=99.99|PF22=101.27|PMC0=105.96|PMC12=120.41|PMC18=129.22|PMC19=130.82|PMC20=132.46|PMC21=134.13|PMC22=135.85|PMVG17=74.68|PMVG18=75.59|PMVG20=77.48
CMED;20260508;medicamento;501624010047004;;;APSEN FARMACEUTICA S/A;LABIRIN XR;48 MG COM REV LIB PROL CT BL AL PLAS PVC/EVOH/PCTFE OPC X 10;DICLORIDRATO DE BETAISTINA;7896637037150;1011806560194;90577418;501624010047004;;N;;31.29;41.97;;;;CMED_ICMS17;20260508;20;PF0=25.97|PF12=29.51|PF18=31.67|PF19=32.06|PF20=32.46|PF21=32.87|PF22=33.29|PMC0=34.84|PMC12=39.59|PMC18=42.48|PMC19=43.01|PMC20=43.54|PMC21=44.09|PMC22=44.66|PMVG17=24.55|PMVG18=24.85|PMVG20=25.47
CMED;20260508;medicamento;501624010047104;;;APSEN FARMACEUTICA S/A;LABIRIN XR;48 MG COM REV LIB PROL CT BL AL PLAS PVC/EVOH/PCTFE OPC X 30;DICLORIDRATO DE BETAISTINA;7896637037181;1011806560224;90577426;501624010047104;;N;;93.86;125.91;;;;CMED_ICMS17;20260508;20;PF0=77.9|PF12=88.52|PF18=95|PF19=96.17|PF20=97.38|PF21=98.61|PF22=99.87|PMC0=104.5|PMC12=118.75|PMC18=127.44|PMC19=129.01|PMC20=130.63|PMC21=132.28|PMC22=133.97|PMVG17=73.65|PMVG18=74.55|PMVG20=76.42
CMED;20260508;medicamento;501624010047204;;;APSEN FARMACEUTICA S/A;LABIRIN XR;48 MG COM REV LIB PROL CT BL AL PLAS PVC/PCTFE TRANS X 10;DICLORIDRATO DE BETAISTINA;7896637034845;1011806560135;90577396;501624010047204;;N;;31.29;41.97;;;;CMED_ICMS17;20260508;20;PF0=25.97|PF12=29.51|PF18=31.67|PF19=32.06|PF20=32.46|PF21=32.87|PF22=33.29|PMC0=34.84|PMC12=39.59|PMC18=42.48|PMC19=43.01|PMC20=43.54|PMC21=44.09|PMC22=44.66|PMVG17=24.55|PMVG18=24.85|PMVG20=25.47
