fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;540920080042907;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;M-LIX;1MG/G CREME CT BG AL X 20G;FUROATO DE MOMETASONA;7896094920002;1781708810019;90483650;540920080042907;;N;;54.95;75.74;;;;CMED_ICMS17;20260508;20;PF0=45.61|PF12=51.83|PF18=55.62|PF19=56.31|PF20=57.01|PF21=57.73|PF22=58.47|PMC0=62.87|PMC12=71.44|PMC18=76.67|PMC19=77.62|PMC20=78.58|PMC21=79.57|PMC22=80.59|PMVG17=43.12|PMVG18=43.64|PMVG20=44.74
CMED;20260508;medicamento;527322070022617;;;MERCK SHARP & DOHME FARMACEUTICA LTDA.;M-M-R II;PO LIOF SOL INJ CT FA VD INC DOSE UNICA + FA VD INC DIL;"VÍRUS DA CAXUMBA;VÍRUS DA RUBEOLA;VÍRUS DO SARAMPO";7897572020313;1017102130019;90538722;527322070022617;;N;;34.65;47.76;;;;CMED_ICMS17;20260508;20;PF0=28.76|PF12=32.68|PF18=35.07|PF19=35.51|PF20=35.95|PF21=36.41|PF22=36.87|PMC0=39.64|PMC12=45.05|PMC18=48.34|PMC19=48.95|PMC20=49.55|PMC21=50.19|PMC22=50.82
CMED;20260508;medicamento;529203301153217;;;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;MABTHERA;10 MG/ML SOL DIL INFUS IV CT 2 FR VD TRANS X 10 ML;RITUXIMABE;7896226501710;1010005480011;90184580;529203301153217;;S;;;;;;;CMED_ICMS17;20260508;20;PF0=3877.02
CMED;20260508;medicamento;529203302151218;;;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;MABTHERA;10 MG/ML SOL DIL INFUS IV CT 1 FR VD TRANS X 50 ML;RITUXIMABE;7896226501727;1010005480038;90184599;529203302151218;;S;;;;;;;CMED_ICMS17;20260508;20;PF0=9677.91
CMED;20260508;medicamento;529216020026403;;;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;MABTHERA;1400 MG SOL INJ SC CT 1 FA VD TRANS X 11,7 ML (REST HOSP);RITUXIMABE;7896226506845;1010005480046;90343115;529216020026403;;S;;;;;;;CMED_ICMS17;20260508;20;PF0=12641.81
CMED;20260508;medicamento;540916110024017;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;MACRODANTINA;100 MG CAP GEL DURA CT BL AL PLAS TRANS X 28;NITROFURANTOÍNA;7891142165770;1781707870034;90366581;540916110024017;;N;;12.61;17.38;;;;CMED_ICMS17;20260508;20;PF0=10.47|PF12=11.9|PF18=12.77|PF19=12.93|PF20=13.09|PF21=13.25|PF22=13.42|PMC0=14.43|PMC12=16.4|PMC18=17.6|PMC19=17.82|PMC20=18.04|PMC21=18.26|PMC22=18.5|PMVG17=9.9|PMVG18=10.02|PMVG20=10.27
CMED;20260508;medicamento;540918100037603;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;MACRODANTINA;100 MG CAP GEL DURA CT BL AL PLAS TRANS X 144;NITROFURANTOÍNA;7891142165794;1781707870026;90417267;540918100037603;;N;;64.73;89.22;;;;CMED_ICMS17;20260508;20;PF0=53.73|PF12=61.06|PF18=65.52|PF19=66.33|PF20=67.16|PF21=68.01|PF22=68.88|PMC0=74.06|PMC12=84.16|PMC18=90.31|PMC19=91.43|PMC20=92.57|PMC21=93.74|PMC22=94.94|PMVG17=50.79|PMVG18=51.41|PMVG20=52.7
CMED;20260508;medicamento;540920090043707;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;MACRODANTINA;100 MG CAP GEL DURA CT BL AL PLAS TRANS X 40;NITROFURANTOÍNA;7896094920453;1781707870069;90486838;540920090043707;;N;;17.96;24.76;;;;CMED_ICMS17;20260508;20;PF0=14.91|PF12=16.94|PF18=18.18|PF19=18.41|PF20=18.64|PF21=18.87|PF22=19.12|PMC0=20.55|PMC12=23.35|PMC18=25.06|PMC19=25.38|PMC20=25.69|PMC21=26.01|PMC22=26.35|PMVG17=14.09|PMVG18=14.27|PMVG20=14.63
CMED;20260508;medicamento;528525030223803;;;PRATI DONADUZZI & CIA LTDA;MADUN;400 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 5;CLORIDRATO DE MOXIFLOXACINO;7899547553741;1256803550018;90605276;528525030223803;;N;;131.25;180.91;;;;CMED_ICMS17;20260508;20;PF0=108.94|PF12=123.8|PF18=132.85|PF19=134.49|PF20=136.18|PF21=137.9|PF22=139.67|PMC0=150.16|PMC12=170.65|PMC18=183.12|PMC19=185.38|PMC20=187.71|PMC21=190.08|PMC22=192.52|PMVG17=102.99|PMVG18=104.25|PMVG20=106.86
CMED;20260508;medicamento;528525030223903;;;PRATI DONADUZZI & CIA LTDA;MADUN;400 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 7;CLORIDRATO DE MOXIFLOXACINO;7899547553758;1256803550026;90605284;528525030223903;;N;;183.75;253.28;;;;CMED_ICMS17;20260508;20;PF0=152.51|PF12=173.31|PF18=185.99|PF19=188.28|PF20=190.64|PF21=193.05|PF22=195.53|PMC0=210.22|PMC12=238.89|PMC18=256.37|PMC19=259.52|PMC20=262.78|PMC21=266.1|PMC22=269.52|PMVG17=144.19|PMVG18=145.95|PMVG20=149.6
