fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;562620080000807;;;MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA;NABOTA;100 U PO LIOF SOL INJ CT FA VD TRANS X 10 ML;TOXINA BOTULÍNICA A;7898953165210;1642500060011;90489306;562620080000807;;S;;1905.02;2625.87;;;;CMED_ICMS17;20260508;20;PF0=1581.17|PF12=1796.78|PF18=1928.26|PF19=1952.06|PF20=1976.46|PF21=2001.48|PF22=2027.14|PMC0=2179.48|PMC12=2476.67|PMC18=2657.91|PMC19=2690.71|PMC20=2724.34|PMC21=2758.83|PMC22=2794.2
CMED;20260508;medicamento;562625020001003;;;MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA;NABOTA;200 U PO LIOF SOL INJ CT FA VD TRANS X 10 ML;TOXINA BOTULÍNICA A;7898953165357;1642500060028;90604300;562625020001003;;S;;3810.04;5251.74;;;;CMED_ICMS17;20260508;20;PF0=3162.33|PF12=3593.56|PF18=3856.5|PF19=3904.11|PF20=3952.91|PF21=4002.95|PF22=4054.27|PMC0=4358.94|PMC12=4953.35|PMC18=5315.78|PMC19=5381.41|PMC20=5448.67|PMC21=5517.65|PMC22=5588.39|PMVG17=2989.74|PMVG18=3026.2|PMVG20=3101.85
CMED;20260508;medicamento;523713020027404;;;LIBBS FARMACÊUTICA LTDA;NACTALI;0,075 MG COM REV CT BL AL PLAS TRANS X 28;DESOGESTREL;7896094208117;1003301710015;90250788;523713020027404;;N;;37.98;52.35;;;;CMED_ICMS17;20260508;20;PF0=31.52|PF12=35.82|PF18=38.44|PF19=38.91|PF20=39.4|PF21=39.9|PF22=40.41|PMC0=43.45|PMC12=49.37|PMC18=52.99|PMC19=53.63|PMC20=54.31|PMC21=55|PMC22=55.7|PMVG17=29.8|PMVG18=30.16|PMVG20=30.92
CMED;20260508;medicamento;523713020027504;;;LIBBS FARMACÊUTICA LTDA;NACTALI;0,075 MG COM REV CT BL AL PLAS TRANS X 84;DESOGESTREL;7896094208124;1003301710023;90250796;523713020027504;;N;;103.7;142.94;;;;CMED_ICMS17;20260508;20;PF0=86.07|PF12=97.81|PF18=104.96|PF19=106.26|PF20=107.59|PF21=108.95|PF22=110.35|PMC0=118.64|PMC12=134.82|PMC18=144.68|PMC19=146.47|PMC20=148.3|PMC21=150.18|PMC22=152.11|PMVG17=81.37|PMVG18=82.36|PMVG20=84.43
CMED;20260508;medicamento;541726040024103;;;CELLERA FARMACEUTICA S.A.;NAÉVIA;300 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 8;CLORIDRATO DE TIAMINA;7893454715032;1044002330013;;541726040024103;;N;;6.88;9.23;;;;CMED_ICMS17;20260508;20;PF0=5.71|PF12=6.49|PF18=6.96|PF19=7.05|PF20=7.14|PF21=7.23|PF22=7.32|PMC0=7.66|PMC12=8.71|PMC18=9.34|PMC19=9.46|PMC20=9.58|PMC21=9.7|PMC22=9.82|PMVG17=5.4|PMVG18=5.46|PMVG20=5.6
CMED;20260508;medicamento;541726040024203;;;CELLERA FARMACEUTICA S.A.;NAÉVIA;300 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30;CLORIDRATO DE TIAMINA;7893454715049;1044002330021;;541726040024203;;N;;25.92;34.77;;;;CMED_ICMS17;20260508;20;PF0=21.51|PF12=24.44|PF18=26.23|PF19=26.56|PF20=26.89|PF21=27.23|PF22=27.58|PMC0=28.85|PMC12=32.79|PMC18=35.19|PMC19=35.63|PMC20=36.07|PMC21=36.53|PMC22=37|PMVG17=20.34|PMVG18=20.58|PMVG20=21.1
CMED;20260508;medicamento;541726040024303;;;CELLERA FARMACEUTICA S.A.;NAÉVIA;300 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 60;CLORIDRATO DE TIAMINA;7893454715056;1044002330031;;541726040024303;;N;;51.78;69.46;;;;CMED_ICMS17;20260508;20;PF0=42.98|PF12=48.84|PF18=52.41|PF19=53.06|PF20=53.73|PF21=54.41|PF22=55.1|PMC0=57.66|PMC12=65.52|PMC18=70.31|PMC19=71.18|PMC20=72.08|PMC21=72.99|PMC22=73.91|PMVG17=40.63|PMVG18=41.13|PMVG20=42.16
CMED;20260508;medicamento;542413080000002;;;BIOMARIN BRASIL FARMACÊUTICA LTDA;NAGLAZYME;5,0 MG SOL INJ CT FA VD INC X 5 ML;GALSULFASE;7898927503017;1733300010016;90284801;542413080000002;;N;;9352.08;12545.48;;;;CMED_ICMS17;20260508;20;PF0=7762.23|PF12=8820.72|PF18=9466.13|PF19=9583|PF20=9702.79|PF21=9825.61|PF22=9951.57|PMC0=10412.76|PMC12=11832.68|PMC18=12698.48|PMC19=12855.25|PMC20=13015.95|PMC21=13180.71|PMC22=13349.68|PMVG17=7338.58|PMVG18=7428.07|PMVG20=7613.78
CMED;20260508;medicamento;508022010149604;;;EUROFARMA LABORATORIOS S.A.;NAIRE;20 MG COM CT BL AL AL X 15;BILASTINA;7891317011390;1004313480042;90527445;508022010149604;;N;;55.47;74.41;;;;CMED_ICMS17;20260508;20;PF0=46.04|PF12=52.32|PF18=56.15|PF19=56.84|PF20=57.55|PF21=58.28|PF22=59.03|PMC0=61.76|PMC12=70.19|PMC18=75.32|PMC19=76.25|PMC20=77.2|PMC21=78.18|PMC22=79.19|PMVG17=43.53|PMVG18=44.06|PMVG20=45.16
CMED;20260508;medicamento;508022010149704;;;EUROFARMA LABORATORIOS S.A.;NAIRE;20 MG COM CT BL AL AL X 30;BILASTINA;7891317011383;1004313480069;90527453;508022010149704;;N;;110.89;148.75;;;;CMED_ICMS17;20260508;20;PF0=92.04|PF12=104.59|PF18=112.24|PF19=113.63|PF20=115.05|PF21=116.51|PF22=118|PMC0=123.47|PMC12=140.3|PMC18=150.57|PMC19=152.43|PMC20=154.34|PMC21=156.29|PMC22=158.29|PMVG17=87.02|PMVG18=88.07|PMVG20=90.28
CMED;20260508;medicamento;511222090047604;;;HALEX ISTAR INDUSTRIA FARMACEUTICA SA;NALBLI;10 MG/ML SOL INJ IM/IV/SC CX 50 AMP VD AMB X 1ML;CLORIDRATO DE NALBUFINA;7896727870834;1031101840026;90543823;511222090047604;;S;;1023.18;;;;;CMED_ICMS17;20260508;20;PF0=849.24|PF12=965.05|PF18=1035.66|PF19=1048.44|PF20=1061.55|PF21=1074.99|PF22=1088.77|PMVG17=802.89|PMVG18=812.68|PMVG20=833
CMED;20260508;medicamento;511222090047704;;;HALEX ISTAR INDUSTRIA FARMACEUTICA SA;NALBLI;10 MG/ML SOL INJ IM/IV/SC CX AMP VD AMB X 1ML;CLORIDRATO DE NALBUFINA;7896727870551;1031101840018;90543815;511222090047704;;S;;20.46;;;;;CMED_ICMS17;20260508;20;PF0=16.98|PF12=19.3|PF18=20.71|PF19=20.96|PF20=21.23|PF21=21.49|PF22=21.77|PMVG17=16.05|PMVG18=16.25|PMVG20=16.66
