fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;504413604157115;;;BLAU FARMACEUTICA S.A.;OCITOCINA;5 UI/ML SOL INJ CX 50 AMP VD TRANS X 1 ML;OCITOCINA;7896014654222;1163700720030;90032136;504413604157115;S;S;;328.63;;;;;CMED_ICMS17;20260508;20;PF0=272.76|PF12=309.95|PF18=332.63|PF19=336.74|PF20=340.95|PF21=345.27|PF22=349.69|PMVG17=257.88|PMVG18=261.01|PMVG20=267.54
CMED;20260508;medicamento;529218060027101;;;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;OCREVUS;30 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML;OCRELIZUMABE;7613326002509;1010006660013;90411927;529218060027101;;S;;42478.28;;;;;CMED_ICMS17;20260508;20;PF0=35256.98|PF12=40064.76|PF18=42996.31|PF19=43527.14|PF20=44071.23|PF21=44629.1|PF22=45201.25|PMVG17=33332.71|PMVG18=33739.2|PMVG20=34582.7
CMED;20260508;medicamento;529225090028703;;;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;OCREVUS;920 MG SOL INJ SC CT FA VD TRANS X 23 ML;OCRELIZUMABE;7613326077774;1010006660021;90617118;529225090028703;;N;;84956.55;113966.19;;;;CMED_ICMS17;20260508;20;PF0=70513.95|PF12=80129.51|PF18=85992.61|PF19=87054.27|PF20=88142.44|PF21=89258.18|PF22=90402.48|PMC0=94591.95|PMC12=107490.88|PMC18=115356.02|PMC19=116780.2|PMC20=118239.95|PMC21=119736.67|PMC22=121271.71|PMVG17=66665.4|PMVG18=67478.4|PMVG20=69165.37
CMED;20260508;medicamento;535300203157311;;;OCTAPHARMA BRASIL LTDA;OCTAGAM;50 MG/ML SOL INJ CT FA VD INC X 100ML;IMUNOGLOBULINA HUMANA;7898961181240;1397100010034;90324706;535300203157311;;S;;3674.26;;;;;CMED_ICMS17;20260508;20;PF0=3049.64|PF12=3465.5|PF18=3719.07|PF19=3764.99|PF20=3812.05|PF21=3860.3|PF22=3909.79
CMED;20260508;medicamento;535300204153415;;;OCTAPHARMA BRASIL LTDA;OCTAGAM;50 MG/ML SOL INJ CT FA VD INC X 200ML;IMUNOGLOBULINA HUMANA;7898961181264;1397100010045;90442741;535300204153415;;S;;4124.61;;;;;CMED_ICMS17;20260508;20;PF0=3423.43|PF12=3890.26|PF18=4174.91|PF19=4226.46|PF20=4279.29|PF21=4333.46|PF22=4389.01
CMED;20260508;medicamento;535300205151416;;;OCTAPHARMA BRASIL LTDA;OCTAGAM;100 MG/ML SOL INJ CT FA VD INC X 100 ML;IMUNOGLOBULINA HUMANA;7898961181288;1397100010072;90442750;535300205151416;;S;;4553.48;;;;;CMED_ICMS17;20260508;20;PF0=3779.39|PF12=4294.76|PF18=4609.01|PF19=4665.91|PF20=4724.24|PF21=4784.04|PF22=4845.37
CMED;20260508;medicamento;535300206156411;;;OCTAPHARMA BRASIL LTDA;OCTAGAM;100 MG/ML SOL INJ CT FA VD INC X 20 ML;IMUNOGLOBULINA HUMANA;3660548038407;1397100010056;90442768;535300206156411;;S;;910.7;;;;;CMED_ICMS17;20260508;20;PF0=755.88|PF12=858.95|PF18=921.8|PF19=933.19|PF20=944.85|PF21=956.81|PF22=969.08
CMED;20260508;medicamento;535300207152411;;;OCTAPHARMA BRASIL LTDA;OCTAGAM;100 MG/ML SOL INJ CT FA VD INC X 200 ML;IMUNOGLOBULINA HUMANA;7898961181295;1397100010080;90442776;535300207152411;;S;;9106.94;;;;;CMED_ICMS17;20260508;20;PF0=7558.76|PF12=8589.5|PF18=9218|PF19=9331.8|PF20=9448.45|PF21=9568.05|PF22=9690.72
CMED;20260508;medicamento;535300208159418;;;OCTAPHARMA BRASIL LTDA;OCTAGAM;100 MG/ML SOL INJ CT FA VD INC X 50 ML;IMUNOGLOBULINA HUMANA;7898961181271;1397100010064;90442784;535300208159418;;S;;3674.26;;;;;CMED_ICMS17;20260508;20;PF0=3049.64|PF12=3465.5|PF18=3719.07|PF19=3764.99|PF20=3812.05|PF21=3860.3|PF22=3909.79
CMED;20260508;medicamento;535300301159317;;;OCTAPHARMA BRASIL LTDA;OCTALBIN;20 % SOL INJ CT FA VD INC X 50 ML;ALBUMINA HUMANA;7898961181172;1397100030081;90175042;535300301159317;;S;;402.71;;;;;CMED_ICMS17;20260508;20;PF0=334.25|PF12=379.83|PF18=407.62|PF19=412.65|PF20=417.81|PF21=423.1|PF22=428.53|PMVG17=316.01|PMVG18=319.86|PMVG20=327.85
CMED;20260508;medicamento;535315030001504;;;OCTAPHARMA BRASIL LTDA;OCTANINE F;250 UI PO LIOF SOL INJ CT 1 FA VD TRANS + 1 FA DIL X 5 ML + EQP INFUS;FATOR IX DE COAGULAÇÃO;7898961181141;1397100080011;90324714;535315030001504;;S;;738.92;;;;;CMED_ICMS17;20260508;20;PF0=613.3|PF12=696.93|PF18=747.93|PF19=757.16|PF20=766.63|PF21=776.33|PF22=786.28|PMVG17=579.83|PMVG18=586.9|PMVG20=601.58
CMED;20260508;medicamento;535315030001604;;;OCTAPHARMA BRASIL LTDA;OCTANINE F;500 UI PÓ LIOF SOL INJ CT 1 FA VD TRANS + 1 FA DIL X 5 ML + EQP INFUS;FATOR IX DE COAGULAÇÃO;7898961181189;1397100080021;90324722;535315030001604;;S;;1477.86;;;;;CMED_ICMS17;20260508;20;PF0=1226.62|PF12=1393.89|PF18=1495.88|PF19=1514.35|PF20=1533.28|PF21=1552.68|PF22=1572.59|PMVG17=1159.68|PMVG18=1173.82|PMVG20=1203.17
CMED;20260508;medicamento;535315030001704;;;OCTAPHARMA BRASIL LTDA;OCTANINE F;1000 UI PÓ LIOF SOL INJ CT 1 FA VD TRANS + 1 FA DIL X 10 ML + EQP INFUS;FATOR IX DE COAGULAÇÃO;7898961181196;1397100080038;90324730;535315030001704;;S;;2955.71;;;;;CMED_ICMS17;20260508;20;PF0=2453.24|PF12=2787.77|PF18=2991.76|PF19=3028.69|PF20=3066.55|PF21=3105.37|PF22=3145.18|PMVG17=2319.35|PMVG18=2347.64|PMVG20=2406.32
CMED;20260508;medicamento;535300401137315;;;OCTAPHARMA BRASIL LTDA;OCTAPLEX;500 UI PO LIOF INJ CT FA VD INC + FA VD INC DIL X 20 ML + CONJ REC E INFUS;"FATOR II DE COAGULAÇÃO;FATOR IX DE COAGULAÇÃO;PROTEÍNA C;PROTEÍNA S;FATOR X DE COAGULAÇÃO ;FATOR VII DE COAGULAÇÃO";7898961181158;1397100120013;90175069;535300401137315;;S;;1890.78;;;;;CMED_ICMS17;20260508;20;PF0=1569.35|PF12=1783.35|PF18=1913.84|PF19=1937.47|PF20=1961.69|PF21=1986.52|PF22=2011.99|PMVG17=1483.7|PMVG18=1501.79|PMVG20=1539.34
CMED;20260508;medicamento;535326010004007;;;OCTAPHARMA BRASIL LTDA;OCTAPLEX;1000 UI PO LIOF SOL INJ FA VD TRANS + FA VD TRANS DIL X 40 ML + CONJ REC E INFUS CT;"FATOR X;FATOR II DE COAGULAÇÃO;FATOR IX DE COAGULAÇÃO;PROTEÍNA C;PROTEÍNA S;FATOR VII DE COAGULAÇÃO";7898961181431;1397100120021;;535326010004007;;S;;3781.57;;;;;CMED_ICMS17;20260508;20;PF0=3138.7|PF12=3566.71|PF18=3827.68|PF19=3874.94|PF20=3923.38|PF21=3973.04|PF22=4023.97|PMVG17=2967.4|PMVG18=3003.58|PMVG20=3078.68
CMED;20260508;medicamento;535315030001804;;;OCTAPHARMA BRASIL LTDA;OCTAVI SDOPTIMUM;250 UI PÓ LIOF INJ CT 1 FA VD INC + FA DIL X 5 ML + CONJ INFUS;FATOR VIII DE COAGULAÇÃO;7898961181202;1397100060010;90324749;535315030001804;;S;;1155.17;;;;;CMED_ICMS17;20260508;20;PF0=958.79|PF12=1089.53|PF18=1169.26|PF19=1183.69|PF20=1198.49|PF21=1213.66|PF22=1229.22|PMVG17=906.46|PMVG18=917.52|PMVG20=940.46
CMED;20260508;medicamento;535315030001904;;;OCTAPHARMA BRASIL LTDA;OCTAVI SDOPTIMUM;500 UI PÓ LIOF INJ CT 1 FA VD INC + FA DIL X 10 ML + CONJ INFUS;FATOR VIII DE COAGULAÇÃO;7898961181219;1397100060029;90324757;535315030001904;;S;;2227.54;;;;;CMED_ICMS17;20260508;20;PF0=1848.86|PF12=2100.98|PF18=2254.71|PF19=2282.54|PF20=2311.08|PF21=2340.33|PF22=2370.33|PMVG17=1747.95|PMVG18=1769.27|PMVG20=1813.51
CMED;20260508;medicamento;535315030002004;;;OCTAPHARMA BRASIL LTDA;OCTAVI SDOPTIMUM;1000 UI PÓ LIOF INJ CT 1 FA VD INC + FA DIL X 10 ML + CONJ INFUS;FATOR VIII DE COAGULAÇÃO;7898961181226;1397100060037;90324765;535315030002004;;S;;4355.12;;;;;CMED_ICMS17;20260508;20;PF0=3614.75|PF12=4107.67|PF18=4408.23|PF19=4462.65|PF20=4518.44|PF21=4575.63|PF22=4634.29|PMVG17=3417.46|PMVG18=3459.14|PMVG20=3545.62
CMED;20260508;medicamento;533025301177418;;;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;OCTIFEN;0,25 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML;FUMARATO DE CETOTIFENO;7896006222620;1049713580011;90209265;533025301177418;;N;;28.18;38.84;;;;CMED_ICMS17;20260508;20;PF0=23.39|PF12=26.58|PF18=28.52|PF19=28.88|PF20=29.24|PF21=29.61|PF22=29.99|PMC0=32.24|PMC12=36.64|PMC18=39.31|PMC19=39.81|PMC20=40.3|PMC21=40.81|PMC22=41.34|PMVG17=22.11|PMVG18=22.38|PMVG20=22.95
CMED;20260508;medicamento;532412070006214;;;SUN FARMACÊUTICA DO BRASIL LTDA;OCTRIDE;0,10 MG/ML SOL INJ CT 5 AMP VD TRANS X 1 ML;ACETATO DE OCTREOTIDA;7898909980041;1468200200046;90278429;532412070006214;;N;;;;;;;CMED_ICMS17;20260508;20;PF0=354.3|PMC0=488.37
