fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
CMED;20260508;medicamento;504623110095404;;;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;PABEXHY;40 MG PO LIOF SOL INJ IV/IM CT 10 FA VD TRANS;PARECOXIBE SÓDICO;7896714294292;1558406600014;90574443;504623110095404;;S;;718.07;;;;;CMED_ICMS17;20260508;20;PF0=596|PF12=677.27|PF18=726.83|PF19=735.8|PF20=745|PF21=754.43|PF22=764.1|PMVG17=563.47|PMVG18=570.34|PMVG20=584.6
CMED;20260508;medicamento;504413120035206;;;BLAU FARMACEUTICA S.A.;PACLITAXEL;6 MG/ML SOL INJ IV CT 1 FA VD AMB X 5ML;PACLITAXEL;7896014663866;1163701260017;90294009;504413120035206;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=703.78
CMED;20260508;medicamento;504413120035306;;;BLAU FARMACEUTICA S.A.;PACLITAXEL;6 MG/ML SOL INJ IV CT 1 FA VD AMB X 16,7ML;PACLITAXEL;7896014663903;1163701260025;90294017;504413120035306;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=2345.98
CMED;20260508;medicamento;504413120035406;;;BLAU FARMACEUTICA S.A.;PACLITAXEL;6 MG/ML SOL INJ IV CT 1 FA VD AMB X 50ML;PACLITAXEL;7896014663941;1163701260033;90294025;504413120035406;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=6440.13
CMED;20260508;medicamento;504413120035606;;;BLAU FARMACEUTICA S.A.;PACLITAXEL;6 MG/ML SOL INJ IV CX 5 FA VD AMB X 16,7ML;PACLITAXEL;7896014663910;1163701260051;90294041;504413120035606;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=11730.01
CMED;20260508;medicamento;504413120035906;;;BLAU FARMACEUTICA S.A.;PACLITAXEL;6 MG/ML SOL INJ IV CX 10 FA VD AMB X 16,7ML;PACLITAXEL;7896014663927;1163701260084;90294076;504413120035906;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=23460.07
CMED;20260508;medicamento;504413120036206;;;BLAU FARMACEUTICA S.A.;PACLITAXEL;6 MG/ML SOL INJ IV CX 20 FA VD AMB X 16,7ML;PACLITAXEL;7896014663934;1163701260114;90294106;504413120036206;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=46920.06
CMED;20260508;medicamento;508010305154116;;;EUROFARMA LABORATORIOS S.A.;PACLITAXEL;6 MG/ML SOL INJ CT 20 FA VD TRANS X 16,7 ML;PACLITAXEL;7891317470586;1004308990089;90069994;508010305154116;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=45327.37
CMED;20260508;medicamento;508010306150114;;;EUROFARMA LABORATORIOS S.A.;PACLITAXEL;6 MG/ML SOL INJ CT 20 FA VD TRANS X 5 ML;PACLITAXEL;7891317470579;1004308990070;90070003;508010306150114;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=13597.79
CMED;20260508;medicamento;508022080166906;;;EUROFARMA LABORATORIOS S.A.;PACLITAXEL;6 MG/ML SOL INJ CT FA VD TRANS X 5 ML;PACLITAXEL;7891317023584;1004308990011;90542541;508022080166906;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=679.89
CMED;20260508;medicamento;508022080167006;;;EUROFARMA LABORATORIOS S.A.;PACLITAXEL;6 MG/ML SOL INJ CT FA VD TRANS X 16,7 ML;PACLITAXEL;7891317023591;1004308990021;90542550;508022080167006;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=2266.37
CMED;20260508;medicamento;509516050031006;;;FRESENIUS KABI BRASIL LTDA;PACLITAXEL;6 MG/ ML SOL INJ IV CT FA VD INC X 5 ML;PACLITAXEL;7897947702080;1004101550012;90349474;509516050031006;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=703.7
CMED;20260508;medicamento;509516050031106;;;FRESENIUS KABI BRASIL LTDA;PACLITAXEL;6 MG/ ML SOL INJ IV CT 5 FA VD INC X 5 ML;PACLITAXEL;7897947702097;1004101550020;90349482;509516050031106;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=3518.82
CMED;20260508;medicamento;509516050031206;;;FRESENIUS KABI BRASIL LTDA;PACLITAXEL;6 MG/ ML SOL INJ IV CT FA VD INC X 16,7 ML;PACLITAXEL;7897947702103;1004101550039;90349490;509516050031206;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=2345.98
CMED;20260508;medicamento;509516050031306;;;FRESENIUS KABI BRASIL LTDA;PACLITAXEL;6 MG/ ML SOL INJ IV CT FA VD INC X 5O ML;PACLITAXEL;7897947702127;1004101550047;90349504;509516050031306;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=7038.14
CMED;20260508;medicamento;538000401152117;;;ACCORD FARMACÊUTICA LTDA;PACLITAXEL;6 MG/ML SOL INJ IV CT FA VD TRANS X 16,7 ML;PACLITAXEL;7898902274390;1553700040021;90002504;538000401152117;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=2266.33
CMED;20260508;medicamento;538000402159115;;;ACCORD FARMACÊUTICA LTDA;PACLITAXEL;6 MG/ML SOL INJ IV CT FA VD TRANS X 5 ML;PACLITAXEL;7898902274383;1553700040011;90002520;538000402159115;S;S;;;;;;;CMED_ICMS17;20260508;20;PF0=679.82
